scale,outcome,sample,N,R2,beta_scale,se_scale,p_scale,beta_omega,p_omega,beta_kappa,p_kappa,baseline_controlled
PHQ9_Total,abs_peak_strike,exploratory,290,0.2132093257571961,-0.03497849610743375,0.0526259454963403,0.5068018961498135,0.1275241665018516,0.024573708854892955,-0.4946520220747736,1.9567613638796407e-16,False
PHQ9_Total,abs_peak_strike,confirmatory,279,0.2812043444685596,-0.05821585723891997,0.051378439534742804,0.2581677546819842,0.21315823697153133,0.00018155861235838978,-0.5591473851659469,7.221758468825686e-21,False
PHQ9_Total,peak_post,exploratory,290,0.5926874108611107,0.001139225278239259,0.03809356497553593,0.9761629703006331,0.26826558070418494,3.3161791419026127e-10,-0.37541795607087475,1.654541925722353e-17,True
PHQ9_Total,accel_post,exploratory,290,0.04014667568244401,-0.032440532014934895,0.05812630902350671,0.5772099150088081,0.17764837908167808,0.00468427524005389,-0.1763713579315281,0.005094716221538683,False
OASIS_Total,pre_at_lowT,exploratory,290,0.19059044524138646,0.021630304133956498,0.05337792858518378,0.6856118712719202,0.2629913825101539,6.88066410044446e-06,-0.4584397108653434,2.909483286805838e-14,False
OASIS_Total,pre_at_lowT,confirmatory,279,0.2601753089301396,0.14798629213222503,0.05202025875905322,0.004778179437027764,0.28251917573084806,1.2193149856554849e-06,-0.5226371144117877,2.264539357632773e-18,False
OASIS_Total,pre_at_midT,exploratory,290,0.15517227116824894,0.026687516999036324,0.05453328162354332,0.624947554274039,0.25367729058207794,2.0982728297192726e-05,-0.4086152707867695,1.9549175358962156e-11,False
OASIS_Total,pre_at_midT,confirmatory,279,0.2573687533837383,0.14105465580008533,0.05211883585940896,0.007226960157154338,0.28678725001340766,8.93520920069254e-07,-0.5202670774811671,3.49163432443768e-18,False
OASIS_Total,pre_at_highT,exploratory,290,0.1800477455183107,-0.007604564552658229,0.053724432303002195,0.8875370101619784,0.3268981211790864,3.6988387590971004e-08,-0.41620090533047965,4.548532195936919e-12,False
OASIS_Total,pre_at_highT,confirmatory,279,0.2592663400963203,0.1132339456902302,0.05205220570511871,0.03045254544846515,0.3244435279840418,3.1509144539179856e-08,-0.5190407180226368,3.753332459396304e-18,False
OASIS_Total,pre_slope_T,exploratory,290,0.056097687891800696,-0.07055867513185189,0.057642270333796264,0.22192994831055962,0.2097053475873722,0.0008157683879261728,0.025578270308818075,0.6792712588968777,False
OASIS_Total,pre_slope_T,confirmatory,279,0.04453798588659008,-0.11393699130339167,0.05911732987344639,0.05497189373186221,0.1848242878737069,0.004603822218556285,-0.040337663336689825,0.5238676218757962,False
OASIS_Total,abs_peak_strike,exploratory,290,0.21459571717158166,0.05117894052261514,0.05258043630446803,0.3312040304283028,0.13209135790486354,0.020162727262249564,-0.49192621741367876,2.2212931205304117e-16,False
OASIS_Total,abs_peak_strike,confirmatory,279,0.2874395443208968,-0.0982213595286695,0.05105272827900339,0.05539663186252525,0.21086347793179755,0.0001965414471365031,-0.558637838338824,4.837634394592965e-21,False
OASIS_Total,peak_post,exploratory,290,0.5927397184850702,0.0073501111921640975,0.03795618453234887,0.8465900307514771,0.2687878946521911,3.326387589166138e-10,-0.3754335006917979,1.4856960866456868e-17,True
OASIS_Total,accel_post,exploratory,290,0.043181854183325985,0.06409434970307874,0.05803530275981713,0.2703467372557547,0.1832413228628716,0.003589744987818095,-0.17383162955747522,0.005562521787377627,False
STAI_Trait,pre_at_lowT,exploratory,289,0.2031884692019289,-0.10016129083490946,0.05296394413164069,0.059622051445294894,0.25236983626971515,1.3166472326992162e-05,-0.46171543077639493,1.4000433359496282e-14,False
