n,beta,se,t,p,group,predictor,scale
570,0.15788367241616907,0.04146937105044524,3.807235760197861,0.00015584218250237983,reactivity_slope,anxiety_intercept,MFIS_Total
561,-0.08083949941614392,0.042166696863381634,-1.9171409057261606,0.05573034908605322,reactivity_slope,anxiety_cal_T,STAI_Trait
563,-0.03134483148035984,0.04221145344695885,-0.7425669793565969,0.45805524648444923,reactivity_slope,anxiety_cal_T,DASS21_Anxiety
563,0.06768009065143714,0.04215697023546595,1.6054306149946949,0.10896280647382334,reactivity_slope,anxiety_cal_T,OASIS_Total
563,0.03416519286868638,0.04224122782934048,0.8088115479672553,0.4189670346444481,reactivity_slope,anxiety_cal_T,STICSA_Total
563,0.10947453446847692,0.041394118314301266,2.644688156835425,0.008406046512120511,reactivity_slope,anxiety_cal_T,AMI_Total
563,0.12953396197179615,0.041733492191310485,3.1038371142774146,0.00200673574120742,reactivity_slope,anxiety_cal_T,AMI_Behavioural
563,0.14668751750154063,0.041431666311675774,3.540468693633085,0.0004326471681495193,reactivity_slope,anxiety_cal_T,AMI_Social
563,-0.0942086825687998,0.04159313195764246,-2.265005738561354,0.023893592283711663,reactivity_slope,anxiety_cal_T,AMI_Emotional
563,0.07021689475517183,0.04212389968773635,1.6669134452339005,0.0960907482043138,reactivity_slope,anxiety_cal_T,DASS21_Depression
563,0.03522588346573634,0.04223433747567072,0.834057915221906,0.4046039778198596,reactivity_slope,anxiety_cal_T,PHQ9_Total
562,0.09624926202632378,0.04210530406355712,2.285917752334419,0.02263239479755261,reactivity_slope,anxiety_cal_T,MFIS_Total
