subj,c_effort,c_death,c_dist,epsilon
225,0.0032396633417395315,0.14197359820785663,0.48451012196258764,1.1235320683783012
226,0.004530256596113276,0.8185483162095718,0.5074172374733918,0.6457937509267503
227,0.0023592953564005857,0.21974092673213097,0.5062083858787921,1.093546117422051
228,0.005357056049349158,0.18940848273720656,0.5450885652518174,0.5260392967707944
229,0.0022990162505030446,0.10180343712210871,0.5177595128065112,0.8610740433991444
230,0.002873047285115215,0.30462432072860507,0.5210399589107926,0.8110341618427492
231,0.002563444537404098,0.11824072306653532,0.5346400401764634,0.6568587742910766
232,0.024399278127528044,0.09651149058956386,0.5189196561301438,0.4646327130723345
233,0.01314623602694866,0.159667695545457,0.5866491933595229,0.858036078787888
234,0.0035731045268689024,0.5621954567225357,0.4824025982087954,1.5024503408123568
235,0.003255229340171465,0.08644687692435696,0.4884767125538723,0.8339314491694538
236,0.00452610125804032,0.23034086556778002,0.5246051414493038,0.46763735381275773
237,0.0028122181706735972,0.18857718980817684,0.7635865279921432,1.4195489617004662
238,0.0037794287416053,0.040858495184146255,0.39371823587694116,1.2397941356306936
239,0.003868936306057918,0.11940575609111868,0.5310401253922646,0.5960737178445628
240,0.04349807105593779,0.35095928689353023,0.5287146218449847,0.4966518090160663
241,0.0034150187314525484,0.1401993533801452,0.5140044559974467,1.0705342154335065
242,0.006994010689775676,0.16972735751978008,0.5245784327957602,0.32368737119136226
243,0.00635863735777268,0.308757542981699,0.5209480837993352,0.4332231158611207
244,0.0026288262568741716,0.1628711201683312,0.523167528051771,1.198089449151326
245,0.003952989165223787,0.35857310283315263,0.5212687638905891,1.0621753279553936
246,0.0032078964109125813,0.3983153198308851,0.5186148286668562,0.6423782941368839
247,0.004178756577007579,0.17733955022729647,0.5320573093700396,0.5789151081297217
248,0.004447790626063794,0.12286187236766433,0.4714672899089026,1.0078023316915432
249,0.005103615344692576,0.09005191544170413,0.5486203904948804,0.6842613929817196
250,0.024983651626525334,0.10801389013351675,0.5188197606679805,0.4033003515655657
251,0.003159614838331453,0.13855361937232621,0.5446550175155075,1.8598264768392523
252,0.005496510090953202,0.08293051240283773,0.5312006767733602,0.5657070632216358
253,0.0034449188433929743,0.36335408750124326,0.520427215561159,0.743069992282704
254,0.09332820368740802,0.08534637470221093,0.5287393371695857,0.5381745766919761
255,0.005970614145860909,0.05849663447352639,0.48987354881044815,0.9339893266291809
256,0.0036892871870844125,0.22536612865094785,0.6032126537355855,1.1718232715420986
