subj,z,kappa,beta_param,anx_threat_slope,conf_threat_slope
203,0.2880114713463684,3.7224052675928063,0.8699571797876416,-2.716357254395797e-08,-1.4583333969737107
204,0.3818555213503392,0.8883888078627232,0.7373885808927791,5.208333527358877,-3.750000149787718
205,0.3327000304486422,0.7355283466559449,1.903215926902582,1.8750000147459402,-1.4583333581686013
206,0.4082052526360071,4.105241352997314,7.486901404586749,0.20833333410943608,-1.6666667427246797
207,0.8790661861038229,2.735071659829583,0.942605707243859,3.541666784634197,2.291666733411454
208,0.2771012481013499,1.090663429760571,0.3670968179829638,-0.416666687621425,0.4166666449358059
209,0.2209760380346728,3.58240936977101,0.3107920994795591,1.875000022506963,-1.666666692278037
210,0.1672281731779858,3.4746696553446146,0.2350977078840239,-0.6250000178503462,-0.416666679860402
211,0.2618675132651702,0.5745372121886847,1.7034872618646364,2.2916667334114535,-2.7083333977498105
212,0.2766659056033236,0.4421627916263164,0.9571761747454884,2.5000000714014,-1.0416667054717739
213,0.2538081367601669,3.076320466706562,0.7838086483944351,-0.20833334963147868,-0.2083333302289245
214,0.2494527438322526,0.6006992797810342,0.9899929153679168,1.458333373690647,-2.7083334365549194
215,0.889596646595602,1.4463097635142452,1.4280580756776475,3.125000089251749,-4.1666667908430135
216,0.8343952197246243,1.6147033449163588,0.7455333019805251,2.50000006752089,-1.8750001078782017
217,0.2599239287270757,1.7416891326741568,0.2944661028334807,1.6666666961585488,-0.20833333798994638
218,0.2053407534947194,0.4387756985969591,1.688394754519076,6.4583335552985535,-4.583333490105969
219,0.2159077749018926,1.8935188789725403,1.5479133140037524,1.875000076834115,1.8750000651925827
220,0.7947182298768464,1.1365016456360095,1.1127075239661768,2.083333379899463,-2.9166667629033345
221,0.2302258584108616,2.888302470547506,0.7474796747009446,3.5416667768731758,-3.1250000931322583
222,0.4406108300472743,1.2416785752612696,3.347997242830664,5.000000115639221,-5.625000176175191
223,0.1946612518953654,1.5384854949484463,0.2118887273246438,0.4166666798604045,0.20833332246790404
224,0.1396488265260136,1.097722246452638,0.259444327570539,1.8750000496705401,-1.666666723322123
225,0.2148553740420773,0.7329044809877985,1.230422552236248,2.9166667590228235,-1.4583333892126886
226,0.4021457983368288,4.627052259425394,2.8386246608522296,0.41666667209938024,2.9166668133499782
