subj,subj_idx,alpha_bayes,alpha_sd,rho_bayes,rho_sd,gamma_bayes,gamma_sd,alpha_ols,rho_ols
132,131,0.13269605,0.0314449,0.088099994,0.030138625,0.6331608,0.02426651,0.13084431489091836,0.10341942
133,132,0.009773642,0.030978965,0.09408218,0.030114928,0.6071186,0.024324862,0.00662332829404662,0.11206597
134,133,0.012458417,0.030727722,0.04907593,0.029414343,0.44735914,0.024167484,0.008772864741867515,0.041804343
135,134,0.42398217,0.029897874,0.023167513,0.028899016,0.74788404,0.02376047,0.4254057338322274,-0.008013368
136,135,0.8330132,0.029403536,0.06069748,0.030156486,0.59863096,0.024151443,0.8394540239263464,0.058055043
137,136,0.7203147,0.030565444,0.044137985,0.02960858,0.6919632,0.024454411,0.7252242313301976,0.02733183
138,137,0.007532245,0.030811887,0.06460314,0.029626602,0.7247579,0.024019802,0.003880139559325763,0.062247038
139,138,0.7333143,0.030988565,0.061777215,0.029268261,0.59788674,0.023788523,0.7376968536847903,0.059942365
140,139,0.06830616,0.029871807,0.051154353,0.029429372,0.6582139,0.024462108,0.06557827767357557,0.04118538
141,140,0.83986133,0.030815762,0.05063505,0.029602518,0.6470697,0.024196677,0.8464256900328482,0.03921014
142,141,0.105476744,0.031196319,0.06954959,0.03033165,0.6713971,0.024955496,0.10239494428755015,0.06954718
143,142,0.8070122,0.030433815,0.08753447,0.030504275,0.7070408,0.024424216,0.8131335046564245,0.100399256
144,143,0.73083276,0.030940885,0.021391992,0.030247169,0.65717244,0.024325876,0.7346619215706596,-0.009797156
145,144,0.110977806,0.030167455,0.082923114,0.0295271,0.6797864,0.024525644,0.10765660374351912,0.092989266
146,145,0.15182981,0.03213987,0.10799779,0.030221064,0.61892176,0.0236118,0.14972461485646313,0.13668829
147,146,0.05417292,0.0314921,0.03725377,0.030553633,0.6941048,0.024732994,0.05083675489474037,0.015823305
148,147,0.38760155,0.030324506,0.07194284,0.029337427,0.5131578,0.023757914,0.38889063459149786,0.07871276
149,148,0.5750319,0.03037896,0.07092168,0.029620374,0.62631667,0.024286458,0.5779514162812704,0.07379997
150,149,0.28877962,0.030421313,0.078639776,0.030549318,0.6514708,0.024430186,0.2885809986254429,0.086147964
151,150,0.14582253,0.03117023,0.08519253,0.029902207,0.6666749,0.024311816,0.14433932249242723,0.097482026
152,151,0.0043297517,0.034583416,0.29232523,0.03478836,2.5268788,0.0260412,1.795559715828125e-23,0.43694544
153,152,0.14848441,0.029804545,0.066415936,0.029382821,0.71456844,0.0237582,0.1461046326214282,0.06572682
154,153,0.18285476,0.030286403,0.05954233,0.030102685,1.3608916,0.024735495,0.18053299910674392,0.03902507
155,154,0.34063983,0.03070329,0.10830185,0.029994905,0.65671086,0.023928972,0.3406673399622555,0.1363833
156,155,0.6483302,0.030378852,0.076857485,0.029773964,0.7000143,0.024465162,0.6516901590064357,0.081273615
157,156,0.32836494,0.03026278,0.049181335,0.03025755,0.7785299,0.02492461,0.3285825515336256,0.034239948
158,157,1.2265927,0.030277781,0.08877949,0.029330987,1.0446228,0.023930606,1.236301167247196,0.09485304
159,158,0.06669778,0.031146057,0.07663907,0.029764092,0.6372899,0.023816781,0.06403461559260443,0.08391559
160,159,0.24409857,0.031156657,0.16175595,0.030791212,0.47444797,0.024326881,0.2438490869160938,0.23291704
161,160,0.032791495,0.030241659,0.091274396,0.02987108,0.77858686,0.02388707,0.029646273824566475,0.1057443
162,161,0.015152412,0.030497462,0.14173597,0.030194247,0.5548664,0.024667392,0.011540731193153391,0.19481468
163,162,0.04965901,0.031074196,0.07771387,0.029721748,0.66566837,0.023967212,0.04708778946528982,0.08439064
164,163,0.536944,0.030339526,0.10317954,0.02934749,0.6044715,0.023764754,0.5391541103911303,0.12846845
165,164,0.9476533,0.03013363,0.07027245,0.029904503,0.72768265,0.024644786,0.9548623852523757,0.07116872
166,165,0.6627619,0.03308368,0.0899141,0.030137526,0.70887524,0.024996752,0.6675895962488146,0.10604006
167,166,0.17461473,0.030431263,0.05229467,0.02853394,0.69917333,0.023468832,0.17267686176442162,0.043192327
168,167,0.045088537,0.029674852,0.05158265,0.029146457,0.6445497,0.023319045,0.04231976876242434,0.041561842
169,168,0.003932494,0.03139663,0.1058949,0.029483037,0.6466857,0.02372588,1.7160997411216547e-17,0.13185686
170,169,0.012221948,0.03043849,0.06754532,0.029637622,0.56662065,0.023896914,0.008870332573246579,0.069907844
171,170,0.483437,0.030203637,0.052432843,0.030120008,0.7091146,0.023982052,0.48499336811127486,0.041181505
172,171,0.5869,0.030896077,0.066343285,0.02956463,0.59822637,0.024330439,0.5906003086287298,0.06744838
173,172,0.4038777,0.03071198,0.07456258,0.029478181,0.7369759,0.02376362,0.40545938379105295,0.07722986
174,173,0.10792484,0.030419264,0.09884439,0.02952049,0.6757957,0.02421052,0.10573866054487391,0.12088007
175,174,0.09057042,0.03069561,0.08159386,0.02915221,0.48475552,0.023629235,0.0882949753336943,0.097075224
176,175,0.62386537,0.031046046,0.057465676,0.029955508,0.5542177,0.024407575,0.6274598505398712,0.05309981
177,176,0.37674105,0.030898994,0.047234207,0.030309558,0.7071066,0.024564069,0.3774101653851364,0.03214073
178,177,0.02749638,0.030561611,0.029445682,0.030109324,0.68953156,0.023834927,0.023603759645817384,0.0030094981
