subj,event_idx,rating,p_threat,dist_safety,pre_threat,pre_effort_H,pre_term_mean,pre_onset_slope,fol_threat,fol_onset_slope,fol_term_mean
3,35,7,0.1000000014901161,9.0,0.1,1.0,0.11385512351989746,0.2160613738864803,0.9,-0.15367326606242532,0.02802819386124611
3,37,3,0.1000000014901161,5.0,0.9,1.0,0.02802819386124611,-0.15367326606242532,0.5,-0.18040262598273415,0.11393995583057404
3,39,4,0.8999999761581421,4.0,0.5,0.8,0.11393995583057404,-0.18040262598273415,0.5,-0.2820368564342293,0.017451917752623558
3,41,1,0.5,7.0,0.5,0.6,0.017451917752623558,-0.2820368564342293,0.5,-0.13735248356460825,0.13522565364837646
3,43,4,0.8999999761581421,7.0,0.5,0.6,0.13522565364837646,-0.13735248356460825,0.9,-0.24057907998298736,-0.018316488713026047
3,45,3,0.5,7.0,0.9,1.0,-0.018316488713026047,-0.24057907998298736,0.1,0.06317512697092205,0.11301541328430176
3,49,4,0.1000000014901161,7.0,0.1,0.6,-0.05776014178991318,-0.16725175478006724,0.5,0.11810550700071146,-0.5781947374343872
3,5,3,0.1000000014901161,7.0,0.1,0.6,-0.3034232258796692,-0.28203698436614993,0.9,-0.2971717388984517,-0.31053662300109863
3,51,4,0.5,5.0,0.5,1.0,-0.5781947374343872,0.11810550700071146,0.1,-0.29718938831150277,-0.06384493410587311
3,59,4,0.5,4.0,0.5,1.0,0.14256428182125092,0.07173211097986626,0.9,-0.2505511327982319,0.14499036967754364
3,66,4,0.8999999761581421,7.0,0.1,0.6,0.016403604298830032,-0.22563595967734476,0.9,0.033224109030207345,-0.39027684926986694
3,69,5,0.1000000014901161,5.0,0.1,0.6,-0.05835294723510742,0.23715334137016159,0.1,0.014247605379902325,0.011062868870794773
3,7,6,0.8999999761581421,9.0,0.9,0.8,-0.31053662300109863,-0.2971717388984517,0.5,-0.27632289480972855,0.03672654554247856
3,71,4,0.5,9.0,0.1,1.0,0.011062868870794773,0.014247605379902325,0.1,-0.2791134532562215,-0.7418141961097717
4,0,2,0.5,7.0,,,,,0.9,-0.29718938831150277,-0.3493424355983734
4,13,0,0.5,4.0,0.5,1.0,0.13941045105457306,0.4505761139348567,0.1,0.4139584023318213,0.1376323401927948
4,15,0,0.5,5.0,0.1,0.8,0.1376323401927948,0.4139584023318213,0.1,0.4053751792409377,0.13049450516700745
4,26,0,0.1000000014901161,9.0,0.1,0.6,-0.11172817647457123,0.4942665315291851,0.5,0.1871136214337942,0.1244768351316452
4,3,2,0.8999999761581421,5.0,0.5,1.0,0.15598531067371368,-0.065907361513268,0.5,0.4182278164754173,0.1746332198381424
4,36,1,0.5,9.0,0.1,0.8,0.14697904884815216,0.3368349748190123,0.1,0.45211609473603437,0.18076954782009125
4,40,3,0.8999999761581421,7.0,0.9,0.6,0.1816694289445877,0.4497686598552356,0.1,0.48825471604240966,0.18368692696094513
4,42,2,0.5,9.0,0.1,1.0,0.18368692696094513,0.48825471604240966,0.1,0.23191717691449693,0.16876859962940216
4,48,0,0.1000000014901161,7.0,0.9,0.6,0.1609193980693817,0.39509826550867844,0.1,0.49201545065006425,0.1239168792963028
4,50,2,0.5,7.0,0.1,0.8,0.1239168792963028,0.49201545065006425,0.5,0.4405082319737004,0.09907831251621246
4,54,3,0.8999999761581421,7.0,0.9,0.6,0.09710757434368134,0.42914256607376533,0.9,0.45489933266496274,0.15640375018119812
4,56,6,0.8999999761581421,9.0,0.9,0.8,0.15640375018119812,0.45489933266496274,0.1,0.4593067979736808,0.19322074949741364
4,58,0,0.1000000014901161,7.0,0.1,1.0,0.19322074949741364,0.4593067979736808,0.5,0.4764917161178846,-0.4699152410030365
4,64,2,0.8999999761581421,9.0,0.9,0.8,0.13170917332172394,0.4560085517369329,0.1,0.4113872175991251,0.04475937783718109
4,68,0,0.1000000014901161,4.0,0.1,0.6,0.0814010351896286,0.4559712587855889,0.5,0.36795500949786136,0.007276336196810007
4,75,2,0.8999999761581421,4.0,0.5,1.0,-0.011936284601688385,0.3775141544967068,0.5,0.41913507213366374,0.10248269885778427
4,77,1,0.1000000014901161,9.0,0.5,1.0,0.10248269885778427,0.41913507213366374,0.9,0.36811667358636035,0.10134688764810562
4,80,0,0.1000000014901161,4.0,0.5,0.6,0.12300336360931396,0.4625843852489143,,,
5,0,0,0.5,7.0,,,,,0.9,-0.29718938831150277,-0.08459292352199554
5,13,4,0.5,4.0,0.5,1.0,0.10220875591039658,-0.29718938831150277,0.1,-0.28203698436614993,0.05471072718501091
