subj,T_round,actual_dist,is_heavy,mean_rate,n_trials,sd_rate,sem,rel_rate,subj_cookie_mean,rel_rate_cc
9,0.5,3,0,0.9883165405669492,2,0.055626165647167526,0.039333638940518334,0.9667912812351767,1.0287941550642952,0.9606552833741397
9,0.5,3,1,1.0585685788565178,3,0.033269188664646905,0.019207975031254338,1.0355132496729333,1.015735123901216,1.0421699062554692
9,0.9,1,0,1.050522586367271,13,0.04498834736866156,0.01247752255662267,1.0276424966619342,1.0287941550642952,1.0211202903865815
9,0.9,1,1,0.9580815458884367,3,0.17570075614353436,0.10144087885629037,0.9372147963302399,1.015735123901216,0.9432395546278399
9,0.9,2,0,0.9603721035873343,2,0.018270802897201077,0.012919408626333699,0.939455466319624,1.0287941550642952,0.9334929624744176
9,0.9,2,1,1.0090506804822799,3,0.057457144354742536,0.03317289776007779,0.9870738373508042,1.015735123901216,0.9934191077362151
9,0.9,3,0,0.9749146982346384,2,0.045743932829704494,0.03234584510202598,0.9536813273008492,1.0287941550642952,0.9476285352473746
9,0.9,3,1,1.0486609950016983,4,0.09991946055570977,0.049959730277854886,1.0258214502384615,1.015735123901216,1.0324158044018614
10,0.1,1,0,1.2457494672034097,2,0.004286510442428512,0.0030310206014681484,1.092814589281887,1.156665923437192,1.0770175224852252
10,0.1,1,1,1.2315256036943047,7,0.013035701966679896,0.004927032224141514,1.080336923452658,1.123225797302041,1.0964185532885704
10,0.1,2,0,0.9779401843119664,2,0.02706618956830008,0.01913868618462558,0.8578830085797923,1.156665923437192,0.8454819706332166
10,0.1,2,1,1.1512710628334386,7,0.1173887123426463,0.04436876279782008,1.009934859941638,1.123225797302041,1.0249685019688486
10,0.1,3,0,1.223423950668389,2,0.004134247893828726,0.002923354720832494,1.0732298727517688,1.156665923437192,1.0577159107729364
10,0.1,3,1,1.2198559970830556,7,0.006411149459683833,0.0024231867269127916,1.0700999402616622,1.123225797302041,1.0860291848826102
10,0.5,1,0,1.1185285580545572,17,0.17267856767731618,0.0418807043419966,0.9812120004470082,1.156665923437192,0.9670281931801843
10,0.5,1,1,1.0976229028336,2,0.1867336501837334,0.13204063032063446,0.9628728354500155,1.123225797302041,0.9772059237510939
10,0.5,2,0,1.2245477691220983,2,0.008798475439158833,0.006221461647132497,1.0742157252319426,1.156665923437192,1.0586875123658748
10,0.5,2,1,1.0934112711055826,2,0.17819736262328204,0.12600456350048095,0.9591782461941258,1.123225797302041,0.9734563377478757
10,0.5,3,0,0.9817501366827841,2,0.03118346980787132,0.022050042962071775,0.8612252307881193,1.156665923437192,0.8487758796985895
10,0.5,3,1,1.1328644818251186,2,0.13636870332334816,0.09642723486155595,0.993787969419704,1.123225797302041,1.0085812528044045
10,0.9,1,0,1.170107079992079,17,0.09935926081359964,0.024098160424574414,1.026458466731642,1.156665923437192,1.0116206039120998
10,0.9,1,1,1.0984324996432866,2,0.1955609532835784,0.1382824762021239,0.9635830418184338,1.123225797302041,0.9779267020769046
10,0.9,2,0,1.240117852920792,2,0.009026802360804187,0.006382913161755377,1.0878743421364727,1.156665923437192,1.0721486885648113
10,0.9,2,1,0.9615057382996789,2,0.0025535670523998545,0.001805644578966481,0.8434661431972919,1.123225797302041,0.8560217728342694
10,0.9,3,0,1.2278283119786528,2,0.004159087239473297,0.002940918790578006,1.0770935310739593,1.156665923437192,1.0615237183870618
10,0.9,3,1,1.1225426184003027,2,0.16146409634698047,0.11417235744510794,0.9847332732418793,1.123225797302041,0.9993917706454221
11,0.1,1,0,1.0627141415890955,6,0.0870059980758478,0.03552004997456702,1.0419838555720808,1.01239600803475,1.0497020268304122
11,0.1,1,1,1.0065688817269907,7,0.15708661609646513,0.05937316006970323,0.9869338171339619,1.0273940249991744,0.9797301300519043
11,0.1,2,0,0.8933331263305693,2,0.06375740857861592,0.045083295956820674,0.8759069432277317,1.01239600803475,0.882394951422908
11,0.1,2,1,0.9414516710300461,4,0.004117789916509477,0.0020588949582547385,0.9230868430411518,1.0273940249991744,0.9163491787202117
11,0.1,3,0,0.9947205481664119,2,0.06735153724114559,0.04762472870655234,0.9753166081382341,1.01239600803475,0.9825409625007812
