subj,baseline,cruising_rate,post_encounter_rate,encounter_spike,spike_peak,spike_peak_time,threat_gain_pre,threat_gain_post,ramp_speed,c_effort,c_death,log_ce,log_cd
14,1.4340502300298847,1.446022353720301,1.4278758187301221,0.009567092855283477,0.20840171523316342,2.9,0.020490533790080923,0.01720352748264742,0.0114062762199888,0.412451290690532,619.8505886382211,-0.8856371633542363,6.429478462929944
15,1.145878964288857,1.0950039209002755,1.0844353987377664,0.10219858867606724,0.2742543308926858,2.7,0.024178481976754318,0.08649677068547579,-0.054388746502785905,1.1596591252849346,78.42616103244886,0.14812610442070664,4.362157558333736
16,0.5209297004573743,0.5984477773430805,0.8117972501447959,0.13951807569289038,0.3125234502490183,1.9,-0.07130635356830284,0.11459448554388552,0.06407129107150344,1.9876148177604027,4.108884987858344,0.686935335820072,1.413151699209791
17,0.8114346628221935,0.8807461384708553,0.8563482290622705,0.08833504177422244,0.14873689178872151,0.7,0.12244914307443655,0.11144355315165067,0.06421268916052245,0.7428878408477829,9.483100817998531,-0.2972102001035843,2.249511353290667
18,0.8522622197110408,0.9244219219878165,1.0323467832942002,0.02154683752613734,0.07178242177254113,2.7,0.007999537255707567,0.029204837998606292,0.07800234547147307,0.4533537626387856,45.53650759064957,-0.7910825252911496,3.818514368864147
19,0.9022221872979529,0.9082074583333537,0.9097305501157397,0.05887806062702907,0.1389088062188768,2.7,0.05023649124311935,0.08473021506747769,0.009244300614831398,0.6620548584948773,9.504707066586151,-0.4124068586614415,2.2517871565897476
20,0.929618734932719,0.969104578406099,1.0668108022796892,0.05540926288068289,0.27396312422126,1.7,-0.006076182714876199,0.0958762935888482,0.025542628921103695,0.5915043038549606,29.71803873728314,-0.5250863194194811,3.391754226328936
21,1.0205189163724415,0.9737800995454622,0.938332992775822,0.00015714974506226832,0.05057146572161997,1.5,-0.0290460282112619,-0.05366362185729223,-0.04347553035520808,0.5313862188883334,36.50183305430815,-0.6322661795863573,3.597362479993407
22,0.9741880624340385,0.9945112799853952,0.9492453105371237,0.039301164422877385,0.09326334117890533,2.3,0.0599222500452552,0.06665476584607988,0.0032662534799422892,0.4152203139991589,36.39710335833503,-0.8789460225104303,3.5944891934084735
23,1.115244326717192,1.103714356785723,1.1710860332639192,0.05140093750604622,0.10410352714353377,1.5,-0.07448206769867127,0.06654935259441297,0.014853998128889729,0.4321624275313947,170.04248074117916,-0.8389537717484185,5.1360482925465964
24,1.0313839507556772,1.0306055692305442,1.0062271430772038,0.0232795034097812,0.07822928960820441,0.3,0.017742689316799787,0.010304974615953366,-0.0022321118583541037,0.1910885535272044,43.45805975935122,-1.6550183273466823,3.771796329546176
25,1.1028483343674025,1.0630340683982802,1.05883908645453,0.04620832069578851,0.11460897067938558,0.7,-0.0024497661186282382,0.04085878261618103,-0.03490975032901834,0.6505385912814765,64.06324805656695,-0.4299546572220491,4.159870846245109
26,1.329556220160093,1.3870598629499022,1.2975788000941386,0.08516365434747612,0.42632154382817444,0.5,-0.08221173526113423,0.004129577575754162,0.06011803567700888,0.9075056834750546,215.106365840276,-0.09705545008031308,5.37113263063017
27,0.9641460907773528,1.0006867069765109,0.9687741294066778,0.006222587298372495,0.0591489826979279,2.7,0.04867344184440703,0.02677522147670386,0.03421883044669233,0.8039354927835274,32.53122162270423,-0.2182362458783077,3.4822002935060583
28,1.0349823104467815,1.0519911233587422,1.0453067732649193,0.0837839232021253,0.13766095343670026,1.9,0.0440211235263781,0.06781579375262892,0.017376315517581797,0.6201331507660442,54.51880616485802,-0.4778210647004058,3.9985457093922903
29,1.1433608834579108,1.1319746500740202,1.138552109029518,0.07433855950721731,0.14838082199331692,1.3,-0.0529926898204951,0.07284493100060385,0.005830821766215313,0.4433587737484001,80.31798471834807,-0.8133759636859812,4.385993564970626
30,1.0611819158688434,1.03288927103468,1.0190644518184135,0.07041098804109158,0.15582220079066877,1.7,0.05569507240085292,0.08984628230341951,-0.030120896691952243,0.5322224577662579,27.432361301470355,-0.6306937233464118,3.3117233858769746
31,0.99740860352053,1.0010586542941435,1.0155721106167412,0.06332349423156933,0.15535179880569583,2.9,-0.04732714071261612,0.07082872586657407,0.00278035560254096,0.3225584543223304,37.38262182062148,-1.1314709054581271,3.6212059392312415
