subj,T_round,actual_dist,is_heavy,mean_rate,n_trials,sd_rate,sem,actual_R,actual_req,subj_cookie_mean,rel_rate,rel_rate_cc
2,0.1,2,0,0.5904715947183564,5,0.09588501215278414,0.04288108103940375,1.0,0.4,0.5483743122660808,1.076767422380371,1.076767422380371
2,0.1,3,0,0.5092192872956226,5,0.13854784597436257,0.061960480346969056,1.0,0.4,0.5483743122660808,0.9285979957583069,0.9285979957583069
2,0.5,1,0,0.5469202407431198,3,0.15219288380387466,0.08786860243291247,1.0,0.4,0.5483743122660808,0.9973483959944217,0.9973483959944217
2,0.5,1,1,0.7145424642625573,2,0.01273444473348945,0.009004612225695707,5.0,0.9,0.5872910344831234,1.2166752466967732,1.2166752466967732
2,0.5,2,0,0.4218116519212446,5,0.18601845962072494,0.08318998415634814,1.0,0.4,0.5483743122660808,0.7692038858971465,0.7692038858971465
2,0.5,3,0,0.47382784483520324,5,0.13638195750826992,0.06099186557859587,1.0,0.4,0.5483743122660808,0.8640591549176974,0.8640591549176974
2,0.9,1,0,0.4444464493032058,4,0.15444704740341933,0.07722352370170966,1.0,0.4,0.5483743122660808,0.8104800669210643,0.8104800669210643
2,0.9,1,1,0.47104824334425854,1,,,5.0,0.9,0.5872910344831234,0.8020695288815869,0.8020695288815869
2,0.9,2,0,0.6699444157349599,5,0.2760613073072837,0.12345836981930913,1.0,0.4,0.5483743122660808,1.2216918275520738,1.2216918275520738
2,0.9,3,0,0.569803999446417,5,0.1066801074094389,0.04770879440289687,1.0,0.4,0.5483743122660808,1.03907857589423,1.03907857589423
3,0.1,1,1,0.8232777731051965,5,0.11981730536921091,0.05358392793728122,5.0,0.9,0.8652270508916323,0.9515164513832451,0.9515164513832451
3,0.1,2,0,0.8478396436556012,3,0.09228786403369622,0.0532824231427901,1.0,0.4,0.9210980764163822,0.9204661972090966,0.9204661972090966
3,0.1,2,1,0.8688549206462142,2,0.133422353019128,0.09434385058169083,5.0,0.9,0.8652270508916323,1.0041929684824848,1.0041929684824848
3,0.1,3,0,0.9356438706491877,4,0.013967629003369224,0.006983814501684612,1.0,0.4,0.9210980764163822,1.0157917974266077,1.0157917974266077
3,0.1,3,1,0.7805809619142953,1,,,5.0,0.9,0.8652270508916323,0.9021689290803984,0.9021689290803984
3,0.5,1,0,0.9308771378349132,1,,,1.0,0.4,0.9210980764163822,1.0106167428517248,1.0106167428517248
3,0.5,1,1,0.8943513403119094,4,0.08080089581825742,0.04040044790912871,5.0,0.9,0.8652270508916323,1.0336608632268998,1.0336608632268998
3,0.5,2,0,0.9377443097282785,4,0.03605790187430588,0.01802895093715294,1.0,0.4,0.9210980764163822,1.0180721616276305,1.0180721616276305
3,0.5,2,1,0.9050933598497404,1,,,5.0,0.9,0.8652270508916323,1.046076124084453,1.046076124084453
3,0.5,3,0,0.9192452320129345,4,0.03973550115114925,0.019867750575574626,1.0,0.4,0.9210980764163822,0.9979884396125803,0.9979884396125803
3,0.5,3,1,0.7701822463896346,1,,,5.0,0.9,0.8652270508916323,0.8901504473258756,0.8901504473258756
3,0.9,1,0,0.9685791552974066,1,,,1.0,0.4,0.9210980764163822,1.051548342241419,1.051548342241419
3,0.9,1,1,0.9864687737938136,4,0.13046894195654868,0.06523447097827434,5.0,0.9,0.8652270508916323,1.1401270600326694,1.1401270600326694
3,0.9,2,0,0.8955753688591974,5,0.07125747376175078,0.031867311047236474,1.0,0.4,0.9210980764163822,0.9722909989601941,0.9722909989601941
3,0.9,3,0,0.9332798932935381,4,0.12109950045306103,0.060549750226530516,1.0,0.4,0.9210980764163822,1.0132253200707468,1.0132253200707468
3,0.9,3,1,0.8930070311222543,1,,,5.0,0.9,0.8652270508916323,1.0321071563839737,1.0321071563839737
4,0.1,1,1,0.9750350133584469,5,0.031085925553810696,0.013902048536363702,5.0,0.9,0.9881955552323702,0.9866822494755821,0.9866822494755821
4,0.1,2,1,0.9918072322523054,5,0.05418019439177991,0.024230119538834548,5.0,0.9,0.9881955552323702,1.0036548201424422,1.0036548201424422
4,0.1,3,1,1.0012784344873586,5,0.009015984204048678,0.004032070712863435,5.0,0.9,0.9881955552323702,1.0132391601902238,1.0132391601902238
4,0.5,1,1,1.0157008062133475,5,0.025599449986487104,0.011448422071278247,5.0,0.9,0.9881955552323702,1.0278338136974412,1.0278338136974412
