subj,trial,T_round,distance,cookie,is_attack,type,epoch,norm_rate,n_presses,median_ipi,press_sd,press_cv,frac_full,relative_vigor,pause_freq
246,43,0.9,1,0,1,5,full,0.7590812177162325,29,0.1646728515625,0.2593302788387055,0.3124904639133446,0.9285714285714286,1.8977030442905811,0.0
246,43,0.9,1,0,1,5,onset,,0,,,,,,
246,43,0.9,1,0,1,5,anticipatory,,0,,,,,,
246,43,0.9,1,0,1,5,reactive,0.7502737520128824,9,0.1666259765625,0.20847888600639358,0.25400625348263356,1.0,1.8756843800322058,0.0
246,43,0.9,1,0,1,5,terminal,,0,,,,,,
246,44,0.9,3,0,1,1,full,0.7431059506531205,2,0.168212890625,0.0,0.0,1.0,1.857764876632801,0.0
246,44,0.9,3,0,1,1,onset,,0,,,,,,
246,44,0.9,3,0,1,1,anticipatory,,0,,,,,,
246,44,0.9,3,0,1,1,reactive,,0,,,,,,
246,44,0.9,3,0,1,1,terminal,,0,,,,,,
246,45,0.5,1,1,0,5,full,0.7551638846770492,55,0.16552734375,0.5163206962834199,0.5672520186652977,0.2777777777777778,0.8390709829744991,0.0
246,45,0.5,1,1,0,5,onset,0.835236541598695,8,0.149658203125,0.4721592769542815,0.5070481468652084,0.2857142857142857,0.9280406017763277,0.0
246,45,0.5,1,1,0,5,anticipatory,0.8359189243941187,7,0.1495361328125,0.4842288509981891,0.48829078950454113,0.3333333333333333,0.9287988048823541,0.0
246,45,0.5,1,1,0,5,reactive,0.835236541598695,14,0.149658203125,0.6499336622123799,0.5580793355821504,0.46153846153846156,0.9280406017763277,0.0
246,46,0.1,2,1,0,1,full,0.7975077881619937,70,0.15673828125,0.35917824277374233,0.3984008592620735,0.43478260869565216,0.8861197646244374,0.0
246,46,0.1,2,1,0,1,onset,,0,,,,,,
246,46,0.1,2,1,0,1,anticipatory,,0,,,,,,
246,46,0.1,2,1,0,1,reactive,0.6701570680628273,8,0.1865234375,0.2426819625407102,0.29671363770888237,0.42857142857142855,0.7446189645142525,0.0
246,47,0.1,1,1,0,6,full,1.0364372469635628,72,0.12060546875,0.8411889025309593,0.7594376003470772,0.5492957746478874,1.1515969410706253,0.0
246,47,0.1,1,1,0,6,onset,,0,,,,,,
246,47,0.1,1,1,0,6,anticipatory,,0,,,,,,
246,47,0.1,1,1,0,6,reactive,0.7490859897425359,13,0.1668701171875,0.46873165545763856,0.4918168392949263,0.3333333333333333,0.8323177663805954,0.0
246,48,0.1,1,1,1,1,full,1.0546377143632955,27,0.1185302734375,0.3403732648873006,0.33690050366646457,0.5769230769230769,1.1718196826258838,0.0
246,48,0.1,1,1,1,1,onset,,0,,,,,,
246,48,0.1,1,1,1,1,anticipatory,,0,,,,,,
246,48,0.1,1,1,1,1,reactive,1.047034764826176,12,0.119384765625,0.33322028874419035,0.32760586400058284,0.5454545454545454,1.1633719609179733,0.0
246,48,0.1,1,1,1,1,terminal,,0,,,,,,
246,49,0.1,1,1,1,5,full,0.754606157762804,25,0.1656494140625,0.4927761952145908,0.49091661233366757,0.4166666666666667,0.8384512864031156,0.0
246,49,0.1,1,1,1,5,onset,0.8940867607708505,3,0.1435546875,0.144452792981685,0.16156462585034012,0.5,0.9934297341898338,0.0
246,49,0.1,1,1,1,5,anticipatory,0.8940867607708505,3,0.1435546875,0.144452792981685,0.16156462585034012,0.5,0.9934297341898338,0.0
246,49,0.1,1,1,1,5,reactive,1.0666666666666667,14,0.1171875,0.49894582579340596,0.46374321265406027,0.5384615384615384,1.1851851851851851,0.0
246,49,0.1,1,1,1,5,terminal,0.8940867607708505,3,0.1435546875,0.144452792981685,0.16156462585034012,0.5,0.9934297341898338,0.0
246,50,0.5,3,0,1,1,full,1.060041407867495,28,0.117919921875,0.46052189022983203,0.43932419956331104,1.0,2.650103519668737,0.0
246,50,0.5,3,0,1,1,onset,,0,,,,,,
246,50,0.5,3,0,1,1,anticipatory,,0,,,,,,
246,50,0.5,3,0,1,1,reactive,1.0733752620545074,11,0.116455078125,0.21239960129086313,0.21546292008312135,1.0,2.6834381551362685,0.0
246,50,0.5,3,0,1,1,terminal,,0,,,,,,
246,51,0.5,1,0,0,5,full,0.839344262295082,24,0.14892578125,0.353049096674472,0.39688470191835507,1.0,2.0983606557377046,0.0
246,51,0.5,1,0,0,5,onset,,0,,,,,,
246,51,0.5,1,0,0,5,anticipatory,,0,,,,,,
246,51,0.5,1,0,0,5,reactive,1.076905383288362,7,0.1160888671875,0.3037007636523089,0.3136329326937521,1.0,2.692263458220905,0.0
246,52,0.1,2,0,0,1,full,0.757396449704142,30,0.1650390625,0.4192686891505425,0.47610993267209684,0.9655172413793104,1.893491124260355,0.0
246,52,0.1,2,0,0,1,onset,,0,,,,,,
246,52,0.1,2,0,0,1,anticipatory,,0,,,,,,
246,52,0.1,2,0,0,1,reactive,,1,,,,,,
246,53,0.5,1,0,1,6,full,0.7340535740713334,23,0.1702880859375,0.4179159947966787,0.4934518810153827,1.0,1.8351339351783336,0.0
246,53,0.5,1,0,1,6,onset,0.9276419059192871,3,0.1397705078125,0.17580636994278193,0.18951965065502185,1.0,2.3191047647982175,0.0
246,53,0.5,1,0,1,6,anticipatory,0.9276419059192871,3,0.1397705078125,0.17580636994278193,0.18951965065502185,1.0,2.3191047647982175,0.0
246,53,0.5,1,0,1,6,reactive,0.8002485243864554,13,0.1572265625,0.5294492289382167,0.5596273817497972,1.0,2.0006213109661384,0.0
246,53,0.5,1,0,1,6,terminal,0.9276419059192871,3,0.1397705078125,0.17580636994278193,0.18951965065502185,1.0,2.3191047647982175,0.0
246,54,0.9,2,0,1,1,full,,0,,,,,,
246,55,0.1,1,1,0,6,full,0.9481481481481482,64,0.1318359375,0.2647591031984719,0.29267057083383713,0.5555555555555556,1.0534979423868314,0.0
246,55,0.1,1,1,0,6,onset,,0,,,,,,
246,55,0.1,1,1,0,6,anticipatory,,0,,,,,,
246,55,0.1,1,1,0,6,reactive,0.9343065693430657,10,0.1337890625,0.2620634701469888,0.2913507012816771,0.5555555555555556,1.038118410381184,0.0
246,56,0.1,3,1,0,1,full,1.0733752620545074,76,0.116455078125,0.5742119204924385,0.46975128878990435,0.72,1.1926391800605638,0.0
