subj,trial,T_round,distance,cookie_type,is_attack,predator_probability,antic_vigor_resid,react_vigor_resid,term_vigor_resid,log_k_z,log_beta_z,log_cd_z
1,18,0.9,1.0,0.0,1,0.9,0.14887010794868272,0.18503454477132375,0.08970848393045627,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,19,0.9,1.0,0.0,1,0.9,0.06152732226601887,0.17787185646999015,0.16465492371229118,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,20,0.5,1.0,0.0,0,0.5,0.12307079343639482,-0.055824502395329656,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,21,0.9,1.0,0.0,1,0.9,0.12066816346318077,0.193854301552715,0.17385550817258943,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,22,0.1,3.0,1.0,0,0.1,0.09411153908136405,-0.005356890323678032,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,23,0.9,1.0,0.0,1,0.9,-0.056973453329595136,0.16717514931763722,0.23465536612247573,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,24,0.1,1.0,0.0,0,0.1,0.10639230387305165,0.16855292825550028,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,25,0.1,1.0,1.0,0,0.1,0.2379222792318536,0.3079903481841382,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,26,0.1,3.0,0.0,0,0.1,-0.003157887984308605,0.15880138055340165,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,27,0.5,1.0,1.0,0,0.5,0.13644895680203772,0.15079219026283042,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,28,0.1,3.0,1.0,0,0.1,0.10416493271219429,-0.03226525495239452,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,29,0.1,2.0,1.0,0,0.1,0.12971455170945045,-0.19972974475495386,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,30,0.1,2.0,0.0,0,0.1,0.030707529477556283,-0.05349016705301546,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,31,0.1,3.0,1.0,0,0.1,0.022144573640527687,0.016457298034513013,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,32,0.1,2.0,1.0,1,0.1,-0.06780336558682687,0.13059178207579047,-0.005163433325116484,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,33,0.5,1.0,1.0,1,0.5,0.12309534086665819,0.140830184331854,-0.11149394925748057,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,34,0.5,1.0,1.0,1,0.5,0.10586773731729826,0.17391056879657008,0.11508788582039564,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,35,0.1,1.0,1.0,0,0.1,0.13774691328934274,-0.1058542868787965,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,36,0.1,2.0,1.0,0,0.1,0.005602587745160648,0.12240666430498326,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,37,0.1,3.0,1.0,0,0.1,0.11816785674248287,0.15471051119449353,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,38,0.5,1.0,0.0,1,0.5,-0.007875810407045769,0.1565585519578081,-0.033401021566658695,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,39,0.9,1.0,0.0,1,0.9,0.12053458637195424,-0.10138893767482937,-0.1174806340041692,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,40,0.1,1.0,1.0,0,0.1,-0.14247417124371886,-0.17247803950524188,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,41,0.5,1.0,0.0,1,0.5,-0.07504717446961351,-0.2116043539907374,-0.22309336852704498,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,42,0.5,3.0,0.0,1,0.5,0.008311660032597201,-0.07448174586244627,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,43,0.5,1.0,0.0,0,0.5,-0.12003090526837945,-0.2509354872336512,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,44,0.9,1.0,1.0,1,0.9,-0.06523901837490853,-0.13022497582808668,-0.02180604754872517,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,45,0.9,1.0,0.0,1,0.9,0.13255968767573534,0.1789224221578707,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,46,0.9,2.0,0.0,1,0.9,0.026643674411243712,0.074020172299466,-0.08371559738141077,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,47,0.1,2.0,1.0,0,0.1,0.017479980619987012,0.09160101409545796,,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,48,0.9,2.0,1.0,1,0.9,0.10169499249087144,0.1465976896681771,-0.0911074174818971,-0.30517677296271434,1.114828965995147,0.6315851458597619
1,49,0.5,1.0,0.0,0,0.5,0.14274750428659333,-0.09399748547640074,,-0.30517677296271434,1.114828965995147,0.6315851458597619
