subj,optimality_rate,overcautious_rate,overrisky_rate,k,beta,log_k,log_beta,c_death,log_cd,log_k_z,log_beta_z,log_cd_z,calibration_at,discrepancy,calibration_ca,disc_z,cal_z,k_group,b_group,profile
47,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.49232713667887934,3.2341860099914714,-0.7086118714968983,1.1737772765050412,6.372144319789418,1.8519360408480356,-0.039523274028231116,-1.0831443340411664,-0.6770796594926067,-0.012691145398309858,0.8745210727969508,0.09052183363133348,0.6911213751261979,-0.8769182384946386,Low k,Low β,Low k / Low β
48,0.6888888888888889,0.17777777777777778,0.13333333333333333,0.524709229879056,9.14535680805905,-0.6449110176703046,2.213246297818607,37.04646318777678,3.612172886666605,0.05149422751738263,1.262525841626672,0.25329121524700837,-0.7608127836743837,-1.6810344827586046,0.767186556647,-1.35809945227075,-3.077196463047678,High k,High β,High k / High β
49,0.6222222222222222,0.15555555555555556,0.2222222222222222,0.29019417462099767,8.065240739416506,-1.2372050124034193,2.087563561028326,51.27509864990544,3.937205227894291,-0.7947914396705368,0.9789096479350844,0.42508663263360486,0.06663312342542453,0.8189655172413952,0.31881494100285235,0.6465730962697424,-0.643619998687482,Low k,High β,Low k / High β
50,0.7333333333333333,0.13333333333333333,0.13333333333333333,0.7301687558338827,5.619642465988529,-0.31447959918073465,1.7262680437303721,24.04956555391346,3.1801169321022664,0.5236235685928406,0.16360866045847616,0.02492860748807775,0.41753502915092544,-0.9588122605363826,0.39822495343050285,-0.77897182713683,0.388407124470086,High k,High β,High k / High β
51,0.5777777777777777,0.022222222222222223,0.4,0.28495063198446796,3.8153225609344177,-1.2554393348251252,1.3390252118658592,110.8081597757332,4.707800415786902,-0.8208451323528783,-0.7102451464571727,0.8323837078725822,0.5474387534288192,-0.5143678160919382,0.43964609536950044,-0.42258559628518694,0.7704630912987263,Low k,Low β,Low k / Low β
52,0.7777777777777778,0.15555555555555556,0.06666666666666667,1.2947675358535522,3.3219655637356946,0.25833117004443734,1.200556645013261,72.418160230475,4.282457099851244,1.342071076615578,-1.0227138981696189,0.6075690564512389,-0.015584306618637156,1.096743295019173,0.0046030318081091565,0.8693144905520191,-0.8854272286207313,High k,Low β,High k / Low β
53,0.6444444444444445,0.24444444444444444,0.1111111111111111,0.4776722190755185,13.624978287445792,-0.7388305158655193,2.611904746966078,25.18786363723836,3.226362276813142,-0.08270048980016585,2.1621401786287633,0.049371523743068566,0.7811461315528985,0.8745210727969508,0.5231039413046271,0.6911213751261979,1.4578128866992917,Low k,High β,Low k / High β
54,0.5777777777777777,0.13333333333333333,0.28888888888888886,0.40835500428442056,5.255240570926582,-0.8956183743627248,1.6592257827152417,10.423068640189662,2.3440214881897528,-0.30672321941615843,0.01232081161637832,-0.41698854210831776,-0.7450777638379991,-1.1254789272030494,0.7374657684287714,-0.9126166637061964,-3.030918665778391,Low k,High β,Low k / High β
55,0.5777777777777777,0.3333333333333333,0.08888888888888889,0.7139828688998622,10.435100005016562,-0.33689631006784054,2.34517512409767,1.4324984438508044,0.3594200832891025,0.49159396623666396,1.5602369871907782,-1.4659470100968923,-0.4040171811568505,-2.9588122605363827,0.22019739680699527,-2.382709865969224,-2.027835564137401,High k,High β,High k / High β
56,0.6444444444444445,0.15555555555555556,0.2,0.4149976021070358,7.441139252115002,-0.8794825368234672,2.0070239624067954,38.31749296624438,3.6459065273258116,-0.283667898648134,0.7971636501485921,0.2711210867457286,0.4172402768488389,-1.1254789272030492,0.15799963279479345,-0.9126166637061962,0.3875402372705494,Low k,High β,Low k / High β
