subj,k,beta,log_k,log_beta,c_death,log_cd,log_k_z,log_beta_z,log_cd_z
95,0.2463381667957186,13.196595807436093,-1.4010500252610476,2.5799589029560566,4.822303873126566,1.573251795841978,-1.028897622165449,2.0900510523591316,-0.8243778514480542
96,0.22729582229871903,3.0792248948918464,-1.4815029279726226,1.1246779078117728,31.08848863785081,3.4368376104043414,-1.1438509039037679,-1.1939421764264821,0.16061798508690747
97,0.2866332611656761,2.9627042539050295,-1.2495517160103455,1.086102450550384,1.0526390465103106,0.05130038854718199,-0.8124327434697881,-1.2809917159081337,-1.6288032703794308
98,5.50247811014128,7.156507754398843,1.7051985562445113,1.968022118187812,2.2226506630265974,0.7987004759965247,3.409394301485533,0.7091519240608791,-1.2337659350387176
99,0.7728284140912249,5.723262883738042,-0.2576982290433564,1.74453907697589,1.5128419918548857,0.41398999568105416,0.604754324835284,0.20483915110694947,-1.4371041545191507
100,0.19762304956930088,6.9291938061451175,-1.6213938528532545,1.9357434725449068,35.17224983798732,3.56025741481199,-1.3437308381068584,0.6363117962234637,0.22585136073161408
101,0.23437697838251087,2.530912644059009,-1.4508244411943747,0.9285799665694886,508.6821184883701,6.231823299821805,-1.1000166528691206,-1.6364576173393985,1.6379040031163565
102,0.20055159006003018,13.212523065641415,-1.6066837583007207,2.5811650969387427,41.2545468870511,3.7197613342709537,-1.3227126574508181,2.0927729547855085,0.31015694803025007
103,0.4122786023160108,2.9545377865119753,-0.8860559389521847,1.083342221199545,33.95628880732163,3.5250740741794506,-0.29306015326436197,-1.287220461097754,0.20725525221456087
104,0.8426900707036858,6.654195148896336,-0.17115603899107473,1.895247505223986,68.3033191399887,4.223958361881898,0.728408144896891,0.5449284256450265,0.5766496252707186
105,0.3462715187715613,8.083424445803212,-1.0605320753349892,2.0898156002976163,22.480482680740725,3.112647496358179,-0.5423563723719448,0.9839916092442649,-0.010732274228225612
106,0.3897111473052457,3.621641949568305,-0.9423494622088995,1.2869275002314366,31.57433731367954,3.4523446803260343,-0.3734938606990188,-0.8278090621638481,0.1688142265426898
107,0.24856803785186712,5.232557052127292,-1.3920386767477344,1.6549000786951629,88.65476309940499,4.4847497603425595,-1.0160219638662484,0.002559409688456406,0.7144905766669953
108,0.40757107155235367,9.457758589495652,-0.8975399527912196,2.246835419418836,40.14208931181444,3.6924253926318027,-0.30946882260794045,1.3383231950340617,0.2957085719523019
109,0.78407005930836,4.082556309379807,-0.24325690126151378,1.4067233386344309,44.1631247068654,3.7878901582260958,0.6253884842655903,-0.5574772681908744,0.3461663485201317
110,1.552471566265168,15.110573238934313,0.4398482198527339,2.715394713284046,35.838483727502194,3.5790222805014573,1.601427543115319,2.3956760729127144,0.235769505864954
111,0.7091785105078237,5.02268845411223,-0.34364800627356734,1.6139653389765858,0.6148363588747947,-0.48639912971243127,0.4819469602245765,-0.08981409653229973,-1.9130036450839087
112,0.3326459455212264,8.916079840535035,-1.100676581291107,2.187856370231738,49.48249490983934,3.901618968844852,-0.5997159274393755,1.2052308239958212,0.40627756211608557
113,0.6226432106476116,3.085340244889421,-0.47378161983714945,1.1266619413534558,1.4658332216246792,0.382423832753172,0.2960085361352774,-1.1894649979720735,-1.4537884085075563
114,0.5013501299683767,6.035702666576539,-0.6904505597754224,1.7976922796817747,10.48496080398128,2.349941926052311,-0.013573901007586937,0.3247848924152035,-0.41385930244598784
115,0.47438410782591783,5.359069162772209,-0.745737931383525,1.6787902963395296,16.14983797467423,2.781910017090428,-0.09256999177415369,0.05647017554061161,-0.18554313483853052
