subj_idx,mean_dev_subj,mean_dev_pop,mean_abs_dev_subj,mean_abs_dev_pop,mean_observed,mean_ustar_subj,mean_ustar_pop,subj,omega,kappa,log_omega,log_kappa,omega_z,kappa_z,escape_rate,earnings,mean_vigor,p_heavy,oc_ratio,pct_opt
86,-1.2379504642803678,-0.8322344411730405,1.2379504642803678,0.8322344411730405,0.9884101316454454,2.2263605959258133,1.820644572818486,86,0.3644762287442732,0.0655568117193222,-1.0092939457251784,-2.7248381577820076,-1.2533081690924137,-0.8663536204329674,0.5952380952380952,135.0,0.989872782713924,0.7111111111111111,0.375,0.8222222222222222
87,-1.0177221117524524,-0.6224043859999442,1.0177221117524524,0.6224043859999442,0.981274543765942,1.9989966555183944,1.6036789297658862,87,0.8057602250964584,0.1182843140029348,-0.21596906820706158,-2.134664111861702,-0.34121942122331633,-0.4311043525713668,0.5365853658536586,86.0,0.9884101316454454,0.6,0.6363636363636364,0.7555555555555555
88,-1.0831933818005557,-0.7189021546330744,1.0831933818005557,0.7189021546330744,0.9512547787345612,2.034448160535117,1.6701569333676358,88,2.6191752078348367,0.3277492333851089,0.9628594620412316,-1.1155064953643772,1.014084400169806,0.32051732493617735,0.8048780487804879,129.0,0.981274543765942,0.26666666666666666,1.0,0.6
89,-1.0247371163156749,-0.8070113638073138,1.0247371163156749,0.8070113638073138,0.9876374656241244,2.0123745819397993,1.794648829431438,89,2.819182352628539,0.4794141440723459,1.036446897031185,-0.7351904537200701,1.098688165084959,0.6009977693508058,0.48717948717948717,17.0,0.9512547787345612,0.24444444444444444,0.9523809523809523,0.5333333333333333
90,-1.1456273753386987,-0.7991390810243174,1.1456273753386987,0.7991390810243174,1.128285668139562,2.273913043478261,1.9274247491638796,90,0.3739550830455399,0.0741672885700731,-0.9836195875887613,-2.601432080864639,-1.2237902580466298,-0.7753424941402158,0.6410256410256411,144.0,0.9876374656241244,0.6666666666666666,0.5,0.7333333333333333
91,-1.52453348673378,-0.8313657848704258,1.52453348673378,0.8313657848704258,0.9347593942982314,2.459292881032012,1.7661251791686574,91,0.2090874822064203,0.0148218558634787,-1.5650025394451301,-4.211652439999059,-1.8922085361296912,-1.9628688471776707,0.7073170731707317,192.0,1.128285668139562,0.9111111111111111,0.07692307692307693,0.7111111111111111
92,-0.9682604568873402,-0.7600999217702833,0.9682604568873402,0.7600999217702833,0.9677261651862383,1.9359866220735784,1.7278260869565216,92,0.5016289459321356,0.1259118476376056,-0.6898945841271954,-2.07217323880405,-0.8860934604077734,-0.38501776686941264,0.6341463414634146,126.0,0.9347593942982314,0.6222222222222222,0.6,0.7777777777777778
93,-1.1040657308486583,-0.737242988373742,1.1040657308486583,0.737242988373742,0.857338951425589,1.9614046822742472,1.594581939799331,93,0.363273551315926,0.0736314059047543,-1.0125991436274526,-2.608683633599988,-1.2571081681868277,-0.7806904640157781,0.5641025641025641,110.0,0.9677261651862383,0.6444444444444445,0.5454545454545454,0.7555555555555555
94,-0.7127594981590756,-0.7841976252493766,0.7127594981590756,0.7841976252493766,0.8103843145499544,1.52314381270903,1.594581939799331,94,1.9693677184537737,0.6321558510954798,0.6777125361331785,-0.45861931540140116,0.6862498522052374,0.8049670667080558,0.2564102564102564,-16.0,0.857338951425589,0.28888888888888886,1.0,0.6222222222222222
95,-0.7387431316703709,-0.8944621952155214,0.7387431316703709,0.8944621952155214,0.9462735907376557,1.6850167224080266,1.8407357859531772,95,1.676715312826487,0.6308082489056582,0.5168367086368583,-0.4607533470832923,0.5012902773554334,0.8033932331354726,0.7619047619047619,119.0,0.8103843145499544,0.3111111111111111,1.0,0.6444444444444445
