feature,n,beta_omega,p_omega,beta_kappa,p_kappa,r2,sample,test,clinical,beta_feat,p_feat,r2_full,r2_base,delta_r2
conf_react_D,287,,,,,,exp,B_clinical_vs_feature_controlling_params,STAI_Trait,-0.042720650118324426,0.47339185873314465,0.0046651801643846635,0.0028523856618252186,0.001812794502559445
conf_react_D,288,,,,,,exp,B_clinical_vs_feature_controlling_params,OASIS_Total,0.06408822862702934,0.279828197625589,0.011572588645538673,0.007492211848407759,0.0040803767971309135
conf_state_sd,288,,,,,,exp,B_clinical_vs_feature_controlling_params,DASS21_Anxiety,0.1081486814734473,0.0678921808623163,0.01613596303994158,0.004499917876719328,0.011636045163222253
conf_state_sd,288,,,,,,exp,B_clinical_vs_feature_controlling_params,DASS21_Depression,-0.0029666983455827224,0.9601005266589417,0.008152075069301934,0.008143318989337178,8.756079964755692e-06
conf_state_sd,288,,,,,,exp,B_clinical_vs_feature_controlling_params,AMI_Total,-0.03148147494578738,0.5951912540518836,0.010343155456078668,0.009357164155779363,0.0009859913002993048
conf_state_sd,288,,,,,,exp,B_clinical_vs_feature_controlling_params,AMI_Social,-0.017409337352714972,0.7685557734768373,0.012950306648800813,0.012648778804917327,0.00030152784388348675
conf_state_sd,288,,,,,,exp,B_clinical_vs_feature_controlling_params,PHQ9_Total,-0.012603866679828477,0.8316571621489808,0.00857826347267987,0.008420222191522608,0.0001580412811572618
conf_state_sd,287,,,,,,exp,B_clinical_vs_feature_controlling_params,STAI_Trait,-0.05966314693288437,0.31606476708900055,0.006394018885406916,0.0028523856618252186,0.003541633223581697
conf_state_sd,288,,,,,,exp,B_clinical_vs_feature_controlling_params,OASIS_Total,0.04100459799991468,0.48923645607486843,0.009164950365745939,0.007492211848407759,0.0016727385173381792
anx_trait,277,,,,,,conf,B_clinical_vs_feature_controlling_params,DASS21_Anxiety,0.1902553774472842,0.0015644049184908744,0.03778764110793753,0.0018171653298572066,0.035970475778080324
anx_trait,277,,,,,,conf,B_clinical_vs_feature_controlling_params,DASS21_Depression,0.13358613235853287,0.0264752611036408,0.027582710642259145,0.009849186390534004,0.01773352425172514
anx_trait,277,,,,,,conf,B_clinical_vs_feature_controlling_params,AMI_Total,-0.026281024183670853,0.6613482714692118,0.025640925994811936,0.024954558239633773,0.0006863677551781633
anx_trait,277,,,,,,conf,B_clinical_vs_feature_controlling_params,AMI_Social,0.016881611083225452,0.7781730801715199,0.027636829274924057,0.027353624818817646,0.00028320445610641176
anx_trait,277,,,,,,conf,B_clinical_vs_feature_controlling_params,PHQ9_Total,0.10465640097729392,0.08228150570398113,0.023067378075084743,0.012182993145181231,0.010884384929903512
anx_trait,276,,,,,,conf,B_clinical_vs_feature_controlling_params,STAI_Trait,-0.09981795767893085,0.09283218685533723,0.053194652150354016,0.043293136556490586,0.00990151559386343
anx_trait,277,,,,,,conf,B_clinical_vs_feature_controlling_params,OASIS_Total,0.16620407589556105,0.0056538140062421085,0.03678347976505436,0.009332639615944327,0.027450840149110034
anx_react_T,277,,,,,,conf,B_clinical_vs_feature_controlling_params,DASS21_Anxiety,-0.038398773285956214,0.5256783461148303,0.0032913267718907013,0.0018171653298572066,0.0014741614420334948
anx_react_T,277,,,,,,conf,B_clinical_vs_feature_controlling_params,DASS21_Depression,0.10482181356336055,0.08122642112926458,0.020834531011172053,0.009849186390534004,0.010985344620638049
anx_react_T,277,,,,,,conf,B_clinical_vs_feature_controlling_params,AMI_Total,0.15869135485433358,0.007584641140117364,0.05013230627603238,0.024954558239633773,0.025177748036398606
anx_react_T,277,,,,,,conf,B_clinical_vs_feature_controlling_params,AMI_Social,0.17752220437036131,0.0027392543474592176,0.058861252959547805,0.027353624818817646,0.03150762814073016
anx_react_T,277,,,,,,conf,B_clinical_vs_feature_controlling_params,PHQ9_Total,0.09190971949710519,0.12610181073198465,0.020628646036910836,0.012182993145181231,0.008445652891729605
anx_react_T,276,,,,,,conf,B_clinical_vs_feature_controlling_params,STAI_Trait,-0.10463924230906878,0.07709512973733244,0.05424213612531026,0.043293136556490586,0.010948999568819673
anx_react_T,277,,,,,,conf,B_clinical_vs_feature_controlling_params,OASIS_Total,0.15786111526907698,0.008424275241077852,0.03424762750895116,0.009332639615944327,0.024914987893006835
anx_react_D,277,,,,,,conf,B_clinical_vs_feature_controlling_params,DASS21_Anxiety,0.10091017584954591,0.09668507120991215,0.011873930870835436,0.0018171653298572066,0.01005676554097823
anx_react_D,277,,,,,,conf,B_clinical_vs_feature_controlling_params,DASS21_Depression,0.15678837515537883,0.009296661921106385,0.0341273658961444,0.009849186390534004,0.024278179505610398
anx_react_D,277,,,,,,conf,B_clinical_vs_feature_controlling_params,AMI_Total,0.10415785511334016,0.0827005535361808,0.035669071715307976,0.024954558239633773,0.010714513475674203
anx_react_D,277,,,,,,conf,B_clinical_vs_feature_controlling_params,AMI_Social,0.10148883383145701,0.09052784134238835,0.03752605982579249,0.027353624818817646,0.010172435006974845
anx_react_D,277,,,,,,conf,B_clinical_vs_feature_controlling_params,PHQ9_Total,0.12860965428054583,0.033033295164506586,0.02851861008401524,0.012182993145181231,0.016335616938834008
anx_react_D,276,,,,,,conf,B_clinical_vs_feature_controlling_params,STAI_Trait,-0.10265286472829842,0.08467731268811866,0.05371131698348419,0.043293136556490586,0.010418180426993606
anx_react_D,277,,,,,,conf,B_clinical_vs_feature_controlling_params,OASIS_Total,0.13994680011274976,0.020448910453620035,0.028675217080872395,0.009332639615944327,0.019342577464928068
anx_state_sd,277,,,,,,conf,B_clinical_vs_feature_controlling_params,DASS21_Anxiety,0.07873843628833767,0.19331781933286502,0.007996383558807496,0.0018171653298572066,0.0061792182289502895
anx_state_sd,277,,,,,,conf,B_clinical_vs_feature_controlling_params,DASS21_Depression,-0.009788915266816637,0.8712050730610708,0.009944692048415193,0.009849186390534004,9.55056578811897e-05
anx_state_sd,277,,,,,,conf,B_clinical_vs_feature_controlling_params,AMI_Total,-0.09681546757591512,0.10529183872773556,0.03429676460657105,0.024954558239633773,0.009342206366937278
anx_state_sd,277,,,,,,conf,B_clinical_vs_feature_controlling_params,AMI_Social,-0.07879298633587677,0.18724866782329114,0.03354140794764404,0.027353624818817646,0.006187783128826396
anx_state_sd,277,,,,,,conf,B_clinical_vs_feature_controlling_params,PHQ9_Total,-0.012737402418690648,0.8327197938482016,0.012344697494736878,0.012182993145181231,0.00016170434955564694
anx_state_sd,276,,,,,,conf,B_clinical_vs_feature_controlling_params,STAI_Trait,0.017922549509718676,0.7630241605931114,0.043613427431837715,0.043293136556490586,0.00032029087534712897
anx_state_sd,277,,,,,,conf,B_clinical_vs_feature_controlling_params,OASIS_Total,0.03578121442839604,0.553418671056067,0.010608696736327583,0.009332639615944327,0.001276057120383256
conf_trait,276,,,,,,conf,B_clinical_vs_feature_controlling_params,DASS21_Anxiety,0.0650931256076544,0.2922447000165153,0.006128579940606893,0.002059681084119802,0.004068898856487091
conf_trait,276,,,,,,conf,B_clinical_vs_feature_controlling_params,DASS21_Depression,-0.07844772782065404,0.20220640533366688,0.01639978700105149,0.010490060518538069,0.005909726482513422
conf_trait,276,,,,,,conf,B_clinical_vs_feature_controlling_params,AMI_Total,-0.13740857101331014,0.02393901518947973,0.04361528328960795,0.025483760122031907,0.018131523167576047
conf_trait,276,,,,,,conf,B_clinical_vs_feature_controlling_params,AMI_Social,-0.1383574473551957,0.02282672238700521,0.04596313702974486,0.027580334390581718,0.018382802639163143
conf_trait,276,,,,,,conf,B_clinical_vs_feature_controlling_params,PHQ9_Total,-0.05578684363302792,0.3643108426109373,0.015548626045060798,0.012560009315826792,0.002988616729234006
conf_trait,275,,,,,,conf,B_clinical_vs_feature_controlling_params,STAI_Trait,0.09991421055761736,0.09905225343156458,0.05169058014834571,0.042104216131162775,0.009586364017182936
conf_trait,276,,,,,,conf,B_clinical_vs_feature_controlling_params,OASIS_Total,-0.06427161504286179,0.2965019248760361,0.013782561796945259,0.00981571827671679,0.003966843520228469
conf_react_T,276,,,,,,conf,B_clinical_vs_feature_controlling_params,DASS21_Anxiety,0.1276828673191381,0.03509235546734355,0.01824924488713031,0.002059681084119802,0.01618956380301051
conf_react_T,276,,,,,,conf,B_clinical_vs_feature_controlling_params,DASS21_Depression,-0.027312700649418677,0.65204224518098,0.011230857465027166,0.010490060518538069,0.0007407969464890973
