subj,n_anx,n_conf,anx_sensitivity,conf_sensitivity
182,17,17,0.18131445497209578,0.12151376942941489
183,17,18,0.32539682539682524,-0.222962794115011
184,16,18,-0.4563042322413811,-0.14656432258547394
185,15,16,0.3664610215253428,-0.03030303030303031
186,12,15,-1.2683378006439664e-17,0.4507205359600318
187,17,18,0.38593765703846666,5.284347029293561e-17
188,11,12,0.39134681851462133,0.17509121710288422
189,18,18,0.26642530715830226,0.45514956368175624
190,18,18,0.564476706565153,0.19069251784911856
191,17,17,0.19853284661875537,0.11769797726729996
192,14,17,-0.2083936411456643,-0.3363226966622171
193,16,15,0.23581372990299823,-0.2800845226855481
194,9,10,,
195,17,18,-0.04786891315862941,0.23577978128575378
196,18,18,0.4312909745889715,0.5734054188086002
198,17,17,0.32024937357925637,-0.005071505162084877
199,17,18,0.5963919877633671,-0.6422847797534472
200,18,18,0.33681653485430385,0.382583354864275
201,16,18,-0.4299346810913494,-0.13936662018318777
202,15,16,0.17378989012151244,-0.05789607333198485
203,18,17,0.1084652289093281,0.051639777949432225
204,18,18,0.6126374746329801,0.32685399502368306
205,17,18,-0.09865585285765241,0.26885684559208817
206,11,14,0.01785714285714289,0.3035624658096981
207,18,18,0.3442651863295482,0.14071950894605834
209,17,18,0.37365231947148725,0.3519355276342429
210,17,16,-0.03268602252303068,0.3651483716701107
211,17,18,0.25793650793650785,0.44688318275038136
212,17,16,0.07429320641539522,0.00911618314574032
213,17,18,-0.11769797726729996,-0.20244408254472906
214,18,18,0.08908708063747481,0.38138503569823684
215,16,17,0.586588460085413,0.7116057709655912
216,18,18,0.1835206628143918,0.31072950418103584
217,13,15,0.23800827732435337,0.16308201826336055
218,18,18,0.2560309345858093,0.09690031662230188
219,18,17,0.30779350562554614,-0.3887734316343918
220,17,18,0.1894633121319539,0.4886130533202913
221,16,15,0.2720435304475861,0.5272179250551493
222,18,18,0.2647577331626635,0.43599829166186166
223,17,15,0.24318291682287793,-0.08403658068160182
224,16,18,0.08652532008633533,0.1362850144578777
225,18,18,0.5132894331218663,0.5930672165988063
226,13,15,0.2672612419124245,-0.33915056521804965
227,18,18,0.31079078025403045,0.05883484054145522
228,16,15,0.5685264184290592,0.40414484828656283
229,18,18,,0.34299717028501764
230,18,17,0.11180132049379321,0.39470694637299275
231,16,16,0.1823663711400259,0.19366593274629768
232,16,15,-0.36037498507822363,0.10721125348377945
233,18,18,0.1363700400658336,-0.6632145629322048
234,18,18,0.09901475429766744,-0.06681531047810609
235,16,16,0.005617534298645017,0.5362412100731557
236,18,18,0.063887656499994,0.2076136996343499
237,18,18,0.06539999973840002,-0.1348018144353045
