subj,n_anxiety,anxiety_coupling,n_confidence,confidence_coupling,sample
191,18,-0.03137927551584906,18,-0.011861670159686952,conf
192,18,-0.013557855417368828,18,0.021556328884496115,conf
193,18,-0.04230462792294238,18,0.023356935621712198,conf
194,18,0.053575344046767844,17,0.04073777103238031,conf
195,18,-0.0016556221937670565,18,-0.03388330592505186,conf
196,18,0.08724705737637782,18,0.02016738705934965,conf
197,18,0.03421459289258873,18,-0.015869934361385923,conf
198,16,0.0441922035948063,18,0.010923301075850263,conf
199,18,-0.013832324551533088,18,0.01627630726121298,conf
200,18,-0.0066214648496666475,17,,conf
201,18,0.034993797031493544,18,0.003926252333672385,conf
202,17,-0.015958456102990497,18,0.025350400591477047,conf
203,18,-0.005547499672608274,18,0.020661176622457693,conf
204,18,-0.06342609005263376,18,0.007018664737913705,conf
205,18,0.007997833758976796,18,-0.03410281201958779,conf
206,15,0.014860359939398141,15,-0.019237906431121807,conf
207,18,-0.016194624204080278,18,-0.0007045927154432082,conf
208,18,-0.015911926261064347,18,-0.005914732126883167,conf
209,18,-0.016780072676886852,18,-0.08509567058661185,conf
210,18,0.009271340951266591,18,0.006674024491319473,conf
211,18,0.0036180981974309845,18,0.014355429664336289,conf
212,18,0.02471342678861534,18,0.0013107315474275107,conf
213,18,-0.000193842407080463,17,0.000479479059793015,conf
214,18,-0.006963819891057977,18,0.01296254766508752,conf
215,18,0.013287545921035255,17,0.004997349083037563,conf
216,18,0.006756008316849117,18,0.023305671907709342,conf
217,18,0.018405673600121714,18,0.004739390164976425,conf
218,18,0.0013914654631803753,18,-0.0026976694758665924,conf
219,18,0.0015131947005628124,18,0.006984982303582356,conf
220,18,-0.0049682253502665655,18,0.0001379460671542514,conf
221,18,-0.00022652288706503687,18,0.0004095477334332358,conf
222,18,-0.07361200290769727,15,0.03875996235903067,conf
223,18,0.008409554953570687,17,-0.011527042717336143,conf
224,18,0.013520694983310377,18,0.06712627670325225,conf
225,18,-0.006652461233310227,18,-0.032637962135708604,conf
226,18,0.008165605367990065,18,0.028297554909631678,conf
227,17,0.006645390612270092,18,0.018845041471165273,conf
228,18,0.028536561532320343,18,0.014213410126386682,conf
229,17,-0.02324809172282046,18,-0.050896007568339195,conf
230,18,0.010437196554278128,18,0.004443539119938963,conf
231,18,0.002133863128021097,18,0.03654719553281039,conf
232,18,0.0048255486362218745,18,0.0006368274404498239,conf
233,18,0.009375691809929608,18,-0.024750169769492878,conf
234,18,-0.023876601700286482,18,-0.034659438066783683,conf
235,18,0.003512831860386282,18,-0.011291544346921775,conf
236,18,-0.030826568733517943,18,-0.04553802289496543,conf
237,18,-0.0902650975240915,18,0.01648967797023946,conf
238,18,0.037993514630513585,17,0.03770190978268601,conf
239,18,-0.008479040279253168,18,0.00106696425445538,conf
240,18,-0.039960808478585866,18,-0.010007110674443466,conf
241,18,0.024574477800340045,18,0.03165266734872523,conf
242,18,0.024286230919039507,17,0.016095139886131222,conf
243,18,0.010604304125561593,18,-0.02766828315763552,conf
244,18,0.01354814781687826,18,0.033616099446849575,conf
245,17,0.04111350608075071,18,-0.11989923924826892,conf
246,18,0.00788547341316786,18,0.0013504719240761817,conf
247,18,-0.017761559122467456,18,0.014788066886103943,conf
248,18,0.001873411162356573,18,-0.0003024073702995665,conf
249,18,0.0008356922067624318,18,,conf
250,18,-0.00449459976502057,18,-0.020064867312176708,conf
251,17,0.023374117577641466,18,-0.008404996988550056,conf
252,18,-0.01953435934756836,18,0.08377420120055452,conf
253,17,0.040239255056767176,16,0.007376995840032229,conf
254,18,0.0022482316677221283,18,-0.025140555171525532,conf
255,18,-0.02341636680351926,18,0.00015547186243484526,conf
256,18,-0.0013745760785389325,18,0.000558068606905984,conf
257,17,0.01449514769064078,18,-0.023545735107473053,conf
258,17,0.04441304349583327,18,0.0521111190942836,conf
259,18,-0.02564081041860263,18,0.03799792456013609,conf
260,18,-0.024466742438250675,18,0.015133800573509826,conf
261,17,-0.008043157108244265,17,0.03534165382736361,conf
262,18,-0.0007088607392755241,18,0.006533779632908942,conf
263,5,,6,,conf
264,16,0.025846577849819363,18,-0.01918992767241852,conf
265,18,0.0032822128726194898,18,-0.032534467530067335,conf
266,16,-0.012949591150993546,16,0.031012621592939903,conf
267,17,0.00818181303260411,17,0.010533725194522045,conf
268,18,0.007272732942065677,18,0.0976399992238616,conf
269,18,-0.024738921625897126,18,0.01934036553558976,conf
270,18,-0.04671504589006214,18,0.09952110829133186,conf
271,18,0.004628313521235325,18,-0.026370273826262537,conf
272,18,-0.005418971179358081,18,-0.14820511605474324,conf
273,18,0.01338673770563941,18,-0.002456262660463469,conf
274,18,-0.029219009636295132,18,0.009145752382441289,conf
275,17,-0.014236834619292024,18,0.0031245989568994903,conf
276,17,0.011611075418860863,17,-0.014453054278296693,conf
277,17,-0.006204466864593844,18,0.008743978414288983,conf
278,18,0.000314095626148513,17,0.00659093048620236,conf
279,18,0.0015635488030195143,18,0.027130489328443183,conf
280,14,-0.01480953528637543,16,0.006123145370744182,conf
281,18,0.008585092615390108,17,0.0543030297560989,conf
