outcome,sample,model,N,R2,F_p,predictor,beta,p
kappa_z,exploratory,clinical_only,289,0.025313144704590562,0.7036037002593792,STICSA_Total,0.17262810167140694,0.20467328528678386
kappa_z,exploratory,clinical_only,289,0.025313144704590562,0.7036037002593792,AMI_Behavioural,0.11232396429974421,0.17562586262795446
kappa_z,exploratory,clinical_only,289,0.025313144704590562,0.7036037002593792,AMI_Social,-0.014484748534255281,0.8452892508960155
kappa_z,exploratory,clinical_only,289,0.025313144704590562,0.7036037002593792,AMI_Emotional,-0.03552052880268972,0.5951254036364065
kappa_z,exploratory,clinical_only,289,0.025313144704590562,0.7036037002593792,MFIS_Total,-0.11158673584228836,0.2939646317988272
kappa_z,exploratory,clinical_only,289,0.025313144704590562,0.7036037002593792,PHQ9_Total,-0.07556332462470357,0.574072870071606
kappa_z,confirmatory,clinical_only,281,0.0357649743641133,0.4424111146864396,DASS21_Anxiety,-0.15247017072540076,0.19235208115385824
kappa_z,confirmatory,clinical_only,281,0.0357649743641133,0.4424111146864396,DASS21_Depression,0.06324071326542749,0.6537089323093986
kappa_z,confirmatory,clinical_only,281,0.0357649743641133,0.4424111146864396,DASS21_Stress,0.11556956223901114,0.3887310115458634
kappa_z,confirmatory,clinical_only,281,0.0357649743641133,0.4424111146864396,OASIS_Total,-0.07413856998772489,0.5348340448325234
kappa_z,confirmatory,clinical_only,281,0.0357649743641133,0.4424111146864396,STICSA_Total,0.19445758427720466,0.11692475241518603
kappa_z,confirmatory,clinical_only,281,0.0357649743641133,0.4424111146864396,AMI_Behavioural,0.1461505039167857,0.0643447107979572
kappa_z,confirmatory,clinical_only,281,0.0357649743641133,0.4424111146864396,AMI_Social,-0.05791039642953184,0.42307826185015057
kappa_z,confirmatory,clinical_only,281,0.0357649743641133,0.4424111146864396,AMI_Emotional,0.060091089320030766,0.33689685336476755
kappa_z,confirmatory,clinical_only,281,0.0357649743641133,0.4424111146864396,MFIS_Total,-0.0867392847283356,0.4311044000828608
kappa_z,confirmatory,clinical_only,281,0.0357649743641133,0.4424111146864396,PHQ9_Total,-0.0465560240265743,0.7364303011309009
kappa_z,exploratory,clinical_plus_affect,289,0.052867572378231364,0.513644649959959,DASS21_Anxiety,-0.039706104070790005,0.7207268659406889
kappa_z,exploratory,clinical_plus_affect,289,0.052867572378231364,0.513644649959959,DASS21_Depression,-0.13539329322676324,0.27097884180465
kappa_z,exploratory,clinical_plus_affect,289,0.052867572378231364,0.513644649959959,DASS21_Stress,-0.00930836304884643,0.9417674942735106
kappa_z,exploratory,clinical_plus_affect,289,0.052867572378231364,0.513644649959959,OASIS_Total,0.10365508167089346,0.3505800604205961
kappa_z,exploratory,clinical_plus_affect,289,0.052867572378231364,0.513644649959959,STICSA_Total,0.1437478889786582,0.2964336824597772
kappa_z,exploratory,clinical_plus_affect,289,0.052867572378231364,0.513644649959959,AMI_Behavioural,0.10538216042271911,0.20655700603110036
kappa_z,exploratory,clinical_plus_affect,289,0.052867572378231364,0.513644649959959,AMI_Social,-0.02029009903233817,0.787500498285681
kappa_z,exploratory,clinical_plus_affect,289,0.052867572378231364,0.513644649959959,AMI_Emotional,-0.023242251358932202,0.7297654334921146
kappa_z,exploratory,clinical_plus_affect,289,0.052867572378231364,0.513644649959959,MFIS_Total,-0.12666011756031914,0.24043126047187713
kappa_z,exploratory,clinical_plus_affect,289,0.052867572378231364,0.513644649959959,PHQ9_Total,-0.07299170740815226,0.5895888996335917
kappa_z,exploratory,clinical_plus_affect,289,0.052867572378231364,0.513644649959959,anxiety_intercept_HvL,0.0695797891099003,0.5136507435464329
kappa_z,exploratory,clinical_plus_affect,289,0.052867572378231364,0.513644649959959,anxiety_slopeT_HvL,0.024112936598456213,0.796418682911158
kappa_z,exploratory,clinical_plus_affect,289,0.052867572378231364,0.513644649959959,anxiety_slopeD_HvL,0.11834780927908753,0.12672323739868502
kappa_z,exploratory,clinical_plus_affect,289,0.052867572378231364,0.513644649959959,confidence_intercept_HvL,-0.194772926060806,0.06859463787894789
kappa_z,exploratory,clinical_plus_affect,289,0.052867572378231364,0.513644649959959,confidence_slopeT_HvL,-0.1074124195081875,0.22568073999252117
kappa_z,exploratory,clinical_plus_affect,289,0.052867572378231364,0.513644649959959,confidence_slopeD_HvL,-0.02660512478038829,0.7405328550531569
kappa_z,confirmatory,clinical_plus_affect,281,0.10286362827009421,0.02134236143583165,DASS21_Anxiety,-0.13033091608335237,0.2583429564111295
kappa_z,confirmatory,clinical_plus_affect,281,0.10286362827009421,0.02134236143583165,DASS21_Depression,0.014537287626779851,0.9164174275805522
