test,sample,N,R2,predictor,beta,p,scale
C_clinical_full,confirmatory,281,0.10277387245768277,anxiety_slopeT_HvL,0.25200646298453877,0.0055297320090242665,DASS21_Depression
C_clinical_full,confirmatory,281,0.10277387245768277,anxiety_slopeD_HvL,0.25678830472405856,0.0018065654391567823,DASS21_Depression
C_clinical_full,confirmatory,281,0.10277387245768277,confidence_intercept_HvL,-0.17084547638694766,0.1313138053635766,DASS21_Depression
C_clinical_full,confirmatory,281,0.10277387245768277,confidence_slopeT_HvL,-0.012542336924562494,0.8972160624152967,DASS21_Depression
C_clinical_full,confirmatory,281,0.10277387245768277,confidence_slopeD_HvL,-0.15079198941268107,0.04874260062552083,DASS21_Depression
C_clinical_full,exploratory,290,0.04540267369217266,omega_z,-0.08131332505282696,0.2061257680469575,DASS21_Stress
C_clinical_full,exploratory,290,0.04540267369217266,kappa_z,-0.013553891365830035,0.8309208947554546,DASS21_Stress
C_clinical_full,exploratory,290,0.04540267369217266,anxiety_intercept_HvL,0.05441898686174553,0.595017236856506,DASS21_Stress
C_clinical_full,exploratory,290,0.04540267369217266,anxiety_slopeT_HvL,-0.07788933768671967,0.3903894935790528,DASS21_Stress
C_clinical_full,exploratory,290,0.04540267369217266,anxiety_slopeD_HvL,-0.057868575798817844,0.4416933614626387,DASS21_Stress
C_clinical_full,exploratory,290,0.04540267369217266,confidence_intercept_HvL,0.08182356919853385,0.43377674708776914,DASS21_Stress
C_clinical_full,exploratory,290,0.04540267369217266,confidence_slopeT_HvL,0.1727679329029254,0.043195950123002515,DASS21_Stress
C_clinical_full,exploratory,290,0.04540267369217266,confidence_slopeD_HvL,0.014909355540141184,0.8476674374014838,DASS21_Stress
C_clinical_full,confirmatory,281,0.0913890775222237,omega_z,-0.0883877710980347,0.1568811183712563,DASS21_Stress
C_clinical_full,confirmatory,281,0.0913890775222237,kappa_z,0.04186840395464617,0.5065023454559658,DASS21_Stress
C_clinical_full,confirmatory,281,0.0913890775222237,anxiety_intercept_HvL,0.42344777160161895,5.241218407292579e-05,DASS21_Stress
