subj,log_omega_true,log_omega_rec,log_omega_lo80,log_omega_hi80,log_omega_lo95,log_omega_hi95,log_kappa_true,log_kappa_rec,log_kappa_lo80,log_kappa_hi80,log_kappa_lo95,log_kappa_hi95
186,1.0978249307063408,0.8586325345344841,0.5420973553169173,1.1634015477619113,0.3583087315795625,1.3068328554800313,-0.6295195567395889,-1.1509766453602328,-1.7830004180478365,-0.5454174427618292,-3.4818682267629915,-0.3698558038564303
187,2.0465987025685246,2.548221554981729,2.1246437023688918,2.9907854561910856,1.9276745221341294,3.2251608783376304,-1.4168431935363817,-3.343036791282696,-5.911708650221359,-1.0120339328899957,-7.465847971366857,-0.20569268831748433
188,-1.4890919882485891,-1.3520967798181371,-1.8671576621193267,-0.8747258748828272,-2.208500006311167,-0.6772896601371028,-1.3121632841315622,-1.4658165801373546,-1.8802353044816662,-1.074496219242584,-2.1676902750171396,-0.9102037587927015
189,0.4944636946936108,0.7507816507512542,0.45129607271991473,1.041156863545795,0.29474279805966874,1.1740536641316377,0.7031935704883965,1.0082223773408399,0.717363548420872,1.2960400093457796,0.5557482542623322,1.4473494310663695
190,1.0898860408739104,1.5100179250299712,1.2388071785274948,1.7712260648696199,1.080003685993489,1.9104719281801263,-1.7495047714105547,-3.511582891611788,-5.92929457970882,-1.4129453617589136,-7.492021028767515,-0.8017364506753274
191,-1.5924906870888034,-0.09792401803280222,-0.3883485752606754,0.18006653771329073,-0.5712559655163234,0.31442992444897777,-3.3703512440073595,-4.856982547364274,-6.826354022412233,-3.155597303226143,-8.171043674953575,-2.578048167500918
192,-1.2561702230189455,0.1106962217847543,-0.17348756906661303,0.3842359222704721,-0.34123898023496707,0.5113550207327114,-3.487115243318279,-4.576603303117082,-6.5756733032188555,-2.824967726615953,-7.941672186023223,-2.300022784160545
193,0.668969599546494,0.7632220843812316,0.4279324519631285,1.0874134464785017,0.2210838655441924,1.2314080247747659,-1.1041578287661744,-1.6168330908769937,-3.0847458858487498,-0.6902072944305276,-5.2627640661628305,-0.4803366038453707
194,-0.8295836242588066,-0.9833354082981971,-1.4847549787603076,-0.5099568584430879,-1.8059721991487399,-0.2989697760227886,-0.8222458278592328,-0.7748598064145595,-1.1214926241958847,-0.43019194050697324,-1.307700714727862,-0.26415589661630784
195,-0.9657881652305209,-0.10921257951591785,-0.3998811041531194,0.16241533349914028,-0.5598244446737476,0.2854165650125662,-4.651876854001396,-5.01348382003304,-6.938676576080784,-3.325119266324272,-8.325598849163056,-2.754002924359436
196,0.19387175430506148,0.24959300093451947,-0.04218334472462992,0.5282280518389404,-0.21548101934163927,0.6618185904098706,-2.3035300412206383,-4.234188938985834,-6.361254578927689,-2.3966468736444346,-7.81687219202917,-1.862014457035316
197,0.5086932546506663,0.9611920927146713,0.64322854819081,1.2641446570572519,0.4552653887267084,1.412676177063934,-0.6545442167209002,-0.15511218687969844,-0.4747462813998612,0.15798356379216813,-0.6634489666635465,0.3087285514741882
198,0.6027654225418752,0.370911833816977,0.046258894630697725,0.6793204999198381,-0.16433595703093054,0.8203587430833459,-0.6003928595137892,-0.7118754955741315,-1.0659628600814217,-0.3788167861397584,-1.2941725843750789,-0.221223053551839
199,-0.1907225613815938,-0.20952070941444,-0.5734500595321991,0.13050440338003017,-0.8102391119895772,0.28395462536295635,-0.6663570981075745,-0.6602599491163802,-0.987194450971552,-0.3481717454799286,-1.176724546791638,-0.20524107743304085
200,0.13813818780517403,0.8719934970561319,0.5962142914742194,1.1377383397042062,0.44201053441698096,1.2653949268453872,-1.8459213957893126,-4.160468884907381,-6.32373222309298,-2.266645439482888,-7.766673728744375,-1.6965725108690684
201,0.17378460370516244,0.7816400323555555,0.46392130461616177,1.0914684166515796,0.2759390601514988,1.2301934662844525,-0.3590367157054514,0.2873143035039746,-0.03677114822753955,0.6069051361033186,-0.2246165377148064,0.7478107858587232
202,0.12725339001250335,0.22414787400564085,-0.0891835094453059,0.5215429589054129,-0.28403461661939217,0.6593437113370709,-0.7914827092762514,-0.6882544494108661,-1.0120995639076225,-0.37710705427245506,-1.208570612451854,-0.2288746804315942
203,0.6317520149781223,0.7410874265938246,0.47143491369714174,1.0023838720777367,0.3104876731896773,1.1287132005288447,-1.926399888481476,-4.154053980298133,-6.266270597166871,-2.288296699665393,-7.698823494487402,-1.7086513370914702
204,-1.808714219062798,-0.4402599576084901,-0.7191528172042069,-0.17372565997536157,-0.8873821598713162,-0.04131916691604713,-3.8802276845321124,-5.533369619406819,-7.333147548040747,-3.9705339308411474,-8.612411109408438,-3.407351973121353
205,-2.330442485244514,-0.9863987240233324,-1.4088528558298266,-0.5796550199394382,-1.664755156674311,-0.4036903395640332,-2.9309035750362016,-3.4613118391489137,-5.4994695956374935,-2.0101020891918613,-7.148164366022627,-1.6878896931369571
206,0.30993705840040536,0.4000352971364486,0.12715628059283823,0.6633468686335086,-0.03268464294835985,0.7958511480722562,-2.6539023461408258,-4.510826716744579,-6.602159092160234,-2.7035954149763617,-8.047987116114632,-2.157097728954188
207,0.0895011425818649,0.13471103255417205,-0.13076696949743988,0.39104708060846527,-0.297453404779984,0.5103638115910926,-1.9866481934990907,-4.955434704857905,-6.906813034404098,-3.284997672921264,-8.233356870171182,-2.729809303869258
208,1.5635260132657471,1.1414892964713161,0.8810746144047666,1.3969361480813987,0.7296907810387812,1.5233284448824442,-0.4447888874186715,-4.113055220041932,-6.325634020005699,-2.173193662249339,-7.792414198301275,-1.5358511613006853
209,1.0391764233927288,1.1226990735177154,0.8520593279383344,1.383310213171291,0.6967427835482238,1.5093250342647258,-1.9970646157607244,-3.954243035306186,-6.235809897971015,-1.9553968035943616,-7.7142072386389495,-1.3911907913228623
210,-0.4935847887963997,-0.5192328072455705,-0.9226264221820828,-0.1489954649317714,-1.1850454615567512,0.012207633041275607,-1.2164435779920169,-1.0469253674912316,-1.3940740201958077,-0.7180679741741923,-1.6162592378474634,-0.5723437109490422
211,-1.2877512179798019,-1.0215556219002975,-1.4930002914598992,-0.5814131382772608,-1.7819365603507067,-0.39043480446246864,-1.9664951353236981,-2.577382439918703,-4.000736774262722,-1.5881603626656429,-5.831237800847356,-1.3415277058792612
212,-0.6014912076646258,-0.1899030226343111,-0.5150117319316834,0.11183525175702975,-0.7128960430096305,0.2575607844225004,-2.6481214933640733,-4.700709033707924,-6.709566699518242,-2.981446608529073,-8.092654546671401,-2.447847700681721
213,1.718105019853957,1.6881657066309053,1.4047582979404138,1.9691869591350912,1.2407266955533325,2.1080959313572882,-0.9273542526427714,-3.3603857538369,-5.87642517231138,-1.115093669368509,-7.478702395669893,-0.5036566367609326
214,-0.2820429071116982,0.16340524684388155,-0.15641141530974026,0.46061443821897385,-0.3512789904029164,0.6086108299108188,-3.50110515880398,-3.827166824284235,-6.001375680630045,-2.0413436936819234,-7.495686057332202,-1.5809423202669872
215,-0.06168645700307699,0.3610700932527906,0.09933430915060522,0.6118173589132552,-0.05898261886470514,0.7388962155282225,-3.0663875509713634,-4.848154124568814,-6.8126904614849435,-3.119555918332733,-8.09425715270828,-2.5738809545798698
216,-1.3276265690444966,-1.065708588851933,-1.5454739326683125,-0.6013875396361373,-1.855616652555852,-0.40054171799040006,-1.2578737004019445,-0.8038824614673451,-1.1344625185062194,-0.47261049239772157,-1.3113319980932765,-0.30921520878178227
217,0.06925057816761461,-0.17716488029420577,-0.5566834759330467,0.18075246685686325,-0.8178487709906543,0.3420617192700291,-0.1607198255943864,-0.25416889908687607,-0.594252266991726,0.07524035747565666,-0.8224743021864626,0.22274024540941442
218,-0.9578140317274677,-1.058590951971889,-1.5427501872975844,-0.6005951056387316,-1.8606671976826359,-0.3997426623584701,-1.9917845043159292,-2.8792153691519777,-4.458508422012341,-1.7791480874297854,-6.220379573303612,-1.5159940007522807
219,0.08514024286132947,0.19387006946961308,-0.10584152141234521,0.48604427357881147,-0.29306671258341827,0.6146470419228414,-2.538920856405539,-4.346784966821158,-6.4276449663057695,-2.562612613789214,-7.802798463387205,-1.9918952586691465
220,0.23043736508071513,0.4189150509869796,0.15056580769689917,0.6804231150660195,-0.013246994715411546,0.7986954922616689,-1.8928115150718556,-4.553553278927445,-6.5890517089277205,-2.782429376869941,-7.983566681885492,-2.204833072364129
221,1.2172086655166232,1.0791154079835477,0.7985999619643129,1.350329763378205,0.6404627134705339,1.477978652567606,-1.413405281242185,-3.9224224351233894,-6.184146984111318,-1.9621824929359746,-7.627822693657692,-1.356561688446009
222,-1.167023204150072,-0.4636042525512958,-0.8557684102799192,-0.09679573613864045,-1.121979529102062,0.061821325685867845,-1.631716154061308,-1.3000980205985866,-1.7018388868484335,-0.9307200990245313,-1.9773349319328166,-0.7758931675225161
223,0.33520417232297456,0.40176116842824044,0.1052554222257806,0.685655964553489,-0.06604748858795216,0.820351042809455,-0.045939599708671605,-0.11704985322163886,-0.4147031534383771,0.16722002836282043,-0.5862200666387285,0.3112187661869801
224,0.8822091063199924,0.8145047201694534,0.5143825584764705,1.1031668282309737,0.33647921000264464,1.2412399410525834,-0.16722524670178918,-0.14068537921980334,-0.44136338091023886,0.15376535003488062,-0.6152377683024994,0.30068252052668826
225,0.2724598359696463,0.27700801007312964,0.0008563454280251183,0.5470057891358804,-0.1698841802528614,0.6741637641391146,-1.8204706664580248,-4.456834266225524,-6.545700892049591,-2.645972726607816,-7.992252149274308,-2.0528434462674325
226,2.517836865588808,2.275667138204237,1.9336241688457538,2.6320172129657653,1.7648116638639875,2.8257015929944416,0.5117259022327627,-3.3502133240768206,-5.878351911183643,-1.0334704684155127,-7.465257090267526,-0.30598818479382695
227,0.22807837607846754,0.1859032439551791,-0.1296468538482639,0.4905842110245109,-0.3228886691688754,0.6289926037008158,-1.5042491548035508,-3.8715686836271117,-6.1360699689711895,-2.0275457393225285,-7.733990781544295,-1.575054818324027
228,-0.038021469366842836,0.06944453383186525,-0.2649091603125493,0.3845634241624933,-0.47572213763610566,0.5364337422615449,0.09878973723879207,0.258171901048981,-0.031731091228971484,0.5409850691497522,-0.20074800278770463,0.6805185546075324
229,0.21518768431509866,0.45486149765820755,0.15680216824705262,0.7363111635346274,-0.02483971048193392,0.8709957776533993,-1.104392681596367,-0.6760311128567353,-0.9924754079241906,-0.3680432773632568,-1.2074087405884462,-0.21361354679253464
230,-0.3865932411893647,0.04041445487081344,-0.26829987777140285,0.33314615723697144,-0.47324734797836104,0.4699419508723889,-0.9215607592683701,-0.5951655176146382,-0.881931762291387,-0.3228212633725124,-1.0566110885447528,-0.1908150383189356
231,-2.1894822386462156,-0.7453498776295746,-1.1660134261871038,-0.3428623566010755,-1.4335943772685127,-0.17814700762403396,-3.141447014029135,-4.133088767987826,-6.217996871967847,-2.453483199009869,-7.6072456542858236,-1.9937220506595472
232,-0.7829219271991478,-0.24674114281200585,-0.5863315103676452,0.07150176919321817,-0.7870753028770056,0.2116183540207095,-2.9280318757947175,-4.809945592615528,-6.788131223239412,-3.101987083131876,-8.13295708212845,-2.540314015917492
233,1.362532663948934,1.7397839722700201,1.4683017711444446,2.007553834020893,1.32170323230642,2.1388190292374807,-2.4466453185678656,-3.583032994170428,-5.964439244796552,-1.4457282408067091,-7.475581010614627,-0.8062224458896723
234,-0.10953643955395445,-0.1459534450755446,-0.5030647349598402,0.19472398654271486,-0.7423136333286007,0.34651515482846673,0.16853750084736863,0.14084742495317762,-0.15252833144703704,0.422792379017781,-0.3254231000743684,0.5589319298713906
235,-0.05779712087513242,-0.06717349315063262,-0.4227776636232498,0.2611286489441017,-0.6598619428666381,0.4071014266215469,-0.9864776069990568,-1.0690590995118034,-1.4601607449939473,-0.7065364004782784,-1.750941782964858,-0.5370196642603363
236,0.08059499810236366,0.3441144879108137,0.05599685704099178,0.6204135815786511,-0.12099572180782749,0.75676845437553,-1.9827372512048402,-4.315039237886216,-6.402560303705756,-2.5014975644021424,-7.731555208756377,-1.9414782092730223
237,0.11932755644691304,0.38551795976342096,0.10853117907975106,0.6509275291518641,-0.06105681780525147,0.7793987915204694,-0.6417682875354473,-0.3515502416203982,-0.6185245833117334,-0.09132585136911026,-0.7805633759230276,0.03358679806178298
238,-0.26133063191442846,-0.44503212874807285,-0.8417714734655423,-0.07657792200504288,-1.0814566166844677,0.0950351216504573,0.15872240339840474,0.11505437278280482,-0.18478857828752362,0.4142861659842204,-0.3598523813682136,0.565317912068851
239,1.9878695190031004,1.9558414743321253,1.6628520623008525,2.2516541630678817,1.5034620013287037,2.40962313425794,-2.2174281686468675,-3.335646354277998,-5.849869347514479,-1.0924120616462154,-7.401234923245916,-0.42683001124262143
