subj,k_bayes,k_bayes_sd,beta_bayes,beta_bayes_sd,alpha_bayes,alpha_bayes_sd,delta_bayes,delta_bayes_sd,delta_ols,logk_bayes,logbeta_bayes
126,4.920835,1.3736596,148.09738,77.58856,0.037427977,0.02866937,0.21026835,0.044942692,0.21522695271710598,1.556055,4.8741193
127,7.6255426,1.3907069,40.099983,27.311855,0.0032769155,0.029435424,0.21894817,0.04698172,0.22521567398012893,2.0152404,3.50047
128,6.6779637,1.3990107,97.75079,74.36084,0.016453575,0.030448647,0.2688418,0.051975675,0.30638922897495036,1.8769606,4.3810625
129,3.1349611,1.1233897,189.60616,76.413704,0.01824713,0.028070273,0.2927527,0.046101935,0.335473842344749,1.0831621,5.171584
130,1.0244983,0.5501753,21.715788,13.287306,-0.024824837,0.028764892,0.21321826,0.04759097,0.19393052689424795,-0.10556143,2.9202483
131,2.3265135,0.9134099,44.766403,26.501526,0.0059176604,0.029907702,0.25859067,0.048604656,0.2817694121434747,0.77312577,3.6708357
132,3.0019798,0.96757966,30.570078,17.10579,-0.13030407,0.028896987,0.25136626,0.046927124,0.3127138808129136,1.0501301,3.2860842
133,2.3529806,0.8447112,37.626663,20.524685,-0.17717397,0.030621659,0.27212107,0.0492767,0.3292705735159271,0.7938101,3.4926498
134,20.706215,3.9418368,40.902016,35.57989,-0.08635136,0.02994569,0.04890072,0.04598136,-0.030127189284504353,3.0126555,3.4087245
135,2.238908,0.8798076,88.9588,35.08041,0.006217411,0.028979946,0.2566039,0.048840925,0.30424309157874435,0.7329574,4.4157753
136,1.690177,0.8259967,114.619545,37.992912,-0.00255875,0.02905285,0.3003059,0.045365725,0.3526753894896117,0.42211586,4.689373
137,2.240055,0.9457526,68.58608,30.168344,-0.00082602643,0.028197948,0.31541872,0.048999056,0.400761142321053,0.72286254,4.1399784
138,4.5364423,1.1367714,42.25375,26.139696,-0.019316304,0.028143985,0.1359369,0.048303682,0.09430264722826735,1.4819977,3.5792992
139,12.594947,2.1042783,31.572578,24.262194,0.19585343,0.02936423,0.10224089,0.04786781,-0.0009643410186833172,2.5194712,3.2223628
140,4.023658,1.0525843,50.194942,28.573423,-0.06724125,0.02947477,0.19911025,0.048283737,0.21931481590662252,1.3587108,3.7704
141,10.362706,1.7892478,119.93262,118.658035,0.23711392,0.03001369,0.110198416,0.04834968,-0.000285735050367875,2.3236666,4.422752
142,4.1995435,1.140149,50.48702,28.773132,-0.034872685,0.02940257,0.2621198,0.048899997,0.31034344422029464,1.3998005,3.782135
143,3.2570145,1.2742326,269.0106,118.96311,0.21303114,0.02879769,0.25600514,0.046605624,0.2583001384681322,1.1105741,5.505009
144,3.535464,1.1257617,95.79217,42.271397,0.0416479,0.028162109,0.28652793,0.04677958,0.3484635948417457,1.2141054,4.4709487
145,1.0972294,0.5595192,16.344982,9.028125,-0.110517554,0.030114982,0.17386067,0.046651836,0.13748761588631328,-0.022231512,2.6599202
146,18.885395,3.3744302,65.726845,71.53406,0.11474427,0.030368123,0.17506447,0.048841327,0.12347583235071574,2.922607,3.7995505
147,6.6174936,1.2585062,53.97978,37.171215,-0.016067268,0.028693046,0.17358719,0.047428846,0.15643355655280905,1.8719325,3.7901285
148,5.921684,1.191702,33.425587,22.865482,-0.070317455,0.029281288,0.21209282,0.04758224,0.22803961863259997,1.759038,3.327894
149,2.924254,0.9832225,79.26541,32.38555,-0.016199304,0.029453155,0.29078105,0.044553645,0.3629412405226497,1.0209385,4.297327
150,1.4514126,0.6671725,23.232721,13.220428,-0.0921112,0.030080916,0.15432212,0.044805408,0.13458629591522814,0.2789633,3.0074992
151,2.783957,1.0462207,87.624214,36.05343,-0.075994276,0.030778157,0.32044238,0.050123706,0.41964687362521985,0.9578465,4.394154
152,7.839567,1.53368,51.601624,39.68336,0.82858175,0.030052505,0.37355387,0.051700696,0.3269296804166218,2.0400999,3.7051551
153,23.187244,4.6264663,56.455185,53.998394,0.20896578,0.029018281,0.13644516,0.044376623,0.05453809108857181,3.1239364,3.6811662
154,4.9044104,1.4016021,139.56404,77.20697,0.45479876,0.030880498,0.24517263,0.049736932,0.19161411016758503,1.5517519,4.8060236
155,2.4565692,0.98452014,63.609997,30.485643,-0.009777384,0.02863373,0.28649035,0.0482392,0.3631333040267182,0.8250259,4.049352
156,5.941088,1.2886616,70.67214,46.869843,0.124457665,0.028329803,0.23591241,0.045895096,0.2685178373296596,1.758834,4.07645
157,3.4214966,1.1091865,52.98513,27.863663,0.060579747,0.028878799,0.33099085,0.048214346,0.4047155492991091,1.1790864,3.8456779
158,1.5214909,0.71828485,19.861818,11.130489,0.37479421,0.029922802,0.28954113,0.045291953,0.2768218243264133,0.31939584,2.8523023
159,6.3745427,1.1797757,31.68981,22.11494,-0.01176512,0.027988164,0.1875859,0.049914192,0.19560763997108946,1.8355745,3.2707682
160,4.7763405,1.0919398,18.595062,11.278305,-0.017476888,0.029322617,0.010996722,0.047415152,-0.11217259106437676,1.5383373,2.7572055
161,4.6679153,1.1515108,32.504658,19.777191,0.041379564,0.030524861,0.14740397,0.048173625,0.09351408336904503,1.5114506,3.3164468
162,1.7657589,0.73307866,21.435825,13.682244,-0.1916778,0.030487875,0.095477045,0.047680497,0.07398818719437933,0.4895737,2.8919225
163,9.1679735,1.6165959,74.84315,66.660576,0.067580715,0.02941747,0.15507722,0.049850747,0.11026103522913663,2.200452,4.031495
164,3.5723357,1.0148458,58.478863,29.389187,-0.011568199,0.029298665,0.2410968,0.048332263,0.28837277080212154,1.2339075,3.9569438
165,1.7682291,0.7504963,58.243828,26.416178,0.04769317,0.02962285,0.38240725,0.048735917,0.49971709912161905,0.4875427,3.968787
166,8.855008,1.5721838,59.83827,47.257336,0.19145449,0.029455326,0.23918055,0.04859604,0.2297660159067985,2.1655226,3.8425398
167,5.9216723,1.3004167,99.73169,58.18161,0.016507342,0.028061599,0.34451333,0.047653012,0.4208093203221625,1.755089,4.458028
168,2.262504,1.0113133,180.96571,67.17488,-0.07015581,0.028574754,0.2131421,0.048534296,0.23487086161673523,0.72569144,5.133173
169,2.8316717,1.0373865,27.430845,15.513262,-0.19636995,0.031893082,0.12682898,0.04936081,0.1146262416520057,0.97859275,3.1753488
170,6.7394333,1.2613566,33.001244,22.458342,-0.13130884,0.029077357,0.08502944,0.05006524,0.025333703270057118,1.8908305,3.3005042
171,1.4263352,0.657677,28.982296,15.661481,-0.07820448,0.027904673,0.21565343,0.04406791,0.24286292801917456,0.25610036,3.2322664
172,3.1658583,1.2140354,179.76501,79.50558,-0.063158266,0.02757415,0.3852585,0.048789993,0.5180804317815234,1.0846721,5.1054263
173,2.5605037,1.1241541,119.254005,42.67216,0.042837773,0.026472343,0.36835608,0.047689933,0.4841234764715871,0.85327953,4.7200227
174,2.333619,0.96536005,76.63418,31.84879,-0.13249543,0.027350726,0.3157598,0.0462449,0.4308735399567285,0.76627266,4.262212
175,7.7119727,1.3293617,42.911594,32.217075,-0.10527261,0.027342526,0.20828393,0.051994346,0.217108163731258,2.0281994,3.5306706
176,2.228461,0.9181835,27.730625,16.479721,-0.044967417,0.030254873,0.21240556,0.048081722,0.21736693429783188,0.7233864,3.1773555
177,2.1204386,0.82594,33.550945,17.154158,-0.014663804,0.028926522,0.2285479,0.049223453,0.23757646482474454,0.6801697,3.3931482
178,1.7570987,0.74578196,18.030342,10.613319,-0.13150516,0.029531358,0.05899773,0.04760779,-0.025271278967285683,0.48185864,2.7531605
179,5.2712917,1.2088559,27.388922,17.697115,-0.25788164,0.030345935,0.12036375,0.051552117,0.12043998490628652,1.63682,3.1358895
180,1.6236267,0.74217606,64.199326,28.31704,-0.12550147,0.028103543,0.24742723,0.045420498,0.30282087655496986,0.38623103,4.0736494
181,3.3298488,0.9946162,36.82729,19.724659,-0.048152797,0.028436285,0.17134053,0.05093776,0.1628241843635878,1.1599848,3.478036
182,4.280584,1.3522209,232.7746,124.23952,0.10911842,0.030403236,0.17920707,0.0513716,0.13750945973519105,1.4056787,5.3264422
183,3.4698708,1.0143164,71.04683,35.17035,0.0858872,0.027111847,0.25783032,0.046644934,0.28412277521607743,1.2037659,4.1522436
184,23.67752,4.66441,32.816998,28.71551,0.13455985,0.029301353,0.09034708,0.047728937,-0.002911766918403129,3.1453931,3.2130883
185,2.5529294,1.0610852,121.08825,45.8952,-0.17512515,0.02902797,0.26104394,0.04971917,0.32902659732505524,0.85647947,4.729845
186,12.088852,2.0115678,30.015938,23.384937,-0.12889832,0.029943082,0.03146298,0.047797054,-0.06359912114442372,2.478659,3.1671283
187,6.1859803,1.2116045,63.6893,40.026936,-0.06837598,0.02858302,0.29007956,0.050302025,0.3570728106222335,1.8033128,3.9838407
188,23.164898,4.6790075,63.886883,67.16511,0.16660564,0.030261906,0.07465074,0.046913486,-0.039925139051806995,3.122681,3.7729292
189,12.442547,1.9157454,45.020294,40.52722,0.21479264,0.02789109,0.19852199,0.04664393,0.13906352264554725,2.5093808,3.5157356
190,2.4495447,0.9678398,67.69016,29.618242,-0.18299279,0.029111233,0.25895834,0.04795942,0.3284996426703281,0.82461375,4.128204
191,6.3950386,1.5241491,185.93185,122.96633,0.033867113,0.028088244,0.1760367,0.04928819,0.1376845430931141,1.8275275,5.048085
192,4.5829525,1.1301271,27.4444,17.318235,-0.13547353,0.028854406,0.13885474,0.047844015,0.12975157529440054,1.4930228,3.1533637
