subj,gamma_i,omega_i,log_gamma,log_omega,log_gamma_z,log_omega_z
108,0.22710109579675564,1.374514470049359,-1.4823600047094092,0.3181005560681927,0.04281767588139994,0.44021665930758336
109,0.21202611507305005,1.4309062766094536,-1.5510458275898484,0.3583080033975922,-0.06386239032156099,0.47012853600134535
110,0.14136376935036593,1.3186118854773374,-1.9564187864254772,0.27657958136593197,-0.6934714169288649,0.4093275987481304
111,1.7739242176122039,0.06442410553638239,0.5731941646052613,-2.7422674063370254,3.235421996105846,-1.8365095496221215
112,0.16250334268544667,1.5795415673676267,-1.8170567070519326,0.45713465770234313,-0.47701982284035627,0.5436495101980652
113,0.5579588032456458,0.08882639366887485,-0.5834701486352221,-2.421071447146067,1.4389373601732436,-1.5975594405255527
114,0.13832758290850655,0.37166289714246226,-1.9781306176196745,-0.9897680260250505,-0.7271933626237764,-0.5327574128517669
115,0.15830205691884142,0.45815621094817854,-1.8432503183776852,-0.7805450810805092,-0.5177026897427444,-0.37710836407191894
116,0.1702652026674776,0.4007725103472148,-1.7703980418012772,-0.9143613185217219,-0.40455145470933634,-0.47665944378042796
117,0.10175956905116293,2.114392371492141,-2.285142414352487,0.7487674764184133,-1.2040317759533743,0.7606064545627205
118,0.38698292213954644,0.11758044230218036,-0.9493747157644424,-2.1406325643023942,0.8706290571154441,-1.3889300984279582
119,0.22743887684211364,0.4381117809913165,-1.4808737499117264,-0.8252811934229156,0.045126067243140854,-0.410389289995458
120,0.22088507258587708,1.2672841825566517,-1.510112746276794,0.23687617181332277,-0.0002867696003973807,0.37979069527027126
121,0.2992263085588418,0.25758826844877863,-1.2065551070721288,-1.3563928275251027,0.47118678474775333,-0.8055037965130326
122,0.1449624724674771,9.40419697722139,-1.9312803806279213,2.24115607656877,-0.6544274529453762,1.8708521118201729
123,0.10849270735833753,2.7726673264335275,-2.221072321547749,1.0198097906064871,-1.104520676640537,0.9622453254506387
124,0.13088330023514128,2.082567372027951,-2.0334491907125636,0.7336014460495839,-0.8131119524043086,0.7493238574207085
125,0.26898708945995337,0.681057569127498,-1.3130918951047383,-0.3841084402418779,0.3057181170700993,-0.0821837989657
126,0.14667104938392808,1.2355627706806882,-1.9195629590212568,0.21152655104886034,-0.6362284235051544,0.36093213097674065
127,0.2742920503037824,0.4094303934924279,-1.2935618632165522,-0.8929883693985953,0.3360513795601521,-0.46075927947714584
128,0.14896910113523312,1.4506655594064122,-1.9040163694731533,0.3720224576084107,-0.6120820839452586,0.480331249441855
129,0.20979895651646394,1.5861922760564737,-1.5616055567383915,0.4613363491913969,-0.08026333825244365,0.5467753111646415
130,0.25830602892995674,2.415929511776654,-1.353610238347637,0.8820841040578196,0.24278665089095994,0.8597858551973455
131,0.1376808969268232,1.4351058858767793,-1.9828166125240763,0.3612386345568209,-0.7344714620286347,0.4723087459796508
132,0.1764635604381306,0.6156778684122497,-1.7346408803650368,-0.4850313931190969,-0.3490148652170901,-0.15726429082837035
133,0.25988873110990296,1.037101517654887,-1.3475016968360605,0.036429819976560425,0.25227419265038314,0.23067089388781395
134,1.3814571000669846,0.07162522203666749,0.3231388117446217,-2.6363080039636615,2.8470460477822406,-1.757682247993866
135,0.1521834820351799,1.36418382827725,-1.8826683674653004,0.310556321804672,-0.5789252231551805,0.43460421136502814
136,0.16180540253167724,0.5554063400014362,-1.8213608847317662,-0.58805528897575,-0.4837048990406258,-0.23390775551114082
137,0.1038048169263732,1.2348964328771412,-2.265242903485321,0.21098710654498345,-1.1731246535270898,0.36053081732579184
138,0.21546618878529325,1.0946352460019577,-1.534951278335858,0.09042119910143476,-0.038864981716422574,0.27083717108712596
139,0.19391028328338367,0.2722835455630007,-1.6403596841873127,-1.300911308733824,-0.20258109143175315,-0.7642289467253439
140,0.1354731812024917,1.0399955584339708,-1.998981582956919,0.039216442407595184,-0.7595782459852942,0.23274397019793913
141,0.08711295148511411,1.408886861628941,-2.440549709448734,0.34279993276492216,-1.4454041557842072,0.45859148186502385
142,0.13486507336582595,1.3662262050567953,-2.003480456882882,0.31205234411306404,-0.7665657165888847,0.435717160278525
143,0.17330870480756527,2.7217593743012243,-1.7526808538188419,1.0012784999915454,-0.37703382868938545,0.9484591809259874
144,0.14520097622698594,0.3606270232719115,-1.9296364532876933,-1.0199110312761384,-0.6518741709122897,-0.5551819614400751
145,0.19310679826549135,0.8611862471332019,-1.644511884235268,-0.1494444830421055,-0.20903012206759272,0.09239180377586967
146,0.16623526515547374,1.112478274603981,-1.7943512340178682,0.10659020642171584,-0.44175459247891957,0.28286592161342816
147,0.16194469721067276,1.074854934148211,-1.8205003772743062,0.07218570749532492,-0.48236839335895465,0.25727108289695994
148,0.6777415144575952,0.12186332415264138,-0.38898931084759,-2.1048551560778948,1.7409971998945557,-1.3623138993326451
149,0.15783725399540885,0.7093053977589759,-1.8461908148126205,-0.34346910082282345,-0.5222697509089841,-0.051950621025804826
150,0.1751478047036131,0.8519828855667799,-1.7421250632247087,-0.16018883971750947,-0.3606389979632996,0.08439866087884502
151,0.25200884243048255,1.1024794583284987,-1.3782911030764673,0.09756169626369948,0.20445332135072705,0.27614926336943424
152,0.09025052417299391,55.10100344987169,-2.405165873775,4.009167927424471,-1.3904474008981331,3.1861445759910256
153,0.14674726741765498,1.9318107519426122,-1.919043441110637,0.6584577765114231,-0.6354215291159728,0.6934215724751343
155,0.16130954154687774,1.6998883026838898,-1.8244301415591058,0.5305625445999539,-0.48847194568581825,0.5982753580110614
156,0.19426995333600608,1.4152155155643966,-1.6385065751332264,0.3472818273169042,-0.19970291674765056,0.461925736738133
157,0.19691412315936,2.431390533270145,-1.6249875683351567,0.88846332960156,-0.17870573742104054,0.8645316080501146
158,0.09299249822540157,7.0158739264647805,-2.3752364533254102,1.9481752854763859,-1.343962225048434,1.6528923586182247
159,0.28703824184491084,0.1744171096540201,-1.2481398252527092,-1.746305666504983,0.4065990677707296,-1.095575052848495
160,0.13830320351568673,0.9043520542081747,-1.978306877053399,-0.10053655390645973,-0.7274671217092773,0.12877630572317433
161,0.3673773531362266,0.11632169940260963,-1.001365748993133,-2.151395655583827,0.7898786688373329,-1.3969371787237155
162,0.230303759984909,1.3485394458456923,-1.468356145823688,0.29902211481661356,0.06456790803085143,0.4260234682414809
163,0.2169001494812007,1.2980898106944057,-1.528318171978496,0.2608938074864254,-0.028562706870470415,0.3976583442867321
164,0.2648612800231934,0.23723451806634133,-1.3285490616656024,-1.4387060994007341,0.2817106657086514,-0.8667398262075535
165,0.18183197174699509,1.3624628979474045,-1.7046722505060092,0.3092940163202051,-0.30246879088471756,0.4336651334451616
166,0.14580146488124907,1.9919456015319166,-1.9255094122615564,0.6891118503216102,-0.6454642162604105,0.7162263247505005
167,2.135110587612935,0.05542122995505307,0.7585184428159294,-2.892792546450862,3.523260234616058,-1.94849102891151
168,0.1784070438811543,0.637868234271545,-1.723687575976929,-0.4496235463224164,-0.3320026320041529,-0.13092302278672818
169,0.18266516719493825,0.4617864028578534,-1.7001004895227578,-0.7726528262850557,-0.29536811502608606,-0.37123701018209504
170,0.2320666878277797,0.5648853888901064,-1.460730501087421,-0.5711324199347844,0.07641175369200463,-0.2213181780651755
171,0.1673473332311165,1.016593255040625,-1.7876837867304278,0.016457091187313734,-0.4313989806772379,0.21581240770022989
172,0.23747859059705353,0.2839873060625386,-1.437677804425244,-1.2588257387827624,0.11221627787101353,-0.7329198619020859
