subj,lam,omega,log_lam,log_omega,log_lam_z,log_omega_z
76,0.5550553787452193,0.7792354902259363,-0.58868738869063,-0.24944198068650664,-0.24255060768396272,-0.8437651718065957
77,3.0016140149847246,102.57510827275779,1.099150148990218,4.630595293874929,2.321596044501213,2.026763278479712
78,0.6236604563058665,10.821747817120611,-0.47214919924636745,2.3815577961510814,-0.06550690433925646,0.7038377023513578
79,0.19144955710839714,89.76520504236812,-1.6531309144154025,4.497197428533052,-1.8596430363057623,1.9482961795361422
80,1.0936667760103618,0.32769297613175824,0.08953606528984573,-1.1156781573436394,0.7877999800550937,-1.353301359721267
81,0.5004372254344919,7.866588535732681,-0.6922731118003816,2.062624491415745,-0.39991704799373745,0.5162352162476237
82,1.447750790979031,0.12966273142486537,0.3700111734741783,-2.0428185734008313,1.213895083177584,-1.8986625510334032
83,0.10553611171615337,3.007555464655393,-2.248702093485893,1.1011276108098245,-2.7644290781246403,-0.049335084829404754
84,0.8125927104105622,0.11864419735962248,-0.2075252661670466,-2.1316262028198985,0.3365072450946674,-1.9509008460519233
85,0.8499242556596522,0.27342476704171226,-0.16260804445703939,-1.2967287697618972,0.40474505892562895,-1.4597986884604361
86,0.26857434933373775,5.357218216806422,-1.314627497093779,1.6784448509593093,-1.345391880669593,0.29025362514388137
87,0.4461324387296964,6.019149208139241,-0.8071394232179208,1.794945921781429,-0.5744208502227385,0.35878171611297516
88,0.9505965637647444,7.130193164180899,-0.0506655296154683,1.9643383258097065,0.5748070573467587,0.45842147041572523
89,1.2005375464755412,4.957549147801896,0.18276941188817325,1.600911495190589,0.9294391889333394,0.24464706702588354
90,0.28959610067468994,5.520334954703516,-1.2392680830823215,1.7084385386479475,-1.2309065793095912,0.30789646862953396
91,0.12929004917769316,13.53312278022457,-2.0456969553484092,2.6051402197070637,-2.456025612915037,0.835353031372915
92,0.340089875946436,4.1876642423792445,-1.0785453552849318,1.4321431184427351,-0.9867381476855324,0.14537437714527396
93,0.34039896596927227,6.062175538465954,-1.0776369199806215,1.8020687354030898,-0.9853580614555065,0.3629714872144472
94,0.8778226156844255,0.5277619188970326,-0.13031073800836943,-0.6391100081467543,0.45381081813296764,-1.072975133956344
95,0.7630380660764574,1.4215389142000188,-0.27044735893368194,0.3517400271826998,0.24091660327392542,-0.4901387627657156
96,0.1983543695157438,4.610923888475242,-1.6177001029438256,1.5284282465767844,-1.8058168862226927,0.2020110756166171
97,0.21457057263689547,0.1842613241324427,-1.5391165847637578,-1.6914002891096385,-1.6864335566308992,-1.6919517973538982
98,4.426486337797162,0.3401108040420508,1.4876061176069941,-1.0784838202225977,2.9117346385383365,-1.331422960666398
99,0.9528807693864814,0.199167010543841,-0.04826549397710685,-1.6136115572661167,0.5784531685451656,-1.6461950222914394
100,0.45598257306791423,5.4188807804685135,-0.7853006871543659,1.6898892960593532,-0.5412436511646687,0.29698546004782034
101,0.1662946560505513,32.4546612622363,-1.793994027691931,3.4798440772791017,-2.073640931399792,1.3498700662784255
102,0.7071671235649055,6.8840101355668475,-0.3464882569111084,1.929201350685055,0.12539599798754078,0.43775324985149217
