subj,alpha_v,delta,r,p,n_trials,delta_sh_r,delta_sh_r_corrected
52,0.013195452572222127,-0.03407022590368852,-0.07014603515442426,0.6470406843471294,45,-0.3204305875777517,-0.9430400536587225
53,-0.023632310471652998,0.06101785080795655,0.1710274258426298,0.26130897914287265,45,-0.3204305875777517,-0.9430400536587225
54,-0.023231696369543288,0.05998347833119776,0.20900844199166174,0.1682373262133475,45,-0.3204305875777517,-0.9430400536587225
55,-0.005822278798791539,0.015032932964093085,0.039553099939054925,0.7964341347788186,45,-0.3204305875777517,-0.9430400536587225
56,-0.001006029161974214,0.0025975343116546763,0.010908890698876687,0.9433007810887133,45,-0.3204305875777517,-0.9430400536587225
57,-0.00011220732452446322,0.0002897156329933446,0.0014305060421545698,0.9925589679960276,45,-0.3204305875777517,-0.9430400536587225
58,-0.02626350663146848,0.06781151302387337,0.1569425488142195,0.30320995781200905,45,-0.3204305875777517,-0.9430400536587225
59,0.00310846757746092,-0.008025961368034268,-0.025093988573541698,0.8700269425628985,45,-0.3204305875777517,-0.9430400536587225
60,-0.015807729469645718,0.04009206749547832,0.07910944894965002,0.6097382210307181,44,-0.3204305875777517,-0.9430400536587225
61,0.011841911745155302,-0.030575427866589424,-0.11474612608120817,0.4529150219011388,45,-0.3204305875777517,-0.9430400536587225
62,-0.017085399171718953,0.04411394048435637,0.07483268276189857,0.6251584007321371,45,-0.3204305875777517,-0.9430400536587225
63,-0.16778639255285976,0.433218964378286,0.05549628953498782,0.717289524024752,45,-0.3204305875777517,-0.9430400536587225
64,-0.015508006941231136,0.04004116546301498,0.10554607915151477,0.49017415989412233,45,-0.3204305875777517,-0.9430400536587225
65,-0.029152413798404053,0.07527057661063351,0.15811147417334936,0.29957731853625374,45,-0.3204305875777517,-0.9430400536587225
66,0.03017160001740792,-0.07790208201215992,-0.14270226410720122,0.34971829133134835,45,-0.3204305875777517,-0.9430400536587225
67,0.01863339148015897,-0.048110805870902267,-0.06750151892516126,0.6595208463493286,45,-0.3204305875777517,-0.9430400536587225
68,-0.01807336580070557,0.046664837928051414,0.2054785964856447,0.1757030773531923,45,-0.3204305875777517,-0.9430400536587225
69,0.04864877239781418,-0.12560953528943813,-0.19689295593493855,0.19485032707815875,45,-0.3204305875777517,-0.9430400536587225
70,0.013780481470829132,-0.03558075133861608,-0.08282372204990203,0.5885802523410072,45,-0.3204305875777517,-0.9430400536587225
71,-0.017253615346951665,0.044548269133522625,0.11876123480935596,0.43715178289619194,45,-0.3204305875777517,-0.9430400536587225
72,0.014395899568003773,-0.037169740687878615,-0.13243798958436867,0.3858050984791336,45,-0.3204305875777517,-0.9430400536587225
73,-0.007612620343738986,0.019655536133424554,0.07011041574584062,0.6472081568000053,45,-0.3204305875777517,-0.9430400536587225
74,0.008040460697064792,-0.020760205898159145,-0.08362170231768486,0.5849805696846264,45,-0.3204305875777517,-0.9430400536587225
75,0.003869334478893531,-0.009990494761077481,-0.019439580698708683,0.899140689432164,45,-0.3204305875777517,-0.9430400536587225
76,0.04477739146347112,-0.11561375664748699,-0.14374401087631064,0.3461751731996958,45,-0.3204305875777517,-0.9430400536587225
77,0.02838604401023615,-0.07329183494446191,-0.1359100023873505,0.3733602491377432,45,-0.3204305875777517,-0.9430400536587225
78,7.625466039452266e-05,-0.00019688703298589592,-0.0006877058945627093,0.9964227368227951,45,-0.3204305875777517,-0.9430400536587225
79,0.007511272835203501,-0.019440941455820985,-0.019799630832540712,0.8984913666996528,44,-0.3204305875777517,-0.9430400536587225
80,0.02280453818267586,-0.05888056989789256,-0.20794931995363417,0.17045286040058039,45,-0.3204305875777517,-0.9430400536587225
