subj,accuracy,brier,log_lik,mean_p_high,mean_choice,n_trials
181,0.7333333333333333,0.15169212860123135,-20.88975644099348,0.5510460598996092,0.5555555555555556,45.0
182,0.9333333333333333,0.06443811769511726,-10.12876420088254,0.4224180800994134,0.4222222222222222,45.0
183,0.8444444444444444,0.1051042891919847,-15.087539786834567,0.5289867505318482,0.5333333333333333,45.0
184,0.9777777777777777,0.06345476760839944,-11.949941101962635,0.13967418482576732,0.022222222222222223,45.0
185,0.8666666666666667,0.09346771131890992,-13.577429040648822,0.5114855601186657,0.5111111111111111,45.0
186,0.8666666666666667,0.12108827054611268,-18.058973623092385,0.20971784856308845,0.15555555555555556,45.0
187,0.8666666666666667,0.08597901096085363,-13.033348340435937,0.33512602043711165,0.3333333333333333,45.0
188,0.9555555555555556,0.051761445568304684,-8.150768894815437,0.11328007296969453,0.044444444444444446,45.0
189,0.8888888888888888,0.08807026582292383,-13.099377380941787,0.15749832635940614,0.13333333333333333,45.0
190,0.8,0.12954783460321842,-18.002102388876246,0.5603926664084521,0.5555555555555556,45.0
191,0.9333333333333333,0.051095824490054335,-8.073985681660876,0.3761160560078765,0.37777777777777777,45.0
192,0.6888888888888889,0.18924465437599303,-25.41893102683435,0.48515470965500784,0.4888888888888889,45.0
193,0.6666666666666666,0.20200921838661062,-26.350462396612468,0.4736406543886393,0.4888888888888889,45.0
194,0.6,0.22356055095573418,-28.623674353400844,0.4651346219272743,0.4888888888888889,45.0
195,0.7777777777777778,0.1582877308359786,-22.267572133292745,0.4459256474085915,0.4444444444444444,45.0
196,0.9333333333333333,0.05844925238297954,-9.305090133493072,0.5648065613500692,0.5777777777777777,45.0
197,0.9111111111111111,0.07964447264540131,-11.521076984899016,0.8058238946275355,0.8444444444444444,45.0
198,0.7777777777777778,0.14436392169452897,-19.652476879697467,0.5665331600883668,0.5777777777777777,45.0
199,0.9111111111111111,0.07692475215481089,-11.30800859359666,0.27323814888576325,0.26666666666666666,45.0
200,0.6666666666666666,0.185596658106075,-24.204418183026274,0.642776912688203,0.6888888888888889,45.0
201,0.8666666666666667,0.14365255980408073,-20.47406440723193,0.5953311884372694,0.6222222222222222,45.0
202,0.7333333333333333,0.15584646608514738,-21.291244886959326,0.5018433434243986,0.5111111111111111,45.0
203,0.7555555555555555,0.16176965141391603,-22.0043709340125,0.2700279690268898,0.26666666666666666,45.0
204,0.8,0.11660006854367642,-16.72359915471704,0.5960597915661465,0.6,45.0
205,0.9111111111111111,0.07594556191881278,-11.51875718999784,0.4857331573325696,0.4888888888888889,45.0
206,0.9777777777777777,0.027945775334281154,-4.826635389051826,0.06056101871732951,0.022222222222222223,45.0
207,0.8444444444444444,0.09427971016431781,-13.37257331062888,0.241367715187923,0.2222222222222222,45.0
208,0.8444444444444444,0.12671562164284284,-18.020954679387835,0.6611159244958754,0.6888888888888889,45.0
209,0.6888888888888889,0.22282067131103808,-28.65060589342916,0.38654871633402366,0.4,45.0
210,0.4888888888888889,0.25427537671307143,-31.652571018219255,0.42907395513256336,0.4888888888888889,45.0
211,0.8888888888888888,0.07652345760695532,-11.246144112160254,0.5739238007085347,0.5777777777777777,45.0
212,0.9555555555555556,0.06012370152656425,-9.90242560310564,0.7172982366341112,0.7333333333333333,45.0
213,0.7111111111111111,0.17927087158897564,-23.717895048594283,0.3266193921512302,0.3333333333333333,45.0
214,0.8222222222222222,0.09881660495125083,-13.8733505626136,0.6823397917255759,0.6888888888888889,45.0
215,0.9333333333333333,0.06726599042834838,-10.403096610566497,0.3175172487324745,0.3111111111111111,45.0
216,0.8444444444444444,0.09903555311146749,-13.877829152782887,0.36074687992774646,0.35555555555555557,45.0
217,0.7111111111111111,0.1867414478694984,-24.59257615255138,0.5569981414704943,0.5777777777777777,45.0
218,0.9333333333333333,0.06091039219588493,-9.7310594238688,0.6235013272822111,0.6444444444444445,45.0
219,0.8,0.14701263553789384,-19.766561903173933,0.352783463154322,0.35555555555555557,45.0
220,0.8666666666666667,0.07805339948878526,-11.528038995190135,0.4063329533545075,0.4,45.0
221,0.7555555555555555,0.17786036508079126,-24.609907162542616,0.35400293425927176,0.35555555555555557,45.0
222,0.9111111111111111,0.053148391649308284,-8.080501932905173,0.2888366752840499,0.28888888888888886,45.0
223,0.7111111111111111,0.1808688101248822,-24.008508001237935,0.6393556472237899,0.6888888888888889,45.0
224,0.7777777777777778,0.16852136513369317,-23.368622709179654,0.7561771420572899,0.8,45.0
