subj,k,k_sd,beta,beta_sd,alpha,alpha_sd,delta,delta_sd,delta_ols
142,3.1524909,1.2141182,199.3359,95.44945,-0.037736952,0.040076394,0.26364115,0.05656718,0.300126646794792
143,4.398486,1.287508,413.13342,252.41682,0.15997058,0.03870772,0.34963635,0.059759628,0.24817183074278226
144,2.8874576,1.1044176,312.7901,128.78944,0.0209247,0.03882341,0.3382317,0.053474255,0.33572582343564183
145,1.0696253,0.51544446,36.20211,20.86626,-0.13435899,0.040809903,0.16179311,0.06565066,0.14161732952130812
146,18.68994,3.377096,156.24164,128.91348,0.14984533,0.040603295,0.08493083,0.069018446,0.1185163135458771
147,6.4280043,1.3480669,143.43161,91.24432,-0.011026089,0.038808152,0.15136889,0.05958082,0.15126284775699594
148,5.175272,1.2606628,125.48592,75.36249,-0.040871486,0.038011957,0.15436256,0.056601744,0.2229947799580517
149,2.170573,1.0497162,264.11826,104.39494,-0.041890923,0.040846113,0.3369863,0.059962995,0.3486303140579994
150,1.4948308,0.6591006,52.94464,32.351208,-0.09900457,0.043502346,0.17567512,0.066282034,0.13885138176583567
151,1.6160305,0.8615863,314.15823,120.12377,-0.105481684,0.042300228,0.37184685,0.06201468,0.4035719780383402
152,7.7236567,1.5220733,117.87359,84.50842,0.83179885,0.04130316,0.31993893,0.06684321,0.3113604512640386
153,24.388023,4.8968616,109.59184,89.53518,0.2597273,0.042418007,0.04717112,0.0704747,0.052482773603039906
154,6.2197003,1.3338665,160.83049,126.36858,0.4329909,0.04249683,0.2707702,0.06890531,0.18347089070025366
155,1.7383833,0.85571975,207.75847,88.83694,-0.021267347,0.041197382,0.33777663,0.059841067,0.3526756078322365
156,5.1412263,1.2895832,206.55904,118.503555,0.13281216,0.038590245,0.25334507,0.05911179,0.2587864850596673
157,2.2193754,1.0961632,217.71123,91.442726,0.046819538,0.04260594,0.33625674,0.06146056,0.3901838917874766
158,1.4455234,0.65420616,47.250973,26.85415,0.37501016,0.042857204,0.2895198,0.06483873,0.2686835978406207
159,5.9384527,1.2588769,103.57101,58.138195,0.020592717,0.035012063,0.13684443,0.05274201,0.19098008509196573
160,5.286342,1.1046183,26.613464,18.372437,-0.0031675925,0.03913963,-0.011620308,0.06078411,-0.1013602258930109
161,4.755878,1.0752083,65.18056,39.215683,0.04428133,0.0374905,0.11222048,0.056097012,0.09504227174860397
162,1.8321055,0.73299825,42.60919,24.493343,-0.18136968,0.038366355,0.11086219,0.061267026,0.0804752589501704
163,9.656246,1.7070793,150.07477,114.334404,0.06911286,0.040870376,0.1281679,0.06714677,0.10645972372624443
164,2.8829613,1.0539407,189.71713,89.29544,-0.01717108,0.037981194,0.27163315,0.054030146,0.2794532008284896
165,0.94832885,0.537756,211.84499,80.78682,0.03195406,0.04286954,0.4185311,0.062106866,0.4838108843588888
166,8.635707,1.6828994,181.31807,132.14781,0.20603587,0.040597156,0.19813858,0.06490024,0.22130144807845897
167,3.8639224,1.4650415,521.1749,237.77931,-0.004115324,0.038064923,0.3557667,0.055889323,0.4039211609396621
168,2.8453562,1.1360981,362.24387,161.87227,-0.113530554,0.038027532,0.3201951,0.0554533,0.2262455686039959
169,2.5696006,0.94918907,68.344345,41.164955,-0.19204438,0.040126067,0.12329625,0.06318137,0.11496527143113154
170,6.6043777,1.1269683,74.970276,50.150303,-0.120143,0.037921928,0.049670007,0.06033469,0.026312963971984002
171,1.2838656,0.6245279,84.00412,44.61368,-0.095115535,0.041964304,0.24661136,0.06526409,0.2418962081467601
172,1.5693427,0.91658205,637.55505,251.14793,-0.10977745,0.044695415,0.45152247,0.06431536,0.4967827247738856
