subj,k,beta,mean_anxiety,mean_confidence,k_z,beta_z,mean_anxiety_z,mean_confidence_z,mean_S_probe
65,9.240917,30.59695,5.611111111111111,2.611111111111111,0.49141210402205143,-0.5777653836774265,0.9265873208612312,-0.41217912391194955,0.612698418469656
66,0.9994911,14.450044,4.388888888888889,4.333333333333333,-0.8078788204194716,-0.9615813428814155,-0.007974073329270836,0.8673486439730566,0.612698418469656
67,1.8122523,28.13142,4.055555555555555,3.0,-0.6797440457200835,-0.6363716430992755,-0.2628544535630447,-0.12325349890565783,0.612698418469656
68,2.844103,32.94099,4.222222222222222,3.0,-0.5170690103371126,-0.5220469716787117,-0.13541426344615778,-0.12325349890565783,0.612698418469656
69,1.8609798,40.01346,5.166666666666667,2.611111111111111,-0.6720619771934802,-0.35393260617788846,0.5867468138828671,-0.41217912391194955,0.612698418469656
70,11.435069,33.095814,5.722222222222222,2.2777777777777777,0.8373281888157299,-0.5183667668104975,1.0115474476058228,-0.6598296596316283,0.612698418469656
71,5.1577673,27.365347,5.5,2.7777777777777777,-0.15231137450198984,-0.6545813882551139,0.8416271941166403,-0.28835385605211034,0.612698418469656
72,28.652613,46.3115,5.888888888888889,0.5,3.5517369491217097,-0.2042266337950003,1.1389876377227097,-1.9806325168032477,0.612698418469656
73,6.319622,77.880936,3.7777777777777777,2.5,0.030859266785912606,0.5461866874858037,-0.4752547704245225,-0.4947293024851758,0.612698418469656
74,16.62395,46.16762,3.6666666666666665,4.555555555555555,1.6553742494260735,-0.2076466970696779,-0.5602148971691138,1.032449001119509,0.612698418469656
75,5.6527815,69.23437,3.0,2.4444444444444446,-0.07427057606082678,0.3406556697719085,-1.0699756576366606,-0.5360043917717887,0.612698418469656
76,4.307872,21.849905,4.777777777777778,4.277777777777778,-0.28630047583159174,-0.7856848121348322,0.2893863702767978,0.8260735546864436,0.612698418469656
77,21.30145,23.046143,4.944444444444445,4.222222222222222,2.392799225736935,-0.7572499382706838,0.41682656039368476,0.7847984653998307,0.612698418469656
78,2.9997604,105.78502,5.944444444444445,0.2222222222222222,-0.49252905213131676,1.2094736829119666,1.1814677010950052,-2.1870079632363133,0.612698418469656
79,1.1338214,17.232883,6.944444444444445,6.333333333333333,-0.7867011575022442,-0.8954325698536124,1.9461088417963255,2.3532518582911286,0.612698418469656
80,9.005615,51.886494,5.555555555555555,1.6111111111111112,0.45431588343928336,-0.07170764410951617,0.8841072574889358,-1.1551307310709855,0.612698418469656
81,2.855282,62.50397,3.1666666666666665,2.7777777777777777,-0.5153066001158023,0.18067239298646576,-0.9425354675197739,-0.28835385605211034,0.612698418469656
82,12.208596,54.55041,0.0,3.111111111111111,0.9592775484417719,-0.008385700278366501,-3.3638990797406216,-0.040703320332431576,0.612698418469656
83,0.6259044,9.943479,6.666666666666667,1.2777777777777777,-0.8667761295370672,-1.0687035103226654,1.7337085249348476,-1.4027812667906643,0.612698418469656
84,5.0352,108.771416,3.388888888888889,4.222222222222222,-0.17163455746275658,1.2804610563012062,-0.7726152140305915,0.7847984653998307,0.612698418469656
85,6.0326138,74.43999,1.9444444444444444,3.5555555555555554,-0.014388625268822404,0.4643945478920553,-1.8770968617102763,0.2894973939604731,0.612698418469656
86,1.3679055,27.841318,3.6666666666666665,4.0,-0.749796943307215,-0.6432674395693234,-0.5602148971691138,0.6196981082533781,0.612698418469656
87,1.6040419,106.036415,2.1666666666666665,5.388888888888889,-0.7125691765138141,1.2154494043947128,-1.7071766082210942,1.6515753404187061,0.612698418469656
88,7.7259665,66.94496,5.888888888888889,2.5555555555555554,0.2525746189179086,0.28623582641856227,1.1389876377227097,-0.4534542131985628,0.612698418469656
89,9.930598,76.81842,6.222222222222222,1.1666666666666667,0.6001428352004697,0.5209304187176826,1.3938680179564829,-1.4853314453638904,0.612698418469656
90,1.9622209,23.821714,4.111111111111111,4.888888888888889,-0.6561009476329914,-0.7388144232998406,-0.2203743901907493,1.280099536839188,0.612698418469656
91,0.7281161,12.338399,5.333333333333333,5.777777777777778,-0.8506620813379879,-1.011775668108385,0.7141870039997534,1.9405009654249974,0.612698418469656
92,1.641634,57.99712,4.166666666666667,4.777777777777778,-0.7066426445091161,0.07354345102455073,-0.1778943268184532,1.1975493582659615,0.612698418469656
