subj,n_trials,optimality_rate,overcautious_rate,overrisky_rate,subj_optimality_rate,subj_overcautious_rate,subj_overrisky_rate,total_ev_loss,mean_ev_loss,heavy_rate,survival_rate,total_earnings
114,45,0.7111111111111111,0.24444444444444444,0.044444444444444446,0.6666666666666666,0.044444444444444446,0.28888888888888886,11.032571888089816,0.2451682641797737,0.35555555555555557,0.8888888888888888,92
115,45,0.7777777777777778,0.15555555555555556,0.06666666666666667,0.6444444444444445,0.0,0.35555555555555557,4.371990519339353,0.09715534487420785,0.4666666666666667,0.8888888888888888,108
116,45,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.7111111111111111,0.022222222222222223,0.26666666666666666,12.37580757666011,0.27501794614800246,0.35555555555555557,0.9777777777777777,104
117,45,0.5111111111111111,0.4,0.08888888888888889,0.7333333333333333,0.06666666666666667,0.2,20.99109201171384,0.46646871137141865,0.24444444444444444,0.6222222222222222,56
118,45,0.7111111111111111,0.26666666666666666,0.022222222222222223,0.8,0.0,0.2,6.748095192554232,0.1499576709456496,0.3111111111111111,0.5555555555555556,65
119,45,0.5555555555555556,0.4444444444444444,0.0,0.8666666666666667,0.06666666666666667,0.06666666666666667,17.003523560498266,0.37785607912218366,0.1111111111111111,0.5777777777777777,42
120,45,0.8222222222222222,0.13333333333333333,0.044444444444444446,0.6444444444444445,0.0,0.35555555555555557,3.7856471580376363,0.08412549240083636,0.4666666666666667,0.8,100
121,45,0.6888888888888889,0.3111111111111111,0.0,0.8666666666666667,0.0,0.13333333333333333,9.711753753892365,0.215816750086497,0.24444444444444444,0.6666666666666666,70
122,45,0.8444444444444444,0.044444444444444446,0.1111111111111111,0.4888888888888889,0.0,0.5111111111111111,4.752895610580035,0.10561990245733412,0.6222222222222222,0.6222222222222222,100
123,45,0.6222222222222222,0.2222222222222222,0.15555555555555556,0.5777777777777777,0.022222222222222223,0.4,14.828385268230388,0.32951967262734194,0.4888888888888889,0.5555555555555556,69
124,45,0.4444444444444444,0.5555555555555556,0.0,0.8888888888888888,0.1111111111111111,0.0,24.786236462575417,0.5508052547238982,0.0,0.8444444444444444,38
125,45,0.7777777777777778,0.2,0.022222222222222223,0.7333333333333333,0.0,0.26666666666666666,6.29805623205515,0.1399568051567811,0.37777777777777777,0.7555555555555555,86
126,45,0.7555555555555555,0.2222222222222222,0.022222222222222223,0.7111111111111111,0.022222222222222223,0.26666666666666666,5.822077769164178,0.12937950598142617,0.35555555555555557,0.6222222222222222,80
127,45,0.6444444444444445,0.3111111111111111,0.044444444444444446,0.7777777777777778,0.022222222222222223,0.2,10.519085942604976,0.2337574653912217,0.28888888888888886,0.7111111111111111,68
128,45,0.6666666666666666,0.3111111111111111,0.022222222222222223,0.7555555555555555,0.044444444444444446,0.2,12.282131712783228,0.27293626028407175,0.26666666666666666,0.6222222222222222,64
129,45,0.8,0.17777777777777778,0.022222222222222223,0.7111111111111111,0.0,0.28888888888888886,3.285007320696245,0.07300016268213877,0.4,0.7111111111111111,88
130,45,0.7111111111111111,0.0,0.28888888888888886,0.26666666666666666,0.0,0.7333333333333333,11.694298684822053,0.25987330410715676,0.8444444444444444,0.6,131
131,45,0.7777777777777778,0.08888888888888889,0.13333333333333333,0.5111111111111111,0.0,0.4888888888888889,7.9729172679358165,0.17717593928746259,0.6,0.6888888888888889,107
132,45,0.7777777777777778,0.08888888888888889,0.13333333333333333,0.5111111111111111,0.0,0.4888888888888889,7.883801745514512,0.17519559434476695,0.6,0.5555555555555556,97
