subj,k,c_death,epsilon
141,0.24153489812433027,0.3791754803505619,0.9725743631782475
142,0.2402822894396504,0.282034992258833,0.8108588905645875
143,0.24335619184182727,0.3466409992294824,1.411599859946617
144,0.2408968670221162,0.1923297391916741,0.5292556275805709
145,0.2401284595726415,0.04118407617332225,0.7113132184171186
146,0.24056859697472047,0.7742093668317854,0.5371587471327569
147,0.24126025933616912,0.31465041769718716,0.7611688357845012
148,0.2407019492801442,0.2144695042825665,0.11983143444392186
149,0.24088897123181474,0.21017084502659417,0.49785057014737805
150,0.24156205335831246,0.07211599392875649,0.6193164138477363
151,0.2406458174549199,0.20127450487604895,0.740800808212976
152,0.242341267749988,8.298754219953503,6.657611304832407
153,0.24085974689715597,1.0921595054731559,0.7353153617575436
154,0.24003276856776062,5.586740059586987,6.204402353788436
155,0.24106158133217223,0.2008874917468536,1.206606256702365
156,0.24073878402310708,0.2777326866888666,0.9104243046526737
157,0.2400994052164627,0.3078642286286229,1.3909903034238167
158,0.24095872639651073,0.6600704044766396,3.6031998365469615
159,0.2414673436357088,0.2759547560734212,0.22314488154731243
160,0.24107535872817049,0.11597662259519512,0.8633393134263405
161,0.24060504366962077,0.14183022863179964,0.17051091487462236
162,0.2397714602722209,0.08574906849794094,0.922293804326828
163,0.24178094390276036,0.45176865875409017,0.7416581932180214
164,0.24092637892630506,0.1648235543492193,0.33830797505337934
165,0.2418925782723195,0.1319900508391002,0.8379572764944869
166,0.24129014003198393,0.46781719338988825,1.0239111219283672
167,0.24057129776862698,0.38514951871088654,0.042343730214801964
168,0.24001244003135566,0.15127826346037804,0.6710234846367154
169,0.24027352298382998,0.09703622371427505,0.37308556797965764
170,0.24126991186818839,0.27816589310775847,0.5127671727322799
171,0.24082156049773304,0.06481938343627422,0.9051618791013119
172,0.24088082698427613,0.28832125149831284,0.2740244016609422
173,0.24017091700636156,0.2906292484611429,1.2040122677745133
174,0.24106619555871206,0.18253043332538793,0.8126649900694624
175,0.2405171415637729,0.3869848597738962,0.10497738470090229
176,0.2410083709242142,0.08105397228317227,0.13380303587278966
177,0.23956361108546645,0.09995924800121722,1.1673782120369642
178,0.2397253766383302,0.05727744725142627,0.6968910131654166
179,0.2405738351852655,0.19724047916311824,0.31105172822498406
180,0.24088202834824507,0.09572062272052774,0.5299143864032285
181,0.24098849941332207,0.17311632353889178,0.9728344274872689
182,0.24095196821684195,0.23621726170489168,0.8147138419023654
