subj,c_death,epsilon
181,0.4236446166186522,0.3294855276658768
182,0.5373864622625324,0.20618532185457242
183,0.47989459969686715,0.40919400101534537
184,2.093412393864706,0.11540913360018058
185,0.3301089782918039,0.029519034791041815
186,1.0268673069237015,0.05247275755040861
187,0.7936777788672971,0.15571308526164457
188,1.9745446301341247,0.12300487812118756
189,1.349209720652625,0.08918816154194668
190,0.37966373774755335,0.23264068975350344
191,0.5551328252165127,0.11905659900573061
192,0.3138978860050229,0.02769712101919767
193,0.31913545842272295,0.030876325758969012
194,0.4825026712139249,0.43169266357571806
195,0.5586145334418686,0.30381796225668034
196,0.3149377370069905,0.1497375294313122
197,0.08210348644606005,0.00952656664722126
198,0.6059338463258188,0.7740507799780838
199,0.8486073337322788,0.2477827273980063
200,3.972883466341831,2.621741992288364
201,0.24309661134576924,0.20656211299090138
202,0.29893818923319254,0.07379080768846932
203,0.959037585642241,0.36897896553259746
204,0.41609069282802835,0.42547394513005127
205,1.3112140158288206,1.2680064888881009
206,2.21115174673192,0.013569207294725362
207,0.9524895127945345,0.14481725327505357
208,0.7322256521693726,1.3393752255508162
209,0.5139757615852594,0.24671815138616549
210,0.5043094957696914,0.3807347037102572
211,0.2871687347141683,0.057140694489801525
212,0.19144848918454968,0.17460602825017282
213,0.8783565420016766,0.4847476839260485
214,0.4060962637770654,0.708865449774293
215,0.6827912734679201,0.035260305921512615
216,0.9140588900414692,0.5787887737831676
217,4.482451041595922,2.627676579516636
218,0.2449426484800842,0.19717215980327574
219,0.608769072608436,0.06389799468735292
220,0.4921221506094013,0.03138149335018515
221,0.7022591867291438,0.26218839648370107
222,0.9897733817543455,0.24292626933192987
223,5.1640254579843115,2.747320004935959
224,0.16976437253140833,0.6539988869978632
225,0.4145005415161079,0.43969344587539305
226,2.2158497041454424,0.11420015627036936
227,0.5286852086412914,0.39015715795871564
228,0.44674656851707295,0.07123395180224687
229,0.32256246361746244,0.31567852590103457
230,0.8042700990634392,0.24072470715019917
231,0.33150823816567415,0.20389408028506606
232,0.18744501182704082,0.04548146441126237
233,0.39518413229752203,0.1941537041462454
234,1.2824592076718881,0.3915304484124288
235,0.22841394264828602,0.24749435188891436
236,0.585767304777674,0.0975348370052185
237,0.4961564687292937,0.5216735348062496
238,0.11430939840246065,0.4875234898037747
239,0.2781437048213233,0.13976382310610166
240,0.7197380607961831,0.02700256051419444
241,0.3614826224017883,0.3158757949056495
242,0.4377843875284229,0.05572887504550325
243,0.7994006558775576,0.06543774050374249
244,0.44932723163286387,0.44629727655889617
245,0.8496501904687734,0.2731316646918372
246,1.0248446703300802,0.16063670345043296
247,0.3887430322014561,0.13499664083171922
248,0.2872939226904581,0.2747491391385437
249,0.22428746061356336,0.14736375281902675
250,0.22726637685125675,0.03507375358423353
251,0.3580579667019516,0.7053103789529913
252,0.20542256912116572,0.10287452641484109
253,0.965300737127882,0.2012439019695443
254,0.1732538205972612,0.01971050660891733
255,0.14693664720278632,0.27939718456212237
256,0.5090382615932121,0.3237687147248676
257,6.616255585663913,2.672894515011069
258,0.24469310476374273,0.1326250259290591
259,1.4051548330862924,0.09248428003135148
260,0.6127596285846929,0.1495273810345417
261,0.4881046157820835,0.42680748854146205
262,0.9189882974183591,0.310173302596451
263,1.2188272751688984,0.07937194433125648
264,0.21716884560766384,0.0709690512748947
265,0.3635696560937914,0.39790706104480567
266,0.3341236400208746,0.11118841671418854
267,0.40076367429617743,0.5763889069779792
268,0.9443157954917509,0.026333703160326658
269,0.6839300589296936,0.2827587425602006
270,3.1916787481821305,0.07894981194454173
271,0.24954348388426087,0.20419075307602244
272,0.6172050263277938,0.40455554403204014
273,1.040654730870533,0.0825291205528858
