subj,v_pre,v_max,alpha,v_amplitude,v_tonic_mean,tonic_threat_slope,n_enc_trials,z,kappa,beta
181,0.13849579,0.8467952428055314,0.05392694404005895,0.7082994548273591,0.273865,-0.4095964878797527,42,0.279838523121853,1.304700856170235,0.6872666308372146
182,0.69612056,0.7801040967770031,0.2561357255274375,0.08398353660778313,0.80028635,0.12300729751586972,41,1.0629601535875373,1.065198826160671,0.5911328425316568
183,1.0575886,1.057588577270508,0.010000000000000004,2.220446049250313e-16,0.95427275,-0.27355462312698325,39,0.5253773624410064,1.0989331281430748,0.5959590613522764
184,0.1520733,0.8259869315970464,0.045085121599281436,0.6739136376727147,0.12172398,-0.13259893283247945,42,0.4897153721412195,4.706973502897691,1.911832608267362
185,0.38479966,0.7631230497070227,0.02125645988771523,0.37832339045485597,0.04184046,-0.06992358248680824,39,0.5256059274188858,0.945961282183387,0.9351469056032178
186,0.04613706,0.8327321764262682,0.017634954938284826,0.7865951154562002,0.04616993,-0.07467155344779948,40,0.343341374099633,4.2666662110307865,1.1250526181437737
187,0.057187513,0.795688092580981,0.05363933418456569,0.7385005800640057,0.17927998,-0.25044793263077725,39,0.2893547544822097,1.4399916058974878,2.237224648630436
188,0.2561478,0.7839160607937898,0.09026710742606255,0.5277682589177217,0.1899933,0.09781790897250196,39,0.8943957150305475,4.41002104518209,2.2565892321794276
189,0.9220822,0.9220821857452424,0.01000000071101987,3.1086244689504383e-15,0.91494423,0.05546897649765062,39,0.3219874850085231,3.898211221861081,2.164576753804534
190,0.09970732,0.825333635384596,0.031750737548975956,0.7256263150520689,0.038865227,-0.004937089979648544,40,0.3226282804998939,0.9679704603951952,1.0008244925844942
191,0.19816247,0.7750791746734552,0.08114882733558576,0.5769167083858423,0.2688734,0.05776751786470442,39,1.3712766918429695,1.04078124366065,0.6601192852974533
192,0.5536195,0.5536195039749147,0.010000000000000004,1.1102230246251565e-16,0.40551305,-0.2945712767541404,39,0.224723936189482,1.9009938930754908,0.5749084866424435
193,3.5225727e-05,0.5840912480723788,0.02292972625679334,0.5840560223457729,0.048448265,-0.029984747525304552,41,0.2253573604893185,2.160948933886284,0.4648062593916947
194,0.08493443,0.9105580356420959,0.03037232484794373,0.8256236073078598,0.15678616,-0.16547774430364362,40,0.1987838137378572,2.581771318175224,0.3037405227031972
195,0.64066225,0.8323833958039459,0.054673964068396884,0.19172114290096132,0.5706065,0.5242236703634268,41,0.3637457617607138,1.9130244415849968,0.5677566112544209
196,0.6425024,0.6977664756665907,0.4467835891276744,0.055264048565455415,0.68390334,-0.06833374500274601,41,0.2131288642228402,0.4803432877251903,2.056504675751112
197,0.45508474,0.638937635515849,0.11709867982051006,0.18385289440027897,0.7814704,-0.2494625747203819,41,0.274734673484905,0.5542577397360118,0.3061902935196615
198,1.0668383,1.0668382644653323,19.999006746538043,2.220446049250313e-16,1.0965514,-0.40178917348384796,39,0.2708624744218579,1.2673055988531965,0.6519050965384448
199,0.847409,0.8474090099334859,0.010000000000088358,1.4210854715202004e-14,0.8496654,-0.11859543621540025,41,1.3368783194772205,2.2118814974719228,0.5526604596232362
200,1.1183138,1.5798006989790088,0.10985966647997937,0.461486909611333,1.1262468,0.31997501850128257,39,0.1963770639486241,1.5295407967814154,0.2134763152692411
201,0.04210256,0.8154639707568913,0.0277837688852866,0.7733614103559284,0.05337741,-0.09334713220596304,41,0.330951636877084,1.3754899888441858,0.2916633327962996
202,0.75651604,0.7565160416469922,0.32324242678132437,2.275501675974567e-09,0.72397554,0.24630919098854126,38,0.369983391694886,1.7761586315052311,0.3359038490468727
203,0.5202755,0.9018235356670269,0.17376131925346294,0.38154806207236136,0.67023957,0.35146832466125555,41,0.2880114713463684,3.7224052675928063,0.8699571797876416
204,0.36026075,0.9203595041955009,0.1282767045161289,0.5600987493718163,0.4916659,-0.6955320294946427,42,0.3818555213503392,0.8883888078627232,0.7373885808927791
