subj,k_mcmc,k_mcmc_sd,beta_mcmc,beta_mcmc_sd,logk_mcmc,logb_mcmc
158,1.4120346,0.77114123,24.809246,16.356583,0.14450924,2.9029078
159,4.932709,2.8488376,28.741898,29.9945,1.1596242,2.9152749
160,4.688569,1.0779357,23.692936,20.630457,1.5175726,2.766734
161,4.5670767,1.1218553,28.020802,28.781187,1.4848417,2.8748639
162,1.3375268,1.0645967,19.869093,13.727041,-1.267951,2.7406282
163,10.161331,3.1421504,129.33588,186.37766,2.2641442,3.494957
164,3.6959114,1.4104213,65.19991,59.0915,1.2092258,3.7412894
165,1.3584452,1.0252509,108.35485,75.3295,-0.040783927,4.3838134
166,9.70321,2.076349,96.498856,111.745766,2.2465825,3.982673
167,4.203633,2.440176,687.24646,871.40857,1.196541,5.5869503
168,2.3887208,1.1920848,190.09622,147.80649,0.70965004,4.6566896
169,2.95512,1.1049839,22.86993,25.106073,0.9964056,2.2175386
170,6.8981,1.1986897,38.71416,29.81724,1.9150903,3.337612
171,1.3165303,0.67648005,26.87017,23.858213,0.14267766,2.9157996
172,2.2460303,1.644335,461.80643,394.8026,0.48290884,5.768671
173,1.778668,1.4460564,300.89017,257.22455,0.03790399,5.3291836
174,1.7474942,1.3582758,220.64264,211.42838,0.10264632,4.906189
175,7.887687,1.4364383,37.434635,44.05499,2.0475729,2.950309
176,1.7584511,1.274561,23.205488,24.946281,0.049352355,2.311219
177,1.9907836,0.85756963,29.007362,30.170298,0.58897597,2.191559
178,1.3647819,1.0638402,15.765403,13.469962,-0.53863275,2.4409084
179,5.275969,1.1266661,45.49769,37.154327,1.6367753,3.3602302
180,1.2235837,0.90313005,63.172295,52.09341,-0.10377173,3.6289337
181,2.52999,1.8083537,101.97357,113.879036,-0.28849918,3.9799016
182,2.9329214,1.6904545,871.6779,792.47656,0.9084058,6.312116
183,2.9764643,1.3853797,246.48694,263.04715,0.9740708,4.853099
184,23.806606,4.4408484,23.751394,31.440157,3.1529381,2.3464437
185,1.998356,1.3122534,334.43918,340.49283,0.47313643,5.3826823
186,12.910602,1.9961376,21.759905,26.561558,2.5456364,2.3660433
187,6.0467153,1.5138309,94.27283,76.357704,1.7604872,4.219343
188,24.074223,4.6385674,94.46725,201.41138,3.1625814,3.3783033
189,12.652106,2.074891,61.363308,50.260685,2.5242507,3.6779034
190,2.5765665,1.1446304,145.73303,108.70874,0.811141,4.632811
191,3.907466,2.181534,835.50104,614.6329,1.1911113,6.3313007
192,3.622464,1.961942,43.99636,33.096146,1.0387416,3.3822868
193,3.0934474,2.021634,104.96529,103.67106,0.6258873,4.0353107
194,5.359164,1.2058197,17.424503,13.8027,1.6499641,2.586943
195,5.34506,1.348112,64.21303,47.165516,1.636742,3.8362327
196,1.5264044,1.2364147,151.02916,139.02432,-0.26757738,4.5371084
197,1.3625637,0.6825917,14.786912,14.810692,0.14780982,2.1565104
198,3.019514,1.1117767,52.56965,44.155746,1.0139807,3.5944035
199,5.6661363,4.252244,2419.8044,3293.0608,1.0745169,6.5678034
200,2.306596,0.8822034,15.2583275,14.157313,0.75340223,2.3840098
201,2.9767818,1.1720749,123.0655,148.01723,1.0058794,3.9537854
202,4.0677447,2.606137,30.199968,35.22875,0.49718833,2.5954492
203,8.339943,1.4082394,29.780401,35.550438,2.1058812,2.6607645
204,2.1844082,0.9622148,79.34741,50.631935,0.6626532,4.1442094
205,2.2592475,1.2291225,207.69598,128.89587,0.64360505,5.139221
206,23.486448,4.1991053,55.721733,97.45403,3.1410751,2.5581799
207,10.177521,2.3013978,628.97736,817.2726,2.2905395,5.2767167
208,1.695673,1.1812159,32.762955,30.010082,0.17998013,3.0906134
209,6.4711084,1.1073325,15.979452,18.76415,1.8511516,1.538237
210,4.632015,1.1563065,14.845481,15.545198,1.4964558,2.2358365
211,2.4408104,1.3303639,69.04396,60.426247,0.70256025,3.3964586
212,0.9913519,0.7278519,101.68906,88.53242,-0.31027034,4.1883097
213,7.130203,1.4910954,99.678856,112.498085,1.9393948,3.9190578
214,1.2549034,1.0018286,86.54913,82.756485,-0.45631322,3.9225478
215,6.334428,2.061705,393.65796,299.05643,1.7761679,5.5347514
216,5.9629173,2.625552,352.09097,279.7868,1.6542714,5.517887
217,3.7699397,1.1328735,18.768686,18.105951,1.2754655,2.5637743
218,1.7170603,0.7847978,47.57,38.467926,0.41041106,3.5179923
219,5.816637,1.375668,50.32472,51.68212,1.726035,3.4458003
220,5.1676035,3.188804,256.794,242.50009,1.4158427,3.9584193
221,7.30353,1.4066021,21.64772,26.599241,1.9686146,1.9121122
222,6.0533442,1.7531291,281.6254,235.6644,1.7515596,5.138681
223,2.822874,1.0147691,18.947397,14.473771,0.9542373,2.669679
224,0.82754874,0.6652256,11.87198,10.555796,-0.7917082,2.1539452
225,1.8174694,0.90808976,35.017925,34.146587,0.46647403,2.9173884
226,24.253513,4.724338,148.95775,205.02425,3.1699886,3.938
227,3.0791538,1.991031,17.210926,16.480022,0.37076437,2.4788141
228,4.5659184,1.4688859,172.32207,180.5817,1.4536381,4.585396
229,1.6161177,0.75437766,43.57457,41.45777,0.35950413,2.4317605
230,6.488497,1.4230465,52.356842,56.104305,1.8414897,3.4499192
231,2.3836932,0.9693328,59.38255,36.1178,0.7687679,3.8561523
232,5.180256,1.0966979,21.359194,14.893952,1.6191134,2.772155
233,1.2312162,1.0954697,422.1306,345.12384,-1.0207269,5.732225
234,6.230289,3.924711,732.20435,1009.8358,1.0640326,5.3100386
235,3.0300472,1.1498456,37.76278,38.828064,1.0168461,3.1752076
236,3.6526396,1.7843829,297.51053,327.86478,1.1590384,4.9993925
237,1.7928185,1.5078833,225.99815,186.74088,-0.6959295,5.049544
238,0.975925,0.45265037,10.283699,10.44084,-0.1580781,1.7526581
239,3.7083595,1.1564022,94.46319,111.22672,1.2594587,3.738907
240,9.629881,1.4057435,28.362165,28.09946,2.2537882,2.9732304
241,2.0371053,1.4739063,275.18323,333.90564,0.3359615,4.85653
242,3.4759843,1.6541142,97.25076,72.549995,1.0932249,4.291685
243,7.350701,1.3950884,153.95528,159.21056,1.9747541,4.3714647
244,1.3944825,1.1097336,207.11607,215.29865,-0.10185728,4.814682
245,8.7203,1.5962213,20.271736,22.678234,2.1483192,2.5254498
246,10.335663,1.9641826,41.598804,48.74362,2.3162906,3.2466526
247,6.3918324,1.3132502,12.819716,12.458183,1.8331041,2.1930542
248,2.4638515,1.5496491,101.90212,98.93243,0.6172276,4.07147
249,2.1493921,0.97171706,118.55107,92.30495,0.64379466,4.420629
250,3.487322,1.1740663,57.102306,47.277218,1.1890937,3.5654063
251,1.3861673,0.7071211,38.244698,36.552208,0.19641566,2.7801
252,3.3063517,1.216337,43.223534,43.951015,1.0989342,3.1049576
253,7.028108,1.9861686,124.42079,144.19229,1.8965844,3.9422743
254,3.6775835,1.2587298,24.700003,17.309338,1.230424,2.9160159
255,2.0452783,0.77945817,24.474817,18.448977,0.6198515,2.8165212
256,6.138966,1.158235,64.64505,63.2846,1.7949555,3.5659378
257,4.675449,1.3653113,32.642635,36.915756,1.487552,2.6658394
258,1.8917302,1.0016043,37.586666,38.116585,0.49588665,2.1659029
259,12.203491,2.0869033,160.3177,165.6195,2.4867668,4.3384666
260,4.2972455,1.525972,195.04054,113.80349,1.3710349,5.0282917
261,1.4399265,1.0883232,83.8909,49.715412,-0.043159425,4.173046
262,8.485706,1.4149864,45.441048,42.957836,2.1232972,3.2846103
263,13.563227,2.0135179,24.612417,27.847162,2.5961676,2.7433841
264,2.966604,1.0256425,27.75048,28.12639,1.0153067,2.8359377
265,1.8952208,0.89948416,142.94432,135.57115,0.51344645,4.453554
266,2.560244,1.1941094,135.34245,131.7667,0.82423115,4.4519005
267,2.997881,1.1615664,24.056265,23.729645,1.0063264,2.7529564
268,11.094022,1.6231893,22.070131,18.116272,2.395494,2.791868
269,2.6598518,1.8711714,106.58878,87.14018,0.5886374,4.3013988
270,68.249054,60.926136,148.35245,219.72523,3.9722447,4.2661963
271,1.8059539,0.97253954,29.618671,31.287577,0.442215,1.8884676
272,5.3387485,2.2320461,368.59442,484.23294,1.5651326,4.843904
273,6.9620547,4.34157,1167.2594,1809.9626,1.0162851,5.3115525
274,2.659045,2.1125033,728.5197,886.9424,-1.6298249,5.823173
275,12.497334,2.3657632,28.158287,33.9538,2.5070577,2.7911394
276,3.6611705,2.3513997,119.38134,165.11354,0.41111472,3.6579795
277,5.282274,1.6938642,98.720604,66.05362,1.5952675,4.3232927
278,0.8734418,0.6623688,14.287261,13.711316,-0.5146307,2.2487972
279,2.253573,1.501817,271.2308,236.50996,0.56660366,5.1777835
280,6.0385213,2.578894,116.76945,108.56601,1.6786311,4.314749
281,5.936535,1.0871664,23.51263,25.957718,1.7628373,2.6160364
282,9.06695,1.8113241,62.099804,81.58862,2.1824503,3.068213
283,3.1996238,1.7651488,98.68494,80.701355,0.9651176,4.117785
284,49.40473,21.068825,82.63044,202.98683,3.824307,2.6645868
285,1.7418312,1.5161127,365.49387,172.55191,-0.73976785,5.7598453
286,6.5466557,1.8191761,22.284313,26.598791,1.838119,1.8884052
287,8.744869,1.364312,27.714314,33.017307,2.156085,2.6383266
288,15.683569,3.716712,83.90357,155.85028,2.726238,2.9664962
289,1.5408826,1.2987689,332.7985,313.48523,-0.20181964,5.3792
290,7.1397576,1.3682946,128.16418,150.16016,1.946263,3.9977582
291,3.042198,1.075501,27.68254,20.388107,1.0453451,3.0337036
292,24.891283,5.1831794,34.34374,43.053787,3.1932847,3.0296884
293,2.7622132,0.9590361,83.4141,105.53865,0.9493394,3.5067868
