window,predictor,bin,bin_mid,beta,p
terminal,kappa_z,11,1.1500000000000001,-0.026960686093227056,0.05155683566783064
terminal,kappa_z,12,1.25,-0.02957428185189735,0.029820695195326218
terminal,kappa_z,13,1.35,-0.027520822440275976,0.04091792205563651
terminal,kappa_z,14,1.4500000000000002,-0.024568749496903505,0.07543923055571643
terminal,kappa_z,15,1.55,-0.02533819775814109,0.06610463968225994
terminal,kappa_z,16,1.6500000000000001,-0.027731748322779245,0.03688334251691637
terminal,kappa_z,17,1.75,-0.02984820712315669,0.0185061499018008
terminal,kappa_z,18,1.85,-0.03362259080216928,0.006040365898099599
terminal,kappa_z,19,1.9500000000000002,-0.035221543481670725,0.005795948956071501
terminal,kappa_z,20,2.05,-0.03287478407017404,0.011649229603935529
terminal,kappa_z,21,2.1500000000000004,-0.03248231903963323,0.012214524679360825
terminal,kappa_z,22,2.25,-0.03282414172365556,0.009910175619349015
terminal,kappa_z,23,2.3500000000000005,-0.032971195039364486,0.008610224965749098
terminal,kappa_z,24,2.45,-0.03407650907383042,0.005341600046634452
terminal,beta_z,0,0.05,-0.002901722623250137,0.27115435661739606
terminal,beta_z,1,0.15000000000000002,-0.00279264745869227,0.2909947456368348
terminal,beta_z,2,0.25,-0.002776679032713102,0.30384859080244286
terminal,beta_z,3,0.35000000000000003,-0.0035589366273729496,0.5436226676272955
terminal,beta_z,4,0.45,-0.005781492949235674,0.669026325305914
terminal,beta_z,5,0.55,-0.004702436030695969,0.7602978247561267
terminal,beta_z,6,0.6500000000000001,-0.0016280448472013732,0.906002900022826
terminal,beta_z,7,0.75,0.0003443373381171235,0.9805187254868056
terminal,beta_z,8,0.8500000000000001,0.0021439009690498315,0.88225364866662
terminal,beta_z,9,0.95,0.0011925486125155486,0.93404431583798
terminal,beta_z,10,1.05,-0.0016305905957485832,0.9081002914760103
terminal,beta_z,11,1.1500000000000001,-0.0005419822710370407,0.9682910725600596
terminal,beta_z,12,1.25,0.00066368593199603,0.9605054249261099
terminal,beta_z,13,1.35,-0.0006827757503835327,0.9589135082825194
terminal,beta_z,14,1.4500000000000002,-0.0024939885147394207,0.8545621327758437
terminal,beta_z,15,1.55,0.000350857077639586,0.9793795211519517
terminal,beta_z,16,1.6500000000000001,0.0033828549173084087,0.7959493871868971
terminal,beta_z,17,1.75,0.0024718736071217447,0.8429495609261256
terminal,beta_z,18,1.85,-0.00019090256860783354,0.9873667866680805
terminal,beta_z,19,1.9500000000000002,-0.0013640036429460735,0.9135756490511531
terminal,beta_z,20,2.05,0.000800456305883456,0.9502544168541477
terminal,beta_z,21,2.1500000000000004,0.003698699181880921,0.7719478396008769
terminal,beta_z,22,2.25,0.004776272266755717,0.7030824296871241
terminal,beta_z,23,2.3500000000000005,0.0048986130978940865,0.6917641884158723
terminal,beta_z,24,2.45,0.0051570440928084115,0.6685044751430231
terminal,threat_c,0,0.05,-0.08461796702048095,0.0
terminal,threat_c,1,0.15000000000000002,-0.08098719311007546,0.0
terminal,threat_c,2,0.25,-0.07214332076268865,3.2298138967122483e-299
terminal,threat_c,3,0.35000000000000003,-0.0544554089899289,2.421980041984685e-131
terminal,threat_c,4,0.45,-0.018712362849556918,1.7259194450971138e-12
terminal,threat_c,5,0.55,0.028962395310884625,3.336041212979406e-20
terminal,threat_c,6,0.6500000000000001,0.053539150604346004,1.1079135456831656e-40
terminal,threat_c,7,0.75,0.05181226037830453,1.2642943148888005e-34
terminal,threat_c,8,0.8500000000000001,0.04431621222694973,7.790669698251886e-26
terminal,threat_c,9,0.95,0.0364507297826855,6.768688235086511e-18
