rho_log_k_log_beta,rho_log_k_alpha,rho_log_k_delta,rho_log_beta_alpha,rho_log_beta_delta,rho_alpha_delta
-0.117107056,0.40096915,-0.6824755,-0.3123898,0.7581535,-0.22964184
-0.18787865,0.36796182,-0.7038968,-0.34861982,0.7734736,-0.20043631
-0.31267437,0.37063864,-0.7263607,-0.3556559,0.8356512,-0.21135925
-0.107142,0.39989,-0.70751953,-0.33008647,0.72704226,-0.24342765
-0.19531778,0.4096851,-0.6868067,-0.3728865,0.7930664,-0.24935985
-0.29576302,0.44258806,-0.7830781,-0.38229287,0.7791787,-0.29805142
-0.21189891,0.38497633,-0.7435441,-0.30142796,0.78170526,-0.25573117
-0.08254112,0.3755109,-0.68131125,-0.34766832,0.76299256,-0.32464987
-0.20498629,0.3790112,-0.759755,-0.34586698,0.709278,-0.16039601
-0.087588206,0.36837626,-0.7020687,-0.33709973,0.72245747,-0.24940127
-0.20861883,0.3768544,-0.74501806,-0.3555254,0.773517,-0.27602065
-0.21635686,0.41065696,-0.77773535,-0.33859077,0.72500765,-0.23480217
-0.14572434,0.3541093,-0.7201758,-0.34806225,0.76295817,-0.29882103
-0.13976961,0.36827752,-0.66536987,-0.35444313,0.7775594,-0.21216764
-0.19630188,0.42553148,-0.76090705,-0.31071106,0.74510145,-0.2669999
-0.2674875,0.35805562,-0.7021929,-0.3742624,0.79861224,-0.14931989
-0.10033765,0.38288373,-0.75971615,-0.3224144,0.6878787,-0.2810678
-0.20487823,0.381337,-0.7566442,-0.37549144,0.7638359,-0.30407536
-0.18764536,0.39258003,-0.77259547,-0.31347352,0.7444009,-0.30103695
-0.22021642,0.41419253,-0.74948126,-0.3632667,0.76106375,-0.26134378
-0.09367442,0.33984888,-0.7161902,-0.29819077,0.6945691,-0.14885905
-0.12543167,0.3356298,-0.72545964,-0.30529234,0.7371921,-0.21685576
-0.13367414,0.3871068,-0.6965481,-0.30092457,0.75531316,-0.21137674
-0.22546773,0.4044083,-0.7548187,-0.3492154,0.7596322,-0.24759227
-0.23728918,0.3289394,-0.7288612,-0.33161515,0.79092354,-0.18137223
-0.176607,0.3878422,-0.68211955,-0.34568566,0.7894564,-0.23058489
0.018028405,0.34940434,-0.72687864,-0.22594799,0.646356,-0.24199966
-0.18427287,0.36832678,-0.7564783,-0.30094063,0.7197226,-0.16842031
-0.24194203,0.4251369,-0.7641721,-0.33333582,0.7743013,-0.2814585
-0.13233906,0.38963255,-0.7620171,-0.3179416,0.69444114,-0.24416338
-0.21932076,0.40602288,-0.7196137,-0.3746632,0.79382646,-0.27831712
-0.08101854,0.40629414,-0.71203816,-0.36031628,0.71820027,-0.3111883
-0.18127161,0.40831617,-0.72968704,-0.33599824,0.7600867,-0.25663257
-0.07529349,0.3355522,-0.701196,-0.30127734,0.73028934,-0.23473057
-0.12693018,0.36713052,-0.70286375,-0.30690262,0.7459744,-0.21874891
-0.17014943,0.3515048,-0.6985433,-0.3144271,0.77088577,-0.17609455
-0.21017332,0.39481905,-0.7022206,-0.35033098,0.79383254,-0.22897677
-0.17880116,0.3551103,-0.72718835,-0.34993637,0.7426058,-0.1865873
-0.15060455,0.34815168,-0.73894745,-0.282001,0.73485523,-0.19081877
-0.15834214,0.35421592,-0.74402434,-0.30740234,0.74277246,-0.23495391
-0.1493747,0.34590513,-0.70758605,-0.3218858,0.77195925,-0.24297476
-0.1444707,0.38024896,-0.68878126,-0.32734945,0.7704192,-0.22522466
-0.20560038,0.33723706,-0.7104577,-0.3680331,0.7560252,-0.13995877
