subj,optimality_rate,overcautious_rate,overrisky_rate,mean_ev_loss,heavy_rate,survival_rate,total_earnings,heavy_rate_lowT,heavy_rate_highT,threat_sensitivity_choice
139,0.5111111111111111,0.4444444444444444,0.044444444444444446,0.45772659474746386,0.15555555555555556,0.9333333333333333,66,0.13333333333333333,0.06666666666666667,0.06666666666666667
140,0.8,0.13333333333333333,0.06666666666666667,0.22173503693132846,0.4888888888888889,0.5777777777777777,86,0.6666666666666666,0.13333333333333333,0.5333333333333333
141,0.6222222222222222,0.3333333333333333,0.044444444444444446,0.2484256474266158,0.26666666666666666,0.9111111111111111,85,0.4,0.13333333333333333,0.2666666666666667
142,0.7777777777777778,0.17777777777777778,0.044444444444444446,0.18276443655438068,0.4222222222222222,0.5555555555555556,81,0.8666666666666667,0.06666666666666667,0.8
143,0.7111111111111111,0.2,0.08888888888888889,0.15203461585349498,0.4444444444444444,0.8222222222222222,93,0.7333333333333333,0.26666666666666666,0.4666666666666666
144,0.7555555555555555,0.17777777777777778,0.06666666666666667,0.24971851618829605,0.4444444444444444,0.8,88,0.7333333333333333,0.2,0.5333333333333332
145,0.6888888888888889,0.022222222222222223,0.28888888888888886,0.25777724740683616,0.8222222222222222,0.5777777777777777,114,1.0,0.6666666666666666,0.33333333333333337
146,0.4666666666666667,0.5111111111111111,0.022222222222222223,0.48963937714637573,0.06666666666666667,0.7111111111111111,40,0.13333333333333333,0.06666666666666667,0.06666666666666667
147,0.7333333333333333,0.24444444444444444,0.022222222222222223,0.25945682050367636,0.3333333333333333,0.5333333333333333,60,0.5333333333333333,0.06666666666666667,0.4666666666666667
148,0.6444444444444445,0.24444444444444444,0.1111111111111111,0.2551526707844546,0.4222222222222222,0.7111111111111111,80,0.6,0.26666666666666666,0.3333333333333333
149,0.8666666666666667,0.1111111111111111,0.022222222222222223,0.07752924600829451,0.4666666666666667,0.8222222222222222,97,1.0,0.06666666666666667,0.9333333333333333
150,0.6888888888888889,0.08888888888888889,0.2222222222222222,0.27506359481478726,0.6888888888888889,0.5777777777777777,102,0.9333333333333333,0.4666666666666667,0.4666666666666667
151,0.8444444444444444,0.1111111111111111,0.044444444444444446,0.12636136173199974,0.4888888888888889,0.6666666666666666,94,0.8666666666666667,0.06666666666666667,0.8
152,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.2905422987260699,0.35555555555555557,0.5333333333333333,56,0.4,0.2,0.2
153,0.4666666666666667,0.5333333333333333,0.0,0.516387084470831,0.022222222222222223,0.7555555555555555,34,0.06666666666666667,0.0,0.06666666666666667
154,0.7333333333333333,0.24444444444444444,0.022222222222222223,0.14305110643841865,0.3333333333333333,0.5777777777777777,78,0.8666666666666667,0.06666666666666667,0.8
155,0.7333333333333333,0.13333333333333333,0.13333333333333333,0.17514900015374207,0.5555555555555556,0.8222222222222222,113,0.9333333333333333,0.26666666666666666,0.6666666666666667
156,0.7777777777777778,0.17777777777777778,0.044444444444444446,0.0990128136297157,0.4222222222222222,0.7555555555555555,90,0.7333333333333333,0.13333333333333333,0.6
157,0.8888888888888888,0.08888888888888889,0.022222222222222223,0.09432534398005821,0.4888888888888889,0.6222222222222222,92,0.8666666666666667,0.0,0.8666666666666667
158,0.7111111111111111,0.06666666666666667,0.2222222222222222,0.2487187556423792,0.7111111111111111,0.8,136,0.9333333333333333,0.4666666666666667,0.4666666666666667
159,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.247692203785526,0.35555555555555557,0.5555555555555556,73,0.6666666666666666,0.2,0.4666666666666666
160,0.5777777777777777,0.2222222222222222,0.2,0.376042115357746,0.5333333333333333,0.5333333333333333,72,0.4666666666666667,0.6,-0.1333333333333333
161,0.6444444444444445,0.2,0.15555555555555556,0.24336950231470705,0.5111111111111111,0.5333333333333333,80,0.6,0.26666666666666666,0.3333333333333333
162,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.27222707932941825,0.6666666666666666,0.5111111111111111,95,0.8666666666666667,0.4666666666666667,0.4
163,0.5333333333333333,0.4,0.06666666666666667,0.40103587273987,0.2222222222222222,0.5333333333333333,44,0.4,0.2,0.2
164,0.7111111111111111,0.17777777777777778,0.1111111111111111,0.21787869742700214,0.4888888888888889,0.8,108,0.8,0.2,0.6000000000000001
165,0.8222222222222222,0.06666666666666667,0.1111111111111111,0.0999570895476766,0.6,0.8888888888888888,132,1.0,0.06666666666666667,0.9333333333333333
166,0.6444444444444445,0.3111111111111111,0.044444444444444446,0.260193818329023,0.28888888888888886,0.8222222222222222,77,0.4,0.13333333333333333,0.2666666666666667
167,0.7333333333333333,0.26666666666666666,0.0,0.13988170871818734,0.28888888888888886,0.6888888888888889,75,0.8666666666666667,0.0,0.8666666666666667
168,0.7555555555555555,0.13333333333333333,0.1111111111111111,0.12840922792845252,0.5333333333333333,0.5111111111111111,75,0.8666666666666667,0.3333333333333333,0.5333333333333334
