subj_idx,T_round,actual_dist,actual_R,actual_req,is_heavy,mean_rate,n_trials
17,0.5,1,1.0,0.4,0,0.9953105818419776,2
17,0.5,1,5.0,0.9,1,1.1259022083796142,3
17,0.5,2,1.0,0.4,0,0.9535290313541877,3
17,0.5,2,5.0,0.9,1,1.0565125876749524,2
17,0.5,3,1.0,0.4,0,0.8986854939775193,4
17,0.5,3,5.0,0.9,1,0.991527475187606,1
17,0.9,1,1.0,0.4,0,1.0211397990380977,4
17,0.9,1,5.0,0.9,1,1.1358846367165836,1
17,0.9,2,1.0,0.4,0,0.9955888586397064,5
17,0.9,3,1.0,0.4,0,0.9437018320214448,4
17,0.9,3,5.0,0.9,1,0.9874043594024924,1
18,0.1,1,5.0,0.9,1,0.8202999075348713,5
18,0.1,2,5.0,0.9,1,0.818248012404983,5
18,0.1,3,1.0,0.4,0,0.8211708099438653,1
18,0.1,3,5.0,0.9,1,0.8174871879836516,4
18,0.5,1,1.0,0.4,0,0.8226830606383322,2
18,0.5,1,5.0,0.9,1,0.9922919509597844,3
18,0.5,2,1.0,0.4,0,0.820203429771906,5
18,0.5,3,1.0,0.4,0,0.8697226830114207,5
18,0.9,1,1.0,0.4,0,0.8713220255645062,5
18,0.9,2,1.0,0.4,0,0.8490273933352862,5
18,0.9,3,1.0,0.4,0,0.8246284854231378,5
19,0.1,1,5.0,0.9,1,0.8794321153628715,5
19,0.1,2,5.0,0.9,1,0.909613392625824,5
19,0.1,3,5.0,0.9,1,0.9143845106328186,5
19,0.5,1,1.0,0.4,0,0.804684703310419,1
19,0.5,1,5.0,0.9,1,1.16249235094815,4
19,0.5,2,1.0,0.4,0,0.7692706800207995,5
19,0.5,3,1.0,0.4,0,0.936589496844878,5
19,0.9,1,1.0,0.4,0,0.9014176796531576,5
19,0.9,2,1.0,0.4,0,1.0097884303642697,5
19,0.9,3,1.0,0.4,0,1.000622140088892,5
20,0.1,1,5.0,0.9,1,0.9418512372187866,5
20,0.1,2,1.0,0.4,0,0.8819223150460771,1
20,0.1,2,5.0,0.9,1,1.1624686265665356,4
20,0.1,3,1.0,0.4,0,0.8822452452236844,1
20,0.1,3,5.0,0.9,1,1.1479885084238128,4
20,0.5,1,1.0,0.4,0,0.8465958414286305,1
20,0.5,1,5.0,0.9,1,0.9086644358450412,4
20,0.5,2,1.0,0.4,0,0.8288944525335357,3
20,0.5,2,5.0,0.9,1,1.0036650896570896,2
20,0.5,3,1.0,0.4,0,0.8831713865699109,5
20,0.9,1,1.0,0.4,0,0.9004502229738313,2
20,0.9,1,5.0,0.9,1,0.9556875053864268,3
20,0.9,2,1.0,0.4,0,0.8121278326790702,4
20,0.9,2,5.0,0.9,1,1.0085440622460788,1
20,0.9,3,1.0,0.4,0,0.8841716171000498,5
21,0.1,1,5.0,0.9,1,0.964385306143098,5
21,0.1,2,5.0,0.9,1,0.9640455307594644,5
21,0.1,3,5.0,0.9,1,0.9399811434430956,5
21,0.5,1,5.0,0.9,1,0.9906259693975134,5
21,0.5,2,1.0,0.4,0,0.918853317926464,3
21,0.5,2,5.0,0.9,1,1.0502576289827366,2
21,0.5,3,1.0,0.4,0,0.9597176285872788,4
21,0.5,3,5.0,0.9,1,1.0451112471933048,1
21,0.9,1,1.0,0.4,0,1.0091963344199333,3
21,0.9,1,5.0,0.9,1,1.0679933710613343,2
21,0.9,2,1.0,0.4,0,0.9679403866224074,5
21,0.9,3,1.0,0.4,0,0.9768905854898992,5
22,0.1,1,5.0,0.9,1,1.288143689106254,5
22,0.1,2,5.0,0.9,1,1.2365524551128448,5
22,0.1,3,5.0,0.9,1,1.2931021008727814,5
22,0.5,1,1.0,0.4,0,1.3637370678692105,2
22,0.5,1,5.0,0.9,1,1.2675247901290976,3
22,0.5,2,1.0,0.4,0,1.3083595296043309,4
22,0.5,2,5.0,0.9,1,1.3569204266878687,1
22,0.5,3,1.0,0.4,0,1.3118393404441768,4
22,0.5,3,5.0,0.9,1,1.372562160713089,1
22,0.9,1,1.0,0.4,0,1.273821963477136,2
22,0.9,1,5.0,0.9,1,1.2234149440590791,3
22,0.9,2,1.0,0.4,0,1.2145473347724762,4
22,0.9,2,5.0,0.9,1,1.1745637165853606,1
22,0.9,3,1.0,0.4,0,1.2785396424129776,5
23,0.1,1,5.0,0.9,1,1.0250521461003568,5
23,0.1,2,5.0,0.9,1,1.0427131474384117,5
23,0.1,3,5.0,0.9,1,0.9955769180002708,5
23,0.5,1,5.0,0.9,1,1.0445585683506065,5
23,0.5,2,1.0,0.4,0,0.8264187679379378,1
23,0.5,2,5.0,0.9,1,1.052111804863626,4
23,0.5,3,1.0,0.4,0,0.9333485245528084,1
23,0.5,3,5.0,0.9,1,0.9660303358083298,4
23,0.9,1,1.0,0.4,0,1.0117466137009368,3
23,0.9,1,5.0,0.9,1,1.1287217204724531,2
23,0.9,2,1.0,0.4,0,1.0295175481525771,4
23,0.9,2,5.0,0.9,1,1.0734737200739062,1
23,0.9,3,1.0,0.4,0,0.9697568870072626,3
23,0.9,3,5.0,0.9,1,1.02252705629853,2
24,0.1,1,5.0,0.9,1,1.0765155318418362,5
24,0.1,2,5.0,0.9,1,1.0277928190281314,5
24,0.1,3,5.0,0.9,1,1.1466427403016952,5
24,0.5,1,1.0,0.4,0,1.0190476025104471,5
24,0.5,2,1.0,0.4,0,1.0399649388803751,5
24,0.5,3,1.0,0.4,0,1.0738229455788073,5
24,0.9,1,1.0,0.4,0,1.0525488301814974,5
24,0.9,2,1.0,0.4,0,1.0901371718216208,5
24,0.9,3,1.0,0.4,0,1.0747613948445682,5
25,0.1,1,1.0,0.4,0,1.5494003835675327,2
25,0.1,1,5.0,0.9,1,1.3348049336979513,3
25,0.1,2,1.0,0.4,0,1.319228929424093,2
25,0.1,2,5.0,0.9,1,1.3412767711045828,3
25,0.1,3,1.0,0.4,0,1.3013292325257355,3
25,0.1,3,5.0,0.9,1,1.4261274227350635,2
25,0.5,1,1.0,0.4,0,1.530620447600487,3
25,0.5,1,5.0,0.9,1,1.2267389719815085,2
25,0.5,2,1.0,0.4,0,1.0890197276179372,4
25,0.5,2,5.0,0.9,1,1.424442417966275,1
25,0.5,3,1.0,0.4,0,1.4617070563400278,5
25,0.9,1,1.0,0.4,0,1.2627558862840984,4
25,0.9,1,5.0,0.9,1,1.5486993345432547,1
25,0.9,2,1.0,0.4,0,1.4191106613056432,5
25,0.9,3,1.0,0.4,0,1.3790349865188891,5
26,0.1,1,1.0,0.4,0,0.9073985312708588,2
26,0.1,1,5.0,0.9,1,0.9539015872452908,3
26,0.1,2,1.0,0.4,0,0.9046215468909744,1
26,0.1,2,5.0,0.9,1,0.94175954787091,4
26,0.1,3,1.0,0.4,0,0.8661573978032938,3
26,0.1,3,5.0,0.9,1,0.9573493151754138,2
26,0.5,1,1.0,0.4,0,0.965129931158294,4
26,0.5,1,5.0,0.9,1,1.0571686669247644,1
26,0.5,2,1.0,0.4,0,0.953500339384974,3
26,0.5,2,5.0,0.9,1,0.951224376701184,2
26,0.5,3,1.0,0.4,0,0.9624370054195792,5
26,0.9,1,1.0,0.4,0,0.966674180680526,4
26,0.9,1,5.0,0.9,1,1.058890439997932,1
26,0.9,2,1.0,0.4,0,0.9540161463611948,5
26,0.9,3,1.0,0.4,0,0.9969222247043577,5
27,0.1,1,5.0,0.9,1,1.0406733699773447,5
27,0.1,2,5.0,0.9,1,1.0194891934737544,5
27,0.1,3,5.0,0.9,1,1.0103478443777885,5
27,0.5,1,1.0,0.4,0,1.0526857778001373,3
27,0.5,1,5.0,0.9,1,1.1356164181676285,2
27,0.5,2,1.0,0.4,0,0.9942200890359444,5
27,0.5,3,1.0,0.4,0,1.0102437368751,5
27,0.9,1,1.0,0.4,0,1.0370971435692649,5
27,0.9,2,1.0,0.4,0,1.0126659553292496,5
27,0.9,3,1.0,0.4,0,1.0858187879935952,5
28,0.1,1,1.0,0.4,0,0.9966875537853394,1
28,0.1,1,5.0,0.9,1,1.1680589430452888,4
28,0.1,2,5.0,0.9,1,1.0968770219479704,5
28,0.1,3,1.0,0.4,0,1.005416190960883,3
28,0.1,3,5.0,0.9,1,1.1583710407239818,2
28,0.5,1,5.0,0.9,1,1.1731994865845288,5
28,0.5,2,1.0,0.4,0,1.141364658072421,2
28,0.5,2,5.0,0.9,1,1.2782736660324232,3
28,0.5,3,1.0,0.4,0,1.0411643536784485,4
28,0.5,3,5.0,0.9,1,1.2448808105819942,1
28,0.9,1,5.0,0.9,1,1.1764291382183132,5
28,0.9,2,1.0,0.4,0,0.9975150727571616,3
28,0.9,2,5.0,0.9,1,1.203357816865314,2
28,0.9,3,1.0,0.4,0,1.1925949897483736,5
