subj,lam,beta
243,0.29108822098270726,2.079045946650392
244,0.05546588341079581,3.1901546611159572
245,0.6697937500889373,0.5610704228978
246,0.4053438430305605,0.8696314413886128
247,0.31184824601397876,0.48911499076458687
248,0.12042675711097424,1.2044169464161947
249,0.0753807044376632,2.3599461210626025
250,0.14452080070374138,0.6693236062540712
251,0.029666616367048343,4.044815484062658
252,0.14029720081497443,1.2477570910449958
253,0.33287725323391437,1.1036811555605262
254,0.11313523435821642,0.6166030739662631
255,0.056276869623517314,0.5983037716980277
256,0.3098057424596462,0.781133159430336
257,0.15230385084300713,1.062755960631735
258,0.06098049048128236,1.2999192349608453
259,0.7242150781323982,0.8990587678653668
260,0.18948376533206868,3.1596213480524398
261,0.04009366208608517,3.4199275932446835
262,0.4984530930019154,0.5401231851845472
263,1.3068770836474655,0.41007806987465806
264,0.1083629997452316,0.7102540881163191
265,0.08869155225317979,1.6508180954663958
266,0.1058638755163548,1.4932911164808034
267,0.0868170176783059,0.7025351085899841
268,1.0595374826977182,0.3462823979256926
269,0.15347587892297176,2.273948632591513
270,4.9879177642682615,2.510485435452882
271,0.04088841916664815,2.9842446564555196
272,0.3220688800236649,1.6807116256632464
273,0.4289281711543276,2.0945231931310015
274,0.18131327741793637,2.1570579830010854
275,0.9522992404944525,0.48381839603383064
276,0.23754424903793114,0.5426539911852784
277,0.19701472275167994,1.8250847467147657
278,0.029234592436123603,1.612401024100139
279,0.15003401755440698,1.0579138340188752
280,0.3006605768461611,0.7684898624930018
281,0.2523099062414479,0.5720768127465166
282,0.4686361556828483,1.2426125055071169
283,0.13419582333901306,1.5387292660377618
284,4.793393359969475,2.301793302017239
285,0.16202500921023902,2.991861914729754
286,0.23184850008946692,0.7833171492827264
287,0.4676127320818957,0.7108377222293231
288,1.2749668701737482,0.788827078519757
289,0.10064922905471532,3.293150970080331
290,0.3330661296308003,1.2095424088631497
291,0.1048849994584331,0.652279534088651
292,2.777970197520938,0.5766830798093534
293,0.0927063871986967,0.9758736482782652
